playerDefensiveAbilityId,birthId,organizationId,tackles,tacklesWon,cards_yellow,cards_red
787,299,14,6,4,0,0
786,299,14,12,9,0,0
768,613,14,26,13,2,0
753,488,14,18,10,2,0
679,655,14,52,32,10,1
336,386,14,17,14,0,0
335,386,14,7,2,0,0
332,88,14,24,17,6,0
267,523,14,66,44,13,0
260,66,14,34,19,4,0
206,446,14,57,33,8,0
172,99,14,60,47,7,0
17,562,14,8,5,1,0
16,562,14,8,6,1,0
1,23,14,19,12,6,0
1143,537,15,23,17,0,0
893,362,15,2,0,1,0
892,362,15,0,0,1,0
743,509,15,38,19,8,0
736,482,15,86,58,9,0
582,142,15,0,0,1,0
546,648,15,12,9,5,0
542,594,15,11,9,1,0
459,642,15,10,8,0,0
397,557,15,8,5,1,0
395,442,15,8,5,3,0
360,515,15,39,23,6,1
351,485,15,13,7,3,0
350,485,15,18,11,3,0
341,487,15,25,14,5,1
76,318,15,45,29,4,0
66,510,15,25,12,6,0
52,540,15,27,23,7,1
42,221,15,41,27,4,0
27,605,15,31,19,5,0
1135,313,16,21,11,2,0
1118,282,16,23,16,2,0
1034,259,16,46,27,10,0
1021,273,16,41,27,6,1
979,631,16,0,0,1,0
978,631,16,40,28,1,0
975,493,16,25,18,5,0
943,92,16,6,3,1,0
932,215,16,39,24,3,1
844,560,16,49,28,1,0
824,273,16,38,22,6,0
709,674,16,10,7,0,1
691,597,16,22,15,2,0
667,225,16,23,19,8,0
492,289,16,0,0,2,0
381,24,16,30,19,4,0
348,200,16,37,24,7,0
261,61,16,14,9,2,0
1089,183,17,36,23,7,0
1080,132,17,3,2,3,0
949,191,17,19,12,5,0
750,675,17,60,43,6,0
747,253,17,62,36,6,0
697,398,17,57,39,7,1
641,142,17,10,6,1,0
640,142,17,1,1,1,0
487,316,17,44,31,7,0
418,589,17,0,0,0,0
388,115,17,63,42,10,2
318,585,17,63,39,5,0
211,487,17,24,17,4,0
12,412,17,3,1,0,0
1069,281,18,28,19,5,0
1060,474,18,0,0,3,0
1039,197,18,81,56,14,0
869,175,18,39,24,7,0
852,68,18,4,2,1,0
851,68,18,4,3,1,0
814,77,18,61,39,7,0
666,403,18,16,7,14,0
619,285,18,35,21,7,0
585,136,18,17,8,2,0
501,28,18,25,12,2,0
473,403,18,17,11,6,0
292,572,18,23,8,4,0
291,572,18,1,1,4,0
218,83,18,79,45,4,0
1107,464,19,61,38,6,1
1000,363,19,78,46,13,1
822,140,19,61,35,2,0
807,123,19,52,35,11,1
798,368,19,18,11,5,0
657,219,19,8,5,0,0
616,509,19,19,15,2,0
597,612,19,4,2,1,0
160,353,19,20,11,4,0
22,231,19,80,44,6,0
2,29,19,8,5,2,0
1072,91,20,14,6,4,1
1017,446,20,0,0,0,1
1016,446,20,0,0,0,1
960,410,20,91,60,14,0
955,263,20,19,14,2,0
929,537,20,75,48,10,0
854,247,20,9,4,1,0
606,482,20,53,31,8,0
575,673,20,4,3,2,0
574,673,20,25,14,2,0
522,142,20,0,0,0,0
338,386,20,17,14,2,0
337,386,20,7,2,2,0
255,325,20,7,4,1,0
254,325,20,7,4,1,0
253,325,20,3,1,1,0
252,325,20,3,1,1,0
247,607,20,36,25,4,0
140,511,20,46,20,4,2
137,653,20,8,4,0,0
79,282,20,25,18,3,1
35,566,20,0,0,3,0
24,243,20,52,33,3,0
1044,503,21,30,14,5,0
956,537,21,54,29,6,0
940,47,21,24,18,0,0
904,372,21,110,70,6,0
783,262,21,17,14,0,0
782,262,21,0,0,0,0
781,338,21,45,31,5,0
780,57,21,32,20,0,0
749,80,21,0,0,1,0
748,360,21,9,5,4,1
584,374,21,70,45,4,0
566,393,21,67,31,4,0
552,88,21,12,7,1,1
402,500,21,6,2,1,0
205,658,21,20,6,2,0
1066,406,22,44,25,5,0
1041,139,22,3,2,4,0
1040,139,22,14,10,4,0
880,483,22,34,27,5,0
865,389,22,51,26,4,0
802,121,22,36,22,3,0
677,271,22,0,0,2,0
517,68,22,63,32,4,1
458,446,22,25,15,3,0
431,552,22,9,4,2,0
421,83,22,39,25,4,1
303,446,22,32,21,6,0
230,446,22,28,16,4,0
210,58,22,37,19,4,0
45,80,22,20,11,6,1
1139,146,23,3,1,3,0
1138,146,23,15,9,3,0
1087,18,23,63,32,6,1
1086,18,23,1,0,6,1
711,17,23,30,18,4,0
604,602,23,16,10,2,0
19,562,23,8,5,2,0
18,562,23,8,6,2,0
895,362,24,2,0,2,0
894,362,24,0,0,2,0
56,251,24,52,41,9,0
1063,592,25,16,8,1,0
1032,582,25,1,1,0,0
1031,582,25,18,9,0,0
1020,195,25,0,0,0,0
997,106,25,14,13,1,0
996,106,25,24,14,1,0
927,206,25,7,4,1,0
860,78,25,69,51,11,0
840,182,25,2,1,1,0
757,492,25,25,14,1,0
651,444,25,63,48,3,0
