goal_against_gk,shots_on_target_against,saves,pen_saves_pct,id,playerFullName,ca,tro,ovo,han,cmd,city,country,squad,comp
4,20,16,0.0,65,Philipp Pentke,110,10,1,12,11,Freiberg,Germany,Hoffenheim,1. Bundesliga
8,36,29,0.0,66,Pavao Pervan,124,9,1,13,13,Livno,Bosnia and Herzegovina,Wolfsburg,1. Bundesliga
25,64,41,33.3,67,Florian Müller,126,17,1,11,10,Saarlouis,Germany,Mainz 05,1. Bundesliga
48,118,80,0.0,68,Joel Robles,131,14,1,16,18,Getafe,Spain,Betis,1. La Liga
38,104,69,0.0,69,Kevin Trapp,144,15,1,14,12,Merzig,Germany,Eint Frankfurt,1. Bundesliga
4,6,3,0.0,70,Daniele Padelli,124,12,1,15,12,Lecco,Italy,Inter,1. Serie A
38,104,69,0.0,71,Koen Casteels,140,18,1,11,14,Bonheiden,Belgium,Wolfsburg,1. Bundesliga
5,19,16,0.0,72,Pietro Terracciano,117,10,1,14,13,San Felice a Cancello,Italy,Fiorentina,1. Serie A
1,5,4,100.0,73,Pepe Reina,138,18,1,12,15,Madrid,Spain,Milan,1. Serie A
20,50,32,33.3,74,Pepe Reina,138,18,1,12,15,Madrid,Spain,Aston Villa,1. Premier League
33,129,97,50.0,75,Dean Henderson,140,9,1,14,14,Whitehaven,England,Sheffield Utd,1. Premier League
42,136,97,20.0,76,Rui Silva,127,13,1,14,14,Maia,Portugal,Granada,1. La Liga
27,105,82,0.0,77,Jan Oblak,175,15,1,18,16,Škofja Loka,Slovenia,Atlético Madrid,1. La Liga
4,26,23,"",78,Gianluca Pegolo,123,14,1,14,12,Bassano del Grappa,Italy,Sassuolo,1. Serie A
42,113,78,0.0,79,Pierluigi Gollini,142,14,1,13,13,Bologna,Italy,Atalanta,1. Serie A
21,86,66,50.0,80,Alessio Cragno,142,12,1,16,15,Fiesole,Italy,Cagliari,1. Serie A
3,19,17,0.0,81,Yassine Bounou,136,9,1,16,14,Montreal,Québec,Sevilla,1. La Liga
10,28,17,"",82,Adrián,140,12,1,13,13,Seville,Spain,Liverpool,1. Premier League
10,28,17,"",83,Adrián,130,1,1,2,1,Seville,Spain,Liverpool,1. Premier League
