assists,dribbles,sca,sca90,pass_targets,miscontrols,dispossessed,fouled,fbrefId,playerFullName,ca,vis,ldr,pas,dri,agi,cnt,city,country,position,squad,comp,id
1,11,12,1.57,267,16,10,8,09a9e921,Carlos Bacca,135,13,13,12,12,13,14,Barranquilla,Colombia,FW,Villarreal,1. La Liga,37
0,26,16,1.43,419,8,11,13,0a3065c8,Mitchell Dijks,134,12,12,13,11,12,12,Gemeente Purmerend,Netherlands,"DF (CB-FB, left)",Bologna,1. Serie A,38
2,34,38,2.47,698,32,30,29,0a447501,Antonio Sanabria,127,13,9,10,14,15,9,San Lorenzo,Paraguay,FW,Genoa,1. Serie A,39
1,38,28,1.53,941,14,24,32,0a483542,Giorgos Kyriakopoulos,123,10,7,13,12,13,11,Pátrai,Greece,"DF (FB, left)",Sassuolo,1. Serie A,40
5,81,104,3.53,2102,22,29,87,0ab1f153,Juan Cuadrado,157,12,4,14,16,16,11,Bogotá,Colombia,"DF-FW-MF (AM-FB-WM, right)",Juventus,1. Serie A,41
2,28,21,2.04,446,19,13,17,0ac94a23,Denis Cheryshev,137,11,9,12,14,12,14,Nizhny Novgorod,Russia,"FW-MF (WM, left)",Valencia,1. La Liga,42
1,26,41,1.63,1022,63,26,36,0ae4e09a,Roger Martí,138,12,9,13,11,13,14,Torrent,Spain,FW,Levante,1. La Liga,43
1,6,4,0.13,770,5,4,14,0b33f6ad,Mohammed Salisu,115,8,6,10,2,11,9,Benin,Benin,"DF (CB, left)",Valladolid,1. La Liga,44
2,38,76,3.48,1675,13,14,59,0b5a292a,Mário Rui,141,12,9,12,14,15,13,Sines Municipality,Portugal,"DF-MF (FB, left)",Napoli,1. Serie A,45
3,30,49,2.27,1198,60,48,41,0b90bb97,Santi Mina,141,11,8,12,13,12,14,Vigo,Spain,FW,Celta Vigo,1. La Liga,46
1,56,38,3.33,702,34,22,22,0ba976e4,Ansu Fati,148,14,9,12,16,17,13,Bissau,Guinea-Bissau,FW,Barcelona,1. La Liga,47
0,10,11,2.37,180,18,7,9,0bc4e720,Manu Vallejo,133,12,10,12,13,15,12,Chiclana de la Frontera,Spain,FW-MF,Valencia,1. La Liga,48
6,82,66,2.92,955,60,54,30,0c61c77c,Dodi Lukebakio,138,12,4,12,15,14,8,Asse,Belgium,"FW-MF (AM-WM, right)",Hertha BSC,1. Bundesliga,49
2,14,25,2.43,675,8,23,16,0d077b88,Mehdi Bourabia,128,12,11,14,12,12,12,Dijon,France,MF,Sassuolo,1. Serie A,50
0,1,3,0.09,343,1,0,6,0d422df7,Marco Silvestri,128,10,10,8,2,14,11,Castelnovo ne' Monti,Italy,GK,Hellas Verona,1. Serie A,51
0,0,2,0.09,514,1,0,4,0d55d942,Alexander Schwolow,135,9,9,12,1,12,16,Wiesbaden,Germany,GK,Freiburg,1. Bundesliga,52
3,46,71,2.68,1626,19,25,49,0d82903c,Alex Sandro,162,12,7,14,14,15,11,Catanduva,Brazil,"DF-MF (FB, left)",Juventus,1. Serie A,53
7,49,117,3.49,1112,34,38,66,0db169ae,Sandro Tonali,134,13,14,14,14,11,13,Lodi,Italy,MF (DM),Brescia,1. Serie A,54
0,4,5,1.36,119,4,0,9,0e4fef6e,Lucas Torró,123,9,13,12,8,13,14,Cocentaina,Spain,MF (CM-DM),Eint Frankfurt,1. Bundesliga,55
6,69,78,4.98,1045,22,33,30,0ef89a37,Philippe Coutinho,165,18,9,15,18,17,12,Rio de Janeiro,Brazil,"FW-MF (AM-WM, left)",Bayern Munich,1. Bundesliga,56
3,32,40,2.49,732,15,15,19,0fbecd11,Dominik Kohr,130,10,13,12,8,10,14,Trier,Germany,MF (DM),Eint Frankfurt,1. Bundesliga,57
0,1,0,0.0,77,0,0,0,10072610,Claudio Bravo,125,12,9,13,13,14,12,Buin,Chile,GK,Manchester City,1. Premier League,58
1,14,27,1.01,1884,6,7,22,101da2b5,Fernandinho,165,13,14,15,13,15,18,Londrina,Brazil,DF-MF (AM-CM-DM),Manchester City,1. Premier League,59
1,7,10,0.55,512,0,3,6,1025db8e,Jeffrey Gouweleeuw,133,13,12,14,11,11,11,Gemeente Heemskerk,Netherlands,"DF (CB, right)",Augsburg,1. Bundesliga,60
1,50,27,1.7,734,32,37,20,106bca06,Alessandro Schöpf,141,12,8,13,14,15,12,Umhausen,Austria,MF (AM),Schalke 04,1. Bundesliga,61
0,0,0,0.0,69,0,0,0,10b9fa99,Ethan Ampadu,126,10,12,14,9,11,11,Exeter,England,DF-MF,RB Leipzig,1. Bundesliga,62
0,1,3,0.08,467,1,0,3,10dc46f0,Salvatore Sirigu,152,7,13,9,6,15,14,Nuoro,Italy,GK,Torino,1. Serie A,63
1,20,29,2.57,610,5,11,18,10e7f486,Rogério,131,11,10,12,14,15,14,Nobres,Brazil,"DF-MF (FB, left)",Sassuolo,1. Serie A,64
0,24,18,1.36,635,10,9,12,111c3236,Fabian Delph,135,13,16,14,12,15,13,Bradford,England,DF-MF,Everton,1. Premier League,65
0,2,8,0.66,977,3,1,10,119b9a8e,Aymeric Laporte,170,16,13,16,13,13,17,Agen,France,"DF (CB, left)",Manchester City,1. Premier League,66
0,23,19,1.16,761,16,11,8,11b9265b,Alberto Moreno,138,12,7,13,13,15,10,Seville,Spain,"DF-MF (FB, left)",Villarreal,1. La Liga,67
1,15,17,0.76,963,6,8,22,11fd2b75,Omar Mascarell,135,12,12,14,11,13,12,Santa Cruz de Tenerife,Spain,MF (CM-DM),Schalke 04,1. Bundesliga,68
