id,player,games,minutes
963,Enes Ünal,35,2344
964,Jonny Evans,38,3383
965,Jens Stryger Larsen,33,2789
966,Nils Petersen,34,2436
967,Marco Richter,31,2280
968,Wendell,24,1903
969,Alfreð Finnbogason,21,966
970,Richarlison,36,3070
971,Nico Schulz,11,594
972,Marius Wolf,21,1410
973,Mario Gaspar,25,1962
974,Aïssa Mandi,29,2576
975,Luke Thomas,3,267
976,Dwight McNeil,38,3338
977,Diego Godín,23,1628
978,Kieran Tierney,15,989
979,Lucas Vázquez,18,848
980,Jan Thielmann,12,554
981,Martin Braithwaite,24,1934
982,Martin Braithwaite,11,407
983,Santiago Arias,14,1076
984,Jeremie Boga,34,2513
985,Thomas Delaney,11,830
986,Carlos Soler,28,2066
987,Kai Havertz,30,2454
988,Ishak Belfodil,5,269
989,Mark Noble,33,2674
990,Robert Skov,31,2608
991,Anwar El Ghazi,34,2051
992,Florian Grillitsch,31,2408
