id,player,games,minutes
633,Issa Diop,32,2766
634,Edmond Tapsoba,14,1058
635,Daniel Brosinski,26,1709
636,Paco Alcácer,13,924
637,Paco Alcácer,11,530
638,Héctor Herrera,21,1123
639,Manuel Locatelli,33,2586
640,Josh Sargent,28,1416
641,Carles Pérez,14,566
642,Carles Pérez,10,476
643,Mark Flekken,10,900
644,Jeremy Toljan,29,2186
645,Neto,2,180
646,Niklas Stark,21,1731
647,Kike Barja,8,313
648,Davide Faraoni,36,3228
649,Christian Benteke,24,1261
650,Miguel Veloso,34,2811
651,Nathan Redmond,32,2762
652,Arne Maier,14,535
653,Luuk de Jong,35,2059
654,Michail Antonio,24,1768
655,Nordi Mukiele,25,1783
656,Mattia Caldara,14,959
657,Eric Dier,19,1344
658,Benno Schmitz,18,1158
659,Vicente Iborra,34,2648
660,Riccardo Calafiori,1,59
661,Gerard Piqué,35,3092
662,Dani Olmo,12,747
663,Julian Chabot,8,569
664,Édgar Méndez,16,864
665,Moussa Diaby,28,1771
666,Sergio Escudero,11,773
667,Rafael Czichos,26,2207
668,Jack Grealish,36,3233
669,Federico Chiesa,34,2637
670,Mikel Vesga,20,1269
671,Ilija Nestorovski,28,1251
672,Ousmane Dembélé,5,357
673,Joël Matip,9,703
674,Jeison Murillo,10,666
675,Jeison Murillo,18,1529
676,Andros Townsend,24,1294
677,Wilfried Zaha,38,3280
678,Víctor Camarasa,1,6
679,Víctor Camarasa,17,1293
680,Nolito,15,898
681,Nolito,7,324
682,Dan Burn,34,2880
683,Suat Serdar,20,1599
684,Takehiro Tomiyasu,29,2528
685,Timothy Chandler,22,1220
686,Raheem Sterling,33,2651
687,Raúl García,35,2869
688,Raúl García,35,2869
689,Diego Carlos,35,3134
690,Sebastian Andersson,33,2682
691,Admir Mehmedi,21,1200
692,Raúl Jiménez,38,3236
693,Lyanco,17,1176
694,Nemanja Radoja,26,1993
695,Gabriel Jesus,34,2030
696,Chris Smalling,30,2566
697,Stefano Sensi,12,723
698,Marc Bartra,30,2524
699,Marvin Friedrich,31,2789
700,Víctor Laguardia,31,2654
701,Gabriel Paulista,33,2801
702,Kevin Kampl,11,675
703,Marc Albrighton,20,867
704,Fred,29,2163
705,Samuel Chukwueze,37,2048
706,Maxime Gonalons,19,1506
707,Francesco Acerbi,36,3162
708,N'Golo Kanté,22,1732
709,Danilo Cataldi,21,592
710,Damián Suárez,30,2592
711,Solly March,19,1143
712,Diego Llorente,29,2327
713,Cristian Ansaldi,27,1768
714,Christopher Lenz,26,2267
715,Sergi Gómez,13,717
716,Bukayo Saka,26,1753
717,Jonathan Tah,25,2092
718,João Cancelo,17,1208
719,Gonzalo Villar,9,299
720,Unai Núñez,20,1572
721,Hannes Wolf,5,58
722,Ashley Young,12,955
723,Ashley Young,18,1185
724,Maximilian Eggestein,32,2855
725,Nabil Fekir,32,2638
726,Karim Bellarabi,26,1424
727,Roland Sallai,21,1162
728,Amadou Diawara,22,1518
729,Ebrima Colley,5,82
730,Federico Bonazzoli,19,744
731,Kortney Hause,18,1545
732,Iker Muniain,31,2382
733,Dani Ceballos,24,1692
734,Ryan Fredericks,27,2237
735,Joelinton,38,2683
736,Konrad Laimer,29,2115
737,Jonas Hector,29,2433
738,Jesús Vallejo,2,163
739,Jesús Vallejo,11,629
740,Ellyes Skhiri,32,2672
741,Matteo Gabbia,9,680
742,Lucas Hernández,19,920
743,Adam Webster,31,2668
744,Wout Weghorst,32,2739
745,Andreas Skov Olsen,26,760
746,Rafael Tolói,33,2608
747,Callum Wilson,35,2908
748,Faouzi Ghoulam,9,376
749,Michael Keane,31,2559
750,Darko Churlinov,1,21
751,Rúben Vezo,29,2610
752,Sadio Mané,35,2747
753,Kostas Manolas,26,2176
754,Rolando Mandragora,26,2050
755,Antonio Puertas,36,2563
756,Thierry Correia,4,259
757,Fabian Schär,22,1672
758,Almamy Touré,19,1491
759,Kelechi Iheanacho,20,960
760,Daniel James,33,2287
761,Isaac Hayden,29,2223
762,Brais Méndez,31,1477
