role_complete,role_specific,role_generic,id
"MF (DM, right)",DM-right,MF,116
"DF-FW-MF (AM-FB, right)",AM-FB-right,DF-FW-MF,117
DF-FW-MF (WM),WM,DF-FW-MF,118
"DF-FW-MF (CM-DM-FB-WM, left)",CM-DM-FB-WM-left,DF-FW-MF,119
"DF-MF (AM, left)",AM-left,DF-MF,120
"DF-MF (DM-FB-WM, left)",DM-FB-WM-left,DF-MF,121
FW-MF (AM-CB-CM),AM-CB-CM,FW-MF,122
"DF-FW-MF (AM, right)",AM-right,DF-FW-MF,123
"DF-FW-MF (WM, right)",WM-right,DF-FW-MF,124
"MF (CM-WM, right)",CM-WM-right,MF,125
