player,squad,comp,id
Harry Maguire,Manchester Utd,1. Premier League,452
Andrea Favilli,Genoa,1. Serie A,453
Sergio Postigo,Levante,1. La Liga,454
Corentin Tolisso,Bayern Munich,1. Bundesliga,455
Yussuf Poulsen,RB Leipzig,1. Bundesliga,456
Aaron Ramsey,Juventus,1. Serie A,457
Federico Fernández,Newcastle Utd,1. Premier League,458
Sergio Reguilón,Sevilla,1. La Liga,459
Nacho Vidal,Osasuna,1. La Liga,460
Domenico Berardi,Sassuolo,1. Serie A,461
Jordan Ayew,Crystal Palace,1. Premier League,462
Kevin Lasagna,Udinese,1. Serie A,463
Angeliño,RB Leipzig,1. Bundesliga,464
Raphaël Varane,Real Madrid,1. La Liga,465
Fredrik Jensen,Augsburg,1. Bundesliga,466
Juraj Kucka,Parma,1. Serie A,467
Berat Djimsiti,Atalanta,1. Serie A,468
Mário Rui,Napoli,1. Serie A,469
Álvaro Morata,Atlético Madrid,1. La Liga,470
Lorenzo Pellegrini,Roma,1. Serie A,471
Francesco Caputo,Sassuolo,1. Serie A,472
Pere Pons,Alavés,1. La Liga,473
Javi Martínez,Osasuna,1. La Liga,474
Dennis Geiger,Hoffenheim,1. Bundesliga,475
Dwight Gayle,Newcastle Utd,1. Premier League,476
Unai García,Osasuna,1. La Liga,477
Josip Brekalo,Wolfsburg,1. Bundesliga,478
Giovani Lo Celso,Tottenham,1. Premier League,479
Domenico Criscito,Genoa,1. Serie A,480
Riccardo Sottil,Fiorentina,1. Serie A,481
Merih Demiral,Juventus,1. Serie A,482
Milan Badelj,Fiorentina,1. Serie A,483
Pascal Groß,Brighton,1. Premier League,484
Federico Dimarco,Inter,1. Serie A,485
Ludwig Augustinsson,Werder Bremen,1. Bundesliga,486
Christian Oliva,Cagliari,1. Serie A,487
Fernandinho,Manchester City,1. Premier League,488
Daniele Rugani,Juventus,1. Serie A,489
Gonzalo Melero,Levante,1. La Liga,490
Benjamin Pavard,Bayern Munich,1. Bundesliga,491
Axel Witsel,Dortmund,1. Bundesliga,492
Che Adams,Southampton,1. Premier League,493
Juan Jesus,Roma,1. Serie A,494
Andrea Masiello,Genoa,1. Serie A,495
Luis Suárez,Barcelona,1. La Liga,496
Bastian Oczipka,Schalke 04,1. Bundesliga,497
Lionel Messi,Barcelona,1. La Liga,498
Martín Cáceres,Fiorentina,1. Serie A,499
Demarai Gray,Leicester City,1. Premier League,500
Makoto Hasebe,Eint Frankfurt,1. Bundesliga,501
Patrick Cutrone,Wolves,1. Premier League,502
Billy Gilmour,Chelsea,1. Premier League,503
Vincenzo Grifo,Freiburg,1. Bundesliga,504
Håvard Nordtveit,Hoffenheim,1. Bundesliga,505
Niko Gießelmann,Düsseldorf,1. Bundesliga,506
Gerard Piqué,Barcelona,1. La Liga,507
Maxime Gonalons,Granada,1. La Liga,508
Calum Chambers,Arsenal,1. Premier League,509
João Pedro,Watford,1. Premier League,510
Bryan Cristante,Roma,1. Serie A,511
Joan Jordán,Sevilla,1. La Liga,512
Jeffrey Schlupp,Crystal Palace,1. Premier League,513
Alfonso Pedraza,Betis,1. La Liga,514
Roberto Soldado,Granada,1. La Liga,515
Sadio Mané,Liverpool,1. Premier League,516
Giacomo Bonaventura,Milan,1. Serie A,517
Iago,Augsburg,1. Bundesliga,518
Phil Bardsley,Burnley,1. Premier League,519
Alessio Romagnoli,Milan,1. Serie A,520
Gianluca Caprari,Sampdoria,1. Serie A,521
Martín Montoya,Brighton,1. Premier League,522
Cristian Tello,Betis,1. La Liga,523
Jerry St. Juste,Mainz 05,1. Bundesliga,524
Wilfried Zaha,Crystal Palace,1. Premier League,525
Lucas Höler,Freiburg,1. Bundesliga,526
Daniel Wass,Valencia,1. La Liga,527
Frenkie de Jong,Barcelona,1. La Liga,528
Ruben Loftus-Cheek,Chelsea,1. Premier League,529
Morgan Gibbs-White,Wolves,1. Premier League,530
Unai López,Athletic Club,1. La Liga,531
Marvin Zeegelaar,Udinese,1. Serie A,532
Jaume Costa,Valencia,1. La Liga,533
Jesse Lingard,Manchester Utd,1. Premier League,534
Mattia Caldara,Atalanta,1. Serie A,535
Ilija Nestorovski,Udinese,1. Serie A,536
Ryan Fredericks,West Ham,1. Premier League,537
Roger Martí,Levante,1. La Liga,538
Sergio Córdova,Augsburg,1. Bundesliga,539
Jan Bednarek,Southampton,1. Premier League,540
Kristoffer Askildsen,Sampdoria,1. Serie A,541
Ashley Young,Manchester Utd,1. Premier League,542
Matthijs de Ligt,Juventus,1. Serie A,543
Giovanni Di Lorenzo,Napoli,1. Serie A,544
Gonzalo Escalante,Eibar,1. La Liga,545
Ciro Immobile,Lazio,1. Serie A,546
Andreas Pereira,Manchester Utd,1. Premier League,547
William Troost-Ekong,Udinese,1. Serie A,548
Gerard Moreno,Villarreal,1. La Liga,549
Manolo Gabbiadini,Sampdoria,1. Serie A,550
Karim Onisiwo,Mainz 05,1. Bundesliga,551
Rob Holding,Arsenal,1. Premier League,552
Marvin Plattenhardt,Hertha BSC,1. Bundesliga,553
Giuseppe Pezzella,Parma,1. Serie A,554
Tommaso Augello,Sampdoria,1. Serie A,555
Stefan Posch,Hoffenheim,1. Bundesliga,556
Éder Militão,Real Madrid,1. La Liga,557
Ross Barkley,Chelsea,1. Premier League,558
Tanguy Ndombele,Tottenham,1. Premier League,559
Fabio Depaoli,Sampdoria,1. Serie A,560
Gian-Luca Itter,Freiburg,1. Bundesliga,561
Janik Haberer,Freiburg,1. Bundesliga,562
Raheem Sterling,Manchester City,1. Premier League,563
Federico Bonazzoli,Sampdoria,1. Serie A,564
William Carvalho,Betis,1. La Liga,565
Walace,Udinese,1. Serie A,566
Elseid Hysaj,Napoli,1. Serie A,567
Raúl Jiménez,Wolves,1. Premier League,568
Almamy Touré,Eint Frankfurt,1. Bundesliga,569
Lautaro Martínez,Inter,1. Serie A,570
Sergio Ramos,Real Madrid,1. La Liga,571
André Gomes,Everton,1. Premier League,572
Justin Kluivert,Roma,1. Serie A,573
Mehdi Bourabia,Sassuolo,1. Serie A,574
Ben Davies,Tottenham,1. Premier League,575
Jay Rodriguez,Burnley,1. Premier League,576
John Stones,Manchester City,1. Premier League,577
Issa Diop,West Ham,1. Premier League,578
Andrés Guardado,Betis,1. La Liga,579
Josh Sargent,Werder Bremen,1. Bundesliga,580
Nolito,Celta Vigo,1. La Liga,581
Amine Harit,Schalke 04,1. Bundesliga,582
Riqui Puig,Barcelona,1. La Liga,583
Santiago Arias,Atlético Madrid,1. La Liga,584
Denis Vavro,Lazio,1. Serie A,585
Nico Schlotterbeck,Freiburg,1. Bundesliga,586
Ezequiel Ávila,Osasuna,1. La Liga,587
Miguel,Valladolid,1. La Liga,588
Jetro Willems,Newcastle Utd,1. Premier League,589
Jordan Henderson,Liverpool,1. Premier League,590
Raúl García,Athletic Club,1. La Liga,591
Andrea Carboni,Cagliari,1. Serie A,592
Ola Aina,Torino,1. Serie A,593
Samuel Umtiti,Barcelona,1. La Liga,594
Stefano Okaka,Udinese,1. Serie A,595
Jack Cork,Burnley,1. Premier League,596
Omar Colley,Sampdoria,1. Serie A,597
Giangiacomo Magnani,Sassuolo,1. Serie A,598
Claudio Bravo,Manchester City,1. Premier League,599
Ethan Ampadu,RB Leipzig,1. Bundesliga,600
