player,squad,comp,id
Grégoire Defrel,Sassuolo,1. Serie A,892
Luuk de Jong,Sevilla,1. La Liga,893
Adam Webster,Brighton,1. Premier League,894
Keven Schlotterbeck,Union Berlin,1. Bundesliga,895
Héctor Bellerín,Arsenal,1. Premier League,896
Alfred Duncan,Fiorentina,1. Serie A,897
Arthur Masuaku,West Ham,1. Premier League,898
Rani Khedira,Augsburg,1. Bundesliga,899
Karol Linetty,Sampdoria,1. Serie A,900
Musa Barrow,Atalanta,1. Serie A,901
Marco Benassi,Fiorentina,1. Serie A,902
Ronald Araújo,Barcelona,1. La Liga,903
Chris Wood,Burnley,1. Premier League,904
Sofyan Amrabat,Hellas Verona,1. Serie A,905
Nicolas Nkoulou,Torino,1. Serie A,906
Matteo Darmian,Parma,1. Serie A,907
Mark Noble,West Ham,1. Premier League,908
Denis Suárez,Celta Vigo,1. La Liga,909
Igor Zubeldia,Real Sociedad,1. La Liga,910
Juan Foyth,Tottenham,1. Premier League,911
Alberto Grassi,Parma,1. Serie A,912
Kyle Walker-Peters,Southampton,1. Premier League,913
Jeremy Toljan,Sassuolo,1. Serie A,914
Maya Yoshida,Sampdoria,1. Serie A,915
Martin Palumbo,Udinese,1. Serie A,916
Roberto Piccoli,Atalanta,1. Serie A,917
Christoph Baumgartner,Hoffenheim,1. Bundesliga,918
Alessandro Schöpf,Schalke 04,1. Bundesliga,919
Philipp Lienhart,Freiburg,1. Bundesliga,920
Wout Weghorst,Wolfsburg,1. Bundesliga,921
Paulo Dybala,Juventus,1. Serie A,922
Alfred Duncan,Sassuolo,1. Serie A,923
Borja Iglesias,Betis,1. La Liga,924
Igor,Fiorentina,1. Serie A,925
Takehiro Tomiyasu,Bologna,1. Serie A,926
Carlos Gruezo,Augsburg,1. Bundesliga,927
Federico Valverde,Real Madrid,1. La Liga,928
Erling Haaland,Dortmund,1. Bundesliga,929
Pau Torres,Villarreal,1. La Liga,930
Iñigo Lekue,Athletic Club,1. La Liga,931
Karim Bellarabi,Leverkusen,1. Bundesliga,932
Robert Andrich,Union Berlin,1. Bundesliga,933
Taiwo Awoniyi,Mainz 05,1. Bundesliga,934
Kévin Rodrigues,Leganés,1. La Liga,935
Eric García,Manchester City,1. Premier League,936
Jorge Meré,Köln,1. Bundesliga,937
Manuel Lazzari,Lazio,1. Serie A,938
Maxi Gómez,Valencia,1. La Liga,939
Casemiro,Real Madrid,1. La Liga,940
Mamadou Sakho,Crystal Palace,1. Premier League,941
Martin Ødegaard,Real Sociedad,1. La Liga,942
Rolando Mandragora,Udinese,1. Serie A,943
Neco Williams,Liverpool,1. Premier League,944
Nicolás Domínguez,Bologna,1. Serie A,945
Bruno Fernandes,Manchester Utd,1. Premier League,946
Anwar El Ghazi,Aston Villa,1. Premier League,947
Alberto Moreno,Villarreal,1. La Liga,948
Suso,Milan,1. Serie A,949
Yannick Gerhardt,Wolfsburg,1. Bundesliga,950
Xaver Schlager,Wolfsburg,1. Bundesliga,951
Alphonso Davies,Bayern Munich,1. Bundesliga,952
Joel Pohjanpalo,Leverkusen,1. Bundesliga,953
Djibril Sow,Eint Frankfurt,1. Bundesliga,954
Dominique Heintz,Freiburg,1. Bundesliga,955
Marc Cucurella,Getafe,1. La Liga,956
Jon Pacheco,Real Sociedad,1. La Liga,957
Dimitri Foulquier,Granada,1. La Liga,958
Robin Knoche,Wolfsburg,1. Bundesliga,959
Carlos Neva,Granada,1. La Liga,960
Alexandre Lacazette,Arsenal,1. Premier League,961
Hannes Wolf,RB Leipzig,1. Bundesliga,962
Federico Santander,Bologna,1. Serie A,963
Álvaro Odriozola,Bayern Munich,1. Bundesliga,964
Ondrej Duda,Hertha BSC,1. Bundesliga,965
Julian Brandt,Dortmund,1. Bundesliga,966
Sergio Escudero,Sevilla,1. La Liga,967
Ebrima Colley,Atalanta,1. Serie A,968
Matheus Cunha,Hertha BSC,1. Bundesliga,969
Cristiano Ronaldo,Juventus,1. Serie A,970
Thomas Delaney,Dortmund,1. Bundesliga,971
Cristian Romero,Genoa,1. Serie A,972
Sheraldo Becker,Union Berlin,1. Bundesliga,973
Igor,SPAL,1. Serie A,974
Nemanja Radoja,Levante,1. La Liga,975
Damián Suárez,Getafe,1. La Liga,976
Daniele Baselli,Torino,1. Serie A,977
Portu,Real Sociedad,1. La Liga,978
Manuel Gulde,Freiburg,1. Bundesliga,979
Martín Zubimendi,Real Sociedad,1. La Liga,980
Adam Lallana,Liverpool,1. Premier League,981
Mouctar Diakhaby,Valencia,1. La Liga,982
Andrea Belotti,Torino,1. Serie A,983
Antoine Griezmann,Barcelona,1. La Liga,984
Serge Aurier,Tottenham,1. Premier League,985
Angelo Ogbonna,West Ham,1. Premier League,986
Stefan Ilsanker,Eint Frankfurt,1. Bundesliga,987
Jeison Murillo,Celta Vigo,1. La Liga,988
Gabriel Paulista,Valencia,1. La Liga,989
Daniel Caligiuri,Schalke 04,1. Bundesliga,990
Theo Hernández,Milan,1. Serie A,991
Willian José,Real Sociedad,1. La Liga,992
Dejan Kulusevski,Parma,1. Serie A,993
Divock Origi,Liverpool,1. Premier League,994
Erick Pulgar,Fiorentina,1. Serie A,995
Danny Rose,Newcastle Utd,1. Premier League,996
Daniel James,Manchester Utd,1. Premier League,997
Ben Chilwell,Leicester City,1. Premier League,998
Antonio Candreva,Inter,1. Serie A,999
Kostas Stafylidis,Hoffenheim,1. Bundesliga,1000
Joel Ward,Crystal Palace,1. Premier League,1001
Nabil Fekir,Betis,1. La Liga,1002
Roland Sallai,Freiburg,1. Bundesliga,1003
Jan Thielmann,Köln,1. Bundesliga,1004
Jonathan Schmid,Freiburg,1. Bundesliga,1005
Ander Capa,Athletic Club,1. La Liga,1006
Jean-Philippe Mateta,Mainz 05,1. Bundesliga,1007
Manu Trigueros,Villarreal,1. La Liga,1008
Georginio Wijnaldum,Liverpool,1. Premier League,1009
Sergi Roberto,Barcelona,1. La Liga,1010
Jean-Paul Boëtius,Mainz 05,1. Bundesliga,1011
Jack Grealish,Aston Villa,1. Premier League,1012
Weston McKennie,Schalke 04,1. Bundesliga,1013
Leandro Trossard,Brighton,1. Premier League,1014
Rúben Neves,Wolves,1. Premier League,1015
Marc Roca,Espanyol,1. La Liga,1016
Mario Gaspar,Villarreal,1. La Liga,1017
Luiz Felipe,Lazio,1. Serie A,1018
Jannik Vestergaard,Southampton,1. Premier League,1019
Thomas Müller,Bayern Munich,1. Bundesliga,1020
Kerem Demirbay,Leverkusen,1. Bundesliga,1021
Davide Biraschi,Genoa,1. Serie A,1022
Jack Stephens,Southampton,1. Premier League,1023
Guido Carrillo,Leganés,1. La Liga,1024
Tariq Lamptey,Chelsea,1. Premier League,1025
Florian Grillitsch,Hoffenheim,1. Bundesliga,1026
Kevin Long,Burnley,1. Premier League,1027
Lorenzo Tonelli,Sampdoria,1. Serie A,1028
Sean Longstaff,Newcastle Utd,1. Premier League,1029
Phil Jones,Manchester Utd,1. Premier League,1030
Rodri,Manchester City,1. Premier League,1031
Andrea Conti,Milan,1. Serie A,1032
Declan Rice,West Ham,1. Premier League,1033
Kevin Vogt,Werder Bremen,1. Bundesliga,1034
Lewis Dunk,Brighton,1. Premier League,1035
Matteo Pessina,Hellas Verona,1. Serie A,1036
Hamza Choudhury,Leicester City,1. Premier League,1037
José Luis Palomino,Atalanta,1. Serie A,1038
N'Golo Kanté,Chelsea,1. Premier League,1039
John Brooks,Wolfsburg,1. Bundesliga,1040
Florian Wirtz,Leverkusen,1. Bundesliga,1041
