player,squad,comp,id
James Ward-Prowse,Southampton,1. Premier League,565
Unai Núñez,Athletic Club,1. La Liga,566
Álex Berenguer,Torino,1. Serie A,567
Francesco Magnanelli,Sassuolo,1. Serie A,568
Rodrigo Bentancur,Juventus,1. Serie A,569
Karim Benzema,Real Madrid,1. La Liga,570
Ante Budimir,Mallorca,1. La Liga,571
Víctor Camarasa,Crystal Palace,1. Premier League,572
Víctor Laguardia,Alavés,1. La Liga,573
Darío Poveda,Atlético Madrid,1. La Liga,574
Diego Godín,Inter,1. Serie A,575
Raúl Albiol,Villarreal,1. La Liga,576
Gianluca Caprari,Parma,1. Serie A,577
Fikayo Tomori,Chelsea,1. Premier League,578
Adama Traoré,Wolves,1. Premier League,579
Tom Heaton,Aston Villa,1. Premier League,580
Lyanco,Torino,1. Serie A,581
Morten Thorsby,Sampdoria,1. Serie A,582
Fran Beltrán,Celta Vigo,1. La Liga,583
Robert Skov,Hoffenheim,1. Bundesliga,584
Davie Selke,Werder Bremen,1. Bundesliga,585
Melayro Bogarde,Hoffenheim,1. Bundesliga,586
Allan Saint-Maximin,Newcastle Utd,1. Premier League,587
Ridle Baku,Mainz 05,1. Bundesliga,588
Oriol Romeu,Southampton,1. Premier League,589
Moussa Diaby,Leverkusen,1. Bundesliga,590
Joelinton,Newcastle Utd,1. Premier League,591
Kalidou Koulibaly,Napoli,1. Serie A,592
Victor Lindelöf,Manchester Utd,1. Premier League,593
Sergi Guardiola,Valladolid,1. La Liga,594
John McGinn,Aston Villa,1. Premier League,595
Carles Pérez,Roma,1. Serie A,596
Solly March,Brighton,1. Premier League,597
Henrikh Mkhitaryan,Roma,1. Serie A,598
Ángel Correa,Atlético Madrid,1. La Liga,599
David García,Osasuna,1. La Liga,600
Mason Greenwood,Manchester Utd,1. Premier League,601
Davide Faraoni,Hellas Verona,1. Serie A,602
Allan,Napoli,1. Serie A,603
Virgil van Dijk,Liverpool,1. Premier League,604
Musa Barrow,Bologna,1. Serie A,605
Lucas Digne,Everton,1. Premier League,606
Valerio Verre,Hellas Verona,1. Serie A,607
Roberto Firmino,Liverpool,1. Premier League,608
Ximo Navarro,Alavés,1. La Liga,609
Juan Cuadrado,Juventus,1. Serie A,610
Callum Hudson-Odoi,Chelsea,1. Premier League,611
Stefano Sturaro,Genoa,1. Serie A,612
Ozan Kabak,Schalke 04,1. Bundesliga,613
Michael Gregoritsch,Augsburg,1. Bundesliga,614
Federico Chiesa,Fiorentina,1. Serie A,615
Wilfred Ndidi,Leicester City,1. Premier League,616
Marash Kumbulla,Hellas Verona,1. Serie A,617
Paco Alcácer,Villarreal,1. La Liga,618
Jesús Vallejo,Granada,1. La Liga,619
Juan Mata,Manchester Utd,1. Premier League,620
Duván Zapata,Atalanta,1. Serie A,621
Quini,Granada,1. La Liga,622
Benjamin Hübner,Hoffenheim,1. Bundesliga,623
Manuel Locatelli,Sassuolo,1. Serie A,624
Ander Guevara,Real Sociedad,1. La Liga,625
Willy Boly,Wolves,1. Premier League,626
Stefano Sensi,Inter,1. Serie A,627
Vitolo,Atlético Madrid,1. La Liga,628
Bram Nuytinck,Udinese,1. Serie A,629
Jonathan Burkardt,Mainz 05,1. Bundesliga,630
Willi Orban,RB Leipzig,1. Bundesliga,631
Kurt Zouma,Chelsea,1. Premier League,632
Giovanni Simeone,Cagliari,1. Serie A,633
Xherdan Shaqiri,Liverpool,1. Premier League,634
Milot Rashica,Werder Bremen,1. Bundesliga,635
Mattia Destro,Genoa,1. Serie A,636
Mahmoud Dahoud,Dortmund,1. Bundesliga,637
James Maddison,Leicester City,1. Premier League,638
Albin Ekdal,Sampdoria,1. Serie A,639
Mohammed Salisu,Valladolid,1. La Liga,640
Rubén García,Osasuna,1. La Liga,641
Goran Pandev,Genoa,1. Serie A,642
Jamaal Lascelles,Newcastle Utd,1. Premier League,643
Dimitri Foulquier,Watford,1. Premier League,644
Mason Mount,Chelsea,1. Premier League,645
Carles Pérez,Barcelona,1. La Liga,646
Roberto Gagliardini,Inter,1. Serie A,647
Pervis Estupiñán,Osasuna,1. La Liga,648
Gabriele Corbo,Bologna,1. Serie A,649
Marcus Ingvartsen,Union Berlin,1. Bundesliga,650
Jerdy Schouten,Bologna,1. Serie A,651
César Azpilicueta,Chelsea,1. Premier League,652
Ihlas Bebou,Hoffenheim,1. Bundesliga,653
Jorginho,Chelsea,1. Premier League,654
Andreas Christensen,Chelsea,1. Premier League,655
Rodrigo,Valencia,1. La Liga,656
Harry Kane,Tottenham,1. Premier League,657
Axel Tuanzebe,Manchester Utd,1. Premier League,658
Carlos Clerc,Levante,1. La Liga,659
Phil Foden,Manchester City,1. Premier League,660
Jens Stryger Larsen,Udinese,1. Serie A,661
José Ángel,Eibar,1. La Liga,662
Remo Freuler,Atalanta,1. Serie A,663
Víctor Camarasa,Alavés,1. La Liga,664
Dele Alli,Tottenham,1. Premier League,665
Conor Coady,Wolves,1. Premier League,666
Aarón Martín,Mainz 05,1. Bundesliga,667
Dries Mertens,Napoli,1. Serie A,668
Kyle Walker-Peters,Tottenham,1. Premier League,669
Trent Alexander-Arnold,Liverpool,1. Premier League,670
Giorgio Chiellini,Juventus,1. Serie A,671
Tomás Rincón,Torino,1. Serie A,672
Lorenzo Insigne,Napoli,1. Serie A,673
Mathías Olivera,Getafe,1. La Liga,674
Koffi Djidji,Torino,1. Serie A,675
Iker Muniain,Athletic Club,1. La Liga,676
Granit Xhaka,Arsenal,1. Premier League,677
Erick Cabaco,Getafe,1. La Liga,678
Philippe Coutinho,Bayern Munich,1. Bundesliga,679
Dominic Calvert-Lewin,Everton,1. Premier League,680
Lukas Klünter,Hertha BSC,1. Bundesliga,681
Mikel Vesga,Athletic Club,1. La Liga,682
Marvin Friedrich,Union Berlin,1. Bundesliga,683
Leon Goretzka,Bayern Munich,1. Bundesliga,684
Aritz Elustondo,Real Sociedad,1. La Liga,685
Nils Petersen,Freiburg,1. Bundesliga,686
Jordan Pickford,Everton,1. Premier League,687
Luca Ceppitelli,Cagliari,1. Serie A,688
Maximilian Mittelstädt,Hertha BSC,1. Bundesliga,689
Chris Smalling,Roma,1. Serie A,690
Christian Günter,Freiburg,1. Bundesliga,691
Lukas Klostermann,RB Leipzig,1. Bundesliga,692
Davinson Sánchez,Tottenham,1. Premier League,693
Ryan Bertrand,Southampton,1. Premier League,694
Kevin Akpoguma,Hoffenheim,1. Bundesliga,695
Lorenzo Venuti,Fiorentina,1. Serie A,696
Francesco Acerbi,Lazio,1. Serie A,697
Nicolò Rovella,Genoa,1. Serie A,698
Gian Marco Ferrari,Sassuolo,1. Serie A,699
Joël Matip,Liverpool,1. Premier League,700
João Cancelo,Manchester City,1. Premier League,701
Jesús Navas,Sevilla,1. La Liga,702
Youri Tielemans,Leicester City,1. Premier League,703
Paul Pogba,Manchester Utd,1. Premier League,704
Luis Alberto,Lazio,1. Serie A,705
Grischa Prömel,Union Berlin,1. Bundesliga,706
Takefusa Kubo,Mallorca,1. La Liga,707
Pablo Piatti,Espanyol,1. La Liga,708
Thorgan Hazard,Dortmund,1. Bundesliga,709
Iñaki Williams,Athletic Club,1. La Liga,710
Kevin Möhwald,Werder Bremen,1. Bundesliga,711
Andreas Skov Olsen,Bologna,1. Serie A,712
Lucas Vázquez,Real Madrid,1. La Liga,713
David Timor,Getafe,1. La Liga,714
Enis Bardhi,Levante,1. La Liga,715
Danny Welbeck,Watford,1. Premier League,716
Erick Cabaco,Levante,1. La Liga,717
Alisson,Liverpool,1. Premier League,718
Robert Lewandowski,Bayern Munich,1. Bundesliga,719
Nicolò Zaniolo,Roma,1. Serie A,720
Andros Townsend,Crystal Palace,1. Premier League,721
Mikel Balenziaga,Athletic Club,1. La Liga,722
Josh Brownhill,Burnley,1. Premier League,723
Borja Mayoral,Levante,1. La Liga,724
Coke,Levante,1. La Liga,725
Gastón Pereiro,Cagliari,1. Serie A,726
Anthony Martial,Manchester Utd,1. Premier League,727
Emil Forsberg,RB Leipzig,1. Bundesliga,728
Ellyes Skhiri,Köln,1. Bundesliga,729
Alex Iwobi,Everton,1. Premier League,730
Robin Le Normand,Real Sociedad,1. La Liga,731
Mario Hermoso,Atlético Madrid,1. La Liga,732
Nicolas Pépé,Arsenal,1. Premier League,733
Yves Bissouma,Brighton,1. Premier League,734
Toni Kroos,Real Madrid,1. La Liga,735
Ángel Montoro,Granada,1. La Liga,736
Ayoze Pérez,Leicester City,1. Premier League,737
Benno Schmitz,Köln,1. Bundesliga,738
Javi López,Alavés,1. La Liga,739
Darwin Machís,Granada,1. La Liga,740
Kai Havertz,Leverkusen,1. Bundesliga,741
Fabinho,Liverpool,1. Premier League,742
Simon Kjær,Milan,1. Serie A,743
Édgar Méndez,Alavés,1. La Liga,744
Nicolò Barella,Inter,1. Serie A,745
Samuel Chukwueze,Villarreal,1. La Liga,746
Daniel Ginczek,Wolfsburg,1. Bundesliga,747
Mattia Bani,Bologna,1. Serie A,748
Mauro Arambarri,Getafe,1. La Liga,749
Reece Oxford,Augsburg,1. Bundesliga,750
Niklas Stark,Hertha BSC,1. Bundesliga,751
Kostas Manolas,Napoli,1. Serie A,752
Koke,Atlético Madrid,1. La Liga,753
Jason,Getafe,1. La Liga,754
Jacopo Da Riva,Atalanta,1. Serie A,755
Diogo Dalot,Manchester Utd,1. Premier League,756
Josuha Guilavogui,Wolfsburg,1. Bundesliga,757
Jaime Mata,Getafe,1. La Liga,758
Manu Vallejo,Valencia,1. La Liga,759
Theo Walcott,Everton,1. Premier League,760
Romelu Lukaku,Inter,1. Serie A,761
David Silva,Manchester City,1. Premier League,762
Rubén Rochina,Levante,1. La Liga,763
Raphaël Guerreiro,Dortmund,1. Bundesliga,764
Cengiz Ünder,Roma,1. Serie A,765
Timothy Castagne,Atalanta,1. Serie A,766
Cristian Ansaldi,Torino,1. Serie A,767
Marten de Roon,Atalanta,1. Serie A,768
Diego Demme,Napoli,1. Serie A,769
Stanislav Lobotka,Napoli,1. Serie A,770
Daichi Kamada,Eint Frankfurt,1. Bundesliga,771
Leon Bailey,Leverkusen,1. Bundesliga,772
Lucas Leiva,Lazio,1. Serie A,773
Eric Bailly,Manchester Utd,1. Premier League,774
Samu Castillejo,Milan,1. Serie A,775
Rubén Peña,Villarreal,1. La Liga,776
Antonio Barragán,Betis,1. La Liga,777
Aihen Muñoz,Real Sociedad,1. La Liga,778
Dwight McNeil,Burnley,1. Premier League,779
Youssef En-Nesyri,Leganés,1. La Liga,780
Diego Carlos,Sevilla,1. La Liga,781
Jonas Hector,Köln,1. Bundesliga,782
Mikel Merino,Real Sociedad,1. La Liga,783
James Tarkowski,Burnley,1. Premier League,784
Sergio Agüero,Manchester City,1. Premier League,785
Douglas Luiz,Aston Villa,1. Premier League,786
Tom Davies,Everton,1. Premier League,787
Jonathan Tah,Leverkusen,1. Bundesliga,788
Dani Ceballos,Arsenal,1. Premier League,789
Exequiel Palacios,Leverkusen,1. Bundesliga,790
Giorgos Kyriakopoulos,Sassuolo,1. Serie A,791
Jonjo Shelvey,Newcastle Utd,1. Premier League,792
Serge Gnabry,Bayern Munich,1. Bundesliga,793
Marc Bartra,Betis,1. La Liga,794
Danilo Cataldi,Lazio,1. Serie A,795
Michael Keane,Everton,1. Premier League,796
Joseph Aidoo,Celta Vigo,1. La Liga,797
Jérôme Boateng,Bayern Munich,1. Bundesliga,798
Federico Peluso,Sassuolo,1. Serie A,799
Ben Mee,Burnley,1. Premier League,800
Raúl Moro,Lazio,1. Serie A,801
Nacho,Real Madrid,1. La Liga,802
Lucas Moura,Tottenham,1. Premier League,803
Gonzalo Villar,Roma,1. Serie A,804
Jadon Sancho,Dortmund,1. Bundesliga,805
Kevin Vogt,Hoffenheim,1. Bundesliga,806
Adrien Tameze,Atalanta,1. Serie A,807
Stuart Armstrong,Southampton,1. Premier League,808
Romain Saïss,Wolves,1. Premier League,809
Patrick Cutrone,Fiorentina,1. Serie A,810
Emre Can,Juventus,1. Serie A,811
Konrad Laimer,RB Leipzig,1. Bundesliga,812
Nélson Semedo,Barcelona,1. La Liga,813
Noah Katterbach,Köln,1. Bundesliga,814
Germán Pezzella,Fiorentina,1. Serie A,815
Cheikhou Kouyaté,Crystal Palace,1. Premier League,816
Geoffrey Kondogbia,Valencia,1. La Liga,817
Samuel Di Carmine,Hellas Verona,1. Serie A,818
Hans Hateboer,Atalanta,1. Serie A,819
Adama Soumaoro,Genoa,1. Serie A,820
Alexander Hack,Mainz 05,1. Bundesliga,821
Kike,Eibar,1. La Liga,822
Alexis Saelemaekers,Milan,1. Serie A,823
Marco Asensio,Real Madrid,1. La Liga,824
Jordan Veretout,Roma,1. Serie A,825
Grégoire Defrel,Sassuolo,1. Serie A,826
Luuk de Jong,Sevilla,1. La Liga,827
Adam Webster,Brighton,1. Premier League,828
Keven Schlotterbeck,Union Berlin,1. Bundesliga,829
Héctor Bellerín,Arsenal,1. Premier League,830
Alfred Duncan,Fiorentina,1. Serie A,831
Arthur Masuaku,West Ham,1. Premier League,832
Rani Khedira,Augsburg,1. Bundesliga,833
Karol Linetty,Sampdoria,1. Serie A,834
Musa Barrow,Atalanta,1. Serie A,835
Marco Benassi,Fiorentina,1. Serie A,836
Ronald Araújo,Barcelona,1. La Liga,837
Chris Wood,Burnley,1. Premier League,838
Sofyan Amrabat,Hellas Verona,1. Serie A,839
Nicolas Nkoulou,Torino,1. Serie A,840
Matteo Darmian,Parma,1. Serie A,841
Juan Musso,Udinese,1. Serie A,842
Mark Noble,West Ham,1. Premier League,843
Denis Suárez,Celta Vigo,1. La Liga,844
Igor Zubeldia,Real Sociedad,1. La Liga,845
Juan Foyth,Tottenham,1. Premier League,846
Alberto Grassi,Parma,1. Serie A,847
Kyle Walker-Peters,Southampton,1. Premier League,848
Jeremy Toljan,Sassuolo,1. Serie A,849
Maya Yoshida,Sampdoria,1. Serie A,850
Roberto Piccoli,Atalanta,1. Serie A,851
Christoph Baumgartner,Hoffenheim,1. Bundesliga,852
Alessandro Schöpf,Schalke 04,1. Bundesliga,853
Philipp Lienhart,Freiburg,1. Bundesliga,854
Wout Weghorst,Wolfsburg,1. Bundesliga,855
Paulo Dybala,Juventus,1. Serie A,856
Alfred Duncan,Sassuolo,1. Serie A,857
Borja Iglesias,Betis,1. La Liga,858
Igor,Fiorentina,1. Serie A,859
Takehiro Tomiyasu,Bologna,1. Serie A,860
Carlos Gruezo,Augsburg,1. Bundesliga,861
Federico Valverde,Real Madrid,1. La Liga,862
Erling Haaland,Dortmund,1. Bundesliga,863
Pau Torres,Villarreal,1. La Liga,864
Iñigo Lekue,Athletic Club,1. La Liga,865
Karim Bellarabi,Leverkusen,1. Bundesliga,866
Robert Andrich,Union Berlin,1. Bundesliga,867
Taiwo Awoniyi,Mainz 05,1. Bundesliga,868
Kévin Rodrigues,Leganés,1. La Liga,869
Eric García,Manchester City,1. Premier League,870
Jorge Meré,Köln,1. Bundesliga,871
Manuel Lazzari,Lazio,1. Serie A,872
Maxi Gómez,Valencia,1. La Liga,873
Casemiro,Real Madrid,1. La Liga,874
Mamadou Sakho,Crystal Palace,1. Premier League,875
Martin Ødegaard,Real Sociedad,1. La Liga,876
Rolando Mandragora,Udinese,1. Serie A,877
Neco Williams,Liverpool,1. Premier League,878
Nicolás Domínguez,Bologna,1. Serie A,879
Bruno Fernandes,Manchester Utd,1. Premier League,880
Anwar El Ghazi,Aston Villa,1. Premier League,881
Alberto Moreno,Villarreal,1. La Liga,882
Suso,Milan,1. Serie A,883
Yannick Gerhardt,Wolfsburg,1. Bundesliga,884
Xaver Schlager,Wolfsburg,1. Bundesliga,885
Alphonso Davies,Bayern Munich,1. Bundesliga,886
Joel Pohjanpalo,Leverkusen,1. Bundesliga,887
Djibril Sow,Eint Frankfurt,1. Bundesliga,888
Dominique Heintz,Freiburg,1. Bundesliga,889
Marc Cucurella,Getafe,1. La Liga,890
Jon Pacheco,Real Sociedad,1. La Liga,891
Dimitri Foulquier,Granada,1. La Liga,892
Robin Knoche,Wolfsburg,1. Bundesliga,893
Marc-André ter Stegen,Barcelona,1. La Liga,894
Carlos Neva,Granada,1. La Liga,895
Alexandre Lacazette,Arsenal,1. Premier League,896
Hannes Wolf,RB Leipzig,1. Bundesliga,897
Federico Santander,Bologna,1. Serie A,898
Álvaro Odriozola,Bayern Munich,1. Bundesliga,899
Ondrej Duda,Hertha BSC,1. Bundesliga,900
Julian Brandt,Dortmund,1. Bundesliga,901
Sergio Escudero,Sevilla,1. La Liga,902
Ebrima Colley,Atalanta,1. Serie A,903
Matheus Cunha,Hertha BSC,1. Bundesliga,904
Cristiano Ronaldo,Juventus,1. Serie A,905
Thomas Delaney,Dortmund,1. Bundesliga,906
Cristian Romero,Genoa,1. Serie A,907
Robin Zentner,Mainz 05,1. Bundesliga,908
Sheraldo Becker,Union Berlin,1. Bundesliga,909
Igor,SPAL,1. Serie A,910
Nemanja Radoja,Levante,1. La Liga,911
Damián Suárez,Getafe,1. La Liga,912
Daniele Baselli,Torino,1. Serie A,913
Portu,Real Sociedad,1. La Liga,914
Manuel Gulde,Freiburg,1. Bundesliga,915
Martín Zubimendi,Real Sociedad,1. La Liga,916
Adam Lallana,Liverpool,1. Premier League,917
Mouctar Diakhaby,Valencia,1. La Liga,918
Andrea Belotti,Torino,1. Serie A,919
Antoine Griezmann,Barcelona,1. La Liga,920
Serge Aurier,Tottenham,1. Premier League,921
Angelo Ogbonna,West Ham,1. Premier League,922
Stefan Ilsanker,Eint Frankfurt,1. Bundesliga,923
Jeison Murillo,Celta Vigo,1. La Liga,924
Gabriel Paulista,Valencia,1. La Liga,925
Daniel Caligiuri,Schalke 04,1. Bundesliga,926
Theo Hernández,Milan,1. Serie A,927
Willian José,Real Sociedad,1. La Liga,928
Dejan Kulusevski,Parma,1. Serie A,929
Divock Origi,Liverpool,1. Premier League,930
Erick Pulgar,Fiorentina,1. Serie A,931
Danny Rose,Newcastle Utd,1. Premier League,932
Daniel James,Manchester Utd,1. Premier League,933
Ben Chilwell,Leicester City,1. Premier League,934
Antonio Candreva,Inter,1. Serie A,935
Kostas Stafylidis,Hoffenheim,1. Bundesliga,936
Joel Ward,Crystal Palace,1. Premier League,937
Neto,Barcelona,1. La Liga,938
Nabil Fekir,Betis,1. La Liga,939
Roland Sallai,Freiburg,1. Bundesliga,940
Jan Thielmann,Köln,1. Bundesliga,941
Jonathan Schmid,Freiburg,1. Bundesliga,942
Ander Capa,Athletic Club,1. La Liga,943
Mathew Ryan,Brighton,1. Premier League,944
Jean-Philippe Mateta,Mainz 05,1. Bundesliga,945
Manu Trigueros,Villarreal,1. La Liga,946
Georginio Wijnaldum,Liverpool,1. Premier League,947
Sergi Roberto,Barcelona,1. La Liga,948
Jean-Paul Boëtius,Mainz 05,1. Bundesliga,949
Jack Grealish,Aston Villa,1. Premier League,950
Weston McKennie,Schalke 04,1. Bundesliga,951
Leandro Trossard,Brighton,1. Premier League,952
Rúben Neves,Wolves,1. Premier League,953
Marc Roca,Espanyol,1. La Liga,954
Mario Gaspar,Villarreal,1. La Liga,955
Luiz Felipe,Lazio,1. Serie A,956
Jannik Vestergaard,Southampton,1. Premier League,957
Thomas Müller,Bayern Munich,1. Bundesliga,958
Kerem Demirbay,Leverkusen,1. Bundesliga,959
Davide Biraschi,Genoa,1. Serie A,960
Jack Stephens,Southampton,1. Premier League,961
Guido Carrillo,Leganés,1. La Liga,962
Tariq Lamptey,Chelsea,1. Premier League,963
Florian Grillitsch,Hoffenheim,1. Bundesliga,964
Kevin Long,Burnley,1. Premier League,965
Lorenzo Tonelli,Sampdoria,1. Serie A,966
Sean Longstaff,Newcastle Utd,1. Premier League,967
Phil Jones,Manchester Utd,1. Premier League,968
Rodri,Manchester City,1. Premier League,969
Andrea Conti,Milan,1. Serie A,970
Declan Rice,West Ham,1. Premier League,971
Kevin Vogt,Werder Bremen,1. Bundesliga,972
Lewis Dunk,Brighton,1. Premier League,973
Álex Remiro,Real Sociedad,1. La Liga,974
Matteo Pessina,Hellas Verona,1. Serie A,975
Hamza Choudhury,Leicester City,1. Premier League,976
José Luis Palomino,Atalanta,1. Serie A,977
N'Golo Kanté,Chelsea,1. Premier League,978
John Brooks,Wolfsburg,1. Bundesliga,979
Florian Wirtz,Leverkusen,1. Bundesliga,980
