id,season,country,comp_level,lg_finish,squad,age,games,games_starts,mnts,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90
05f99a4a,2019-2020,GER,1. Bundesliga,13th,Mainz 05,19,8,3,253,2.8,1,0,1,0,0,0,0,0.36,0,0.36,0.36
070a3904,2019-2020,ESP,1. La Liga,20th,Espanyol,25,36,29,2658,29.5,2,1,2,0,0,4,0,0.07,0.03,0.1,0.07
0728bebe,2019-2020,ITA,1. Serie A,10th,Fiorentina,22,33,31,2673,29.7,3,2,3,0,0,10,0,0.1,0.07,0.17,0.1
0745b37d,2019-2020,ENG,1. Premier League,20th,Norwich City,29,36,33,2886,32.1,11,3,9,2,2,3,0,0.34,0.09,0.44,0.28
07767f42,2019-2020,ITA,1. Serie A,8th,Sassuolo,34,22,15,1397,15.5,0,0,0,0,0,5,0,0,0,0,0
07802f7f,2019-2020,ENG,1. Premier League,11th,Southampton,27,38,32,2804,31.2,22,2,21,1,2,3,0,0.71,0.06,0.77,0.67
080440a4,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,26,31,30,2721,30.2,8,1,8,0,0,8,0,0.26,0.03,0.3,0.26
0821331c,2019-2020,ITA,1. Serie A,12th,Bologna,25,27,26,2207,24.5,4,0,4,0,0,13,1,0.16,0,0.16,0.16
08511d65,2019-2020,ESP,1. La Liga,1st,Real Madrid,33,35,35,3013,33.5,11,0,5,6,6,10,0,0.33,0,0.33,0.15
08593525,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,23,21,16,1310,14.6,0,1,0,0,0,4,0,0,0.07,0.07,0
085e71a7,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,31,31,2790,31,0,0,0,0,0,1,0,0,0,0,0
088ca1bd,2019-2020,GER,1. Bundesliga,8th,Freiburg,29,33,31,2836,31.5,5,1,5,0,0,1,0,0.16,0.03,0.19,0.16
08990838,2019-2020,ITA,1. Serie A,4th,Lazio,23,11,1,328,3.6,0,0,0,0,0,0,0,0,0,0,0
08aa9cd1,2019-2020,ITA,1. Serie A,17th,Genoa,20,32,23,2236,24.8,5,1,4,1,2,1,0,0.2,0.04,0.24,0.16
08f5afaa,2019-2020,ITA,1. Serie A,6th,Milan,20,36,36,3201,35.6,0,0,0,0,0,3,0,0,0,0,0
091795f2,2019-2020,ITA,1. Serie A,12th,Bologna,19,2,1,122,1.4,0,0,0,0,0,1,0,0,0,0,0
09538fdb,2019-2020,ITA,1. Serie A,13th,Udinese,26,36,28,2569,28.5,10,1,10,0,0,1,0,0.35,0.04,0.39,0.35
0959c2a2,2019-2020,ESP,1. La Liga,1st,Real Madrid,21,33,21,1907,21.2,2,5,2,0,0,1,0,0.09,0.24,0.33,0.09
099e666f,2019-2020,GER,1. Bundesliga,12th,Schalke 04,22,31,31,2717,30.2,2,3,2,0,0,5,0,0.07,0.1,0.17,0.07
09a9e921,2019-2020,ESP,1. La Liga,5th,Villarreal,32,19,7,688,7.6,2,1,2,0,0,1,0,0.26,0.13,0.39,0.26
0a3065c8,2019-2020,ITA,1. Serie A,12th,Bologna,26,13,12,1006,11.2,0,0,0,0,0,4,0,0,0,0,0
0a3d6d2b,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,19,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0
0a3f6cde,2019-2020,GER,1. Bundesliga,18th,Paderborn 07,25,34,28,2470,27.4,1,2,1,0,0,2,0,0.04,0.07,0.11,0.04
0a447501,2019-2020,ITA,1. Serie A,17th,Genoa,23,24,16,1387,15.4,6,2,6,0,0,3,0,0.39,0.13,0.52,0.39
0a483542,2019-2020,ITA,1. Serie A,8th,Sassuolo,23,26,17,1643,18.3,0,1,0,0,0,4,0,0,0.05,0.05,0
0ab1f153,2019-2020,ITA,1. Serie A,1st,Juventus,31,33,28,2654,29.5,2,5,2,0,0,7,1,0.07,0.17,0.24,0.07
0ac94a23,2019-2020,ESP,1. La Liga,9th,Valencia,28,24,9,926,10.3,1,2,1,0,0,5,0,0.1,0.19,0.29,0.1
0ae4e09a,2019-2020,ESP,1. La Liga,12th,Levante,28,36,26,2267,25.2,11,1,7,4,4,6,1,0.44,0.04,0.48,0.28
0b33f6ad,2019-2020,ESP,1. La Liga,13th,Valladolid,20,31,30,2725,30.3,1,1,1,0,0,4,0,0.03,0.03,0.07,0.03
0b5a292a,2019-2020,ITA,1. Serie A,7th,Napoli,28,24,22,1966,21.8,0,2,0,0,0,8,0,0,0.09,0.09,0
0b90bb97,2019-2020,ESP,1. La Liga,17th,Celta Vigo,23,34,21,1944,21.6,6,3,6,0,0,4,0,0.28,0.14,0.42,0.28
0ba976e4,2019-2020,ESP,1. La Liga,2nd,Barcelona,16,24,11,1027,11.4,7,1,7,0,0,2,1,0.61,0.09,0.7,0.61
0bc4e720,2019-2020,ESP,1. La Liga,9th,Valencia,22,11,3,418,4.6,2,0,2,0,0,0,0,0.43,0,0.43,0.43
0c2ac3cb,2019-2020,ESP,1. La Liga,2nd,Barcelona,26,3,2,186,2.1,0,0,0,0,0,0,0,0,0,0,0
0c2ac3cb,2019-2020,ESP,1. La Liga,17th,Celta Vigo,26,29,25,2111,23.5,4,1,4,0,0,5,0,0.17,0.04,0.21,0.17
0c61c77c,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,21,30,24,2031,22.6,7,6,7,0,0,2,0,0.31,0.27,0.58,0.31
0cc5f4a5,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,20,6,1,131,1.5,0,0,0,0,0,1,0,0,0,0,0
0ccac09c,2019-2020,ITA,1. Serie A,19th,Brescia,26,36,36,3168,35.2,0,3,0,0,0,5,0,0,0.09,0.09,0
0cf778df,2019-2020,GER,1. Bundesliga,2nd,Dortmund,21,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0d077b88,2019-2020,ITA,1. Serie A,8th,Sassuolo,27,17,10,925,10.3,1,2,1,0,0,7,1,0.1,0.19,0.29,0.1
0d422df7,2019-2020,ITA,1. Serie A,9th,Hellas Verona,28,35,35,3150,35,0,0,0,0,0,2,0,0,0,0,0
0d4ceb32,2019-2020,ENG,1. Premier League,10th,Burnley,27,19,7,819,9.1,2,1,2,0,0,0,0,0.22,0.11,0.33,0.22
0d55d942,2019-2020,GER,1. Bundesliga,8th,Freiburg,27,24,24,2091,23.2,0,0,0,0,0,0,0,0,0,0,0
0d82903c,2019-2020,ITA,1. Serie A,1st,Juventus,28,29,27,2385,26.5,1,3,1,0,0,4,0,0.04,0.11,0.15,0.04
0db169ae,2019-2020,ITA,1. Serie A,19th,Brescia,19,35,34,3014,33.5,1,7,1,0,0,9,0,0.03,0.21,0.24,0.03
0db5d2c8,2019-2020,GER,1. Bundesliga,17th,Düsseldorf,29,9,5,498,5.5,0,1,0,0,0,1,0,0,0.18,0.18,0
0dfce079,2019-2020,ITA,1. Serie A,9th,Hellas Verona,23,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0
0e0102eb,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,20,5,0,81,0.9,0,0,0,0,0,0,0,0,0,0,0
0e4fef6e,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,25,7,4,331,3.7,0,0,0,0,0,5,1,0,0,0,0
0e50f929,2019-2020,ESP,1. La Liga,10th,Osasuna,29,23,12,1161,12.9,0,1,0,0,0,9,1,0,0.08,0.08,0
0e7ccfc4,2019-2020,ESP,1. La Liga,20th,Espanyol,28,3,3,269,3,0,0,0,0,0,1,0,0,0,0,0
0ef89a37,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,27,23,15,1411,15.7,8,6,7,1,1,0,0,0.51,0.38,0.89,0.45
0f7dbaf6,2019-2020,ESP,1. La Liga,11th,Athletic Club,22,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0f933743,2019-2020,ITA,1. Serie A,13th,Udinese,22,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0fbecd11,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,25,26,16,1445,16.1,0,3,0,0,0,5,1,0,0.19,0.19,0
10072610,2019-2020,ENG,1. Premier League,2nd,Manchester City,36,4,3,347,3.9,0,0,0,0,0,0,0,0,0,0,0
101da2b5,2019-2020,ENG,1. Premier League,2nd,Manchester City,34,30,26,2397,26.6,0,1,0,0,0,9,2,0,0.04,0.04,0
1025db8e,2019-2020,GER,1. Bundesliga,15th,Augsburg,28,21,18,1645,18.3,0,1,0,0,0,5,0,0,0.05,0.05,0
106bca06,2019-2020,GER,1. Bundesliga,12th,Schalke 04,25,22,15,1432,15.9,0,1,0,0,0,3,0,0,0.06,0.06,0
10b9fa99,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,18,3,0,81,0.9,0,0,0,0,0,0,0,0,0,0,0
10dc46f0,2019-2020,ITA,1. Serie A,16th,Torino,32,36,36,3240,36,0,0,0,0,0,4,0,0,0,0,0
10e7f486,2019-2020,ITA,1. Serie A,8th,Sassuolo,21,15,12,1015,11.3,1,1,1,0,0,6,0,0.09,0.09,0.18,0.09
111c3236,2019-2020,ENG,1. Premier League,12th,Everton,29,16,13,1190,13.2,0,0,0,0,0,5,1,0,0,0,0
112521d1,2019-2020,ESP,1. La Liga,20th,Espanyol,21,20,11,1087,12.1,1,0,1,0,0,3,0,0.08,0,0.08,0.08
119b9a8e,2019-2020,ENG,1. Premier League,2nd,Manchester City,25,15,14,1097,12.2,1,0,1,0,0,1,0,0.08,0,0.08,0.08
11b9265b,2019-2020,ESP,1. La Liga,5th,Villarreal,27,18,17,1471,16.3,0,0,0,0,0,6,0,0,0,0,0
11fd2b75,2019-2020,GER,1. Bundesliga,12th,Schalke 04,26,23,23,2026,22.5,0,1,0,0,0,4,0,0,0.04,0.04,0
1238a3f9,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,24,19,10,960,10.7,1,1,1,0,0,3,0,0.09,0.09,0.19,0.09
1238a3f9,2019-2020,GER,1. Bundesliga,16th,Werder Bremen,24,11,5,463,5.1,0,0,0,0,0,3,0,0,0,0,0
1265a93a,2019-2020,ENG,1. Premier League,4th,Chelsea,19,24,16,1515,16.8,0,2,0,0,0,1,0,0,0.12,0.12,0
1295552e,2019-2020,ITA,1. Serie A,8th,Sassuolo,20,24,13,1273,14.1,2,1,2,0,0,4,0,0.14,0.07,0.21,0.14
129af0db,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,26,34,25,2098,23.3,12,2,10,2,3,6,1,0.51,0.09,0.6,0.43
12c50af5,2019-2020,ESP,1. La Liga,17th,Celta Vigo,25,26,20,1630,18.1,1,5,1,0,1,2,0,0.06,0.28,0.33,0.06
130a7a3f,2019-2020,ITA,1. Serie A,6th,Milan,24,22,16,1209,13.4,2,3,2,0,0,3,1,0.15,0.22,0.37,0.15
13203c45,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,26,29,27,2364,26.3,1,1,1,0,0,4,0,0.04,0.04,0.08,0.04
132ac341,2019-2020,ESP,1. La Liga,10th,Osasuna,30,29,29,2610,29,3,0,3,0,0,8,0,0.1,0,0.1,0.1
149c5f5d,2019-2020,ITA,1. Serie A,11th,Parma,21,22,8,949,10.5,0,0,0,0,0,2,0,0,0,0,0
149c5f5d,2019-2020,ITA,1. Serie A,13th,Udinese,21,1,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0
14b8fcdf,2019-2020,ITA,1. Serie A,1st,Juventus,25,10,7,690,7.7,0,0,0,0,0,2,0,0,0,0,0
157d29b6,2019-2020,ITA,1. Serie A,18th,Lecce,29,18,7,824,9.2,2,0,2,0,0,3,1,0.22,0,0.22,0.22
15b287da,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,22,28,22,1969,21.9,2,4,2,0,0,5,0,0.09,0.18,0.27,0.09
15d0c248,2019-2020,ITA,1. Serie A,4th,Lazio,22,26,24,2024,22.5,1,1,1,0,0,6,0,0.04,0.04,0.09,0.04
15ea812b,2019-2020,ENG,1. Premier League,10th,Burnley,26,38,38,3420,38,2,2,2,0,0,10,0,0.05,0.05,0.11,0.05
15f3ec41,2019-2020,ENG,1. Premier League,4th,Chelsea,18,22,7,863,9.6,1,5,1,0,0,1,0,0.1,0.52,0.63,0.1
162efffd,2019-2020,ITA,1. Serie A,13th,Udinese,25,34,33,2822,31.4,7,6,7,0,0,5,1,0.22,0.19,0.41,0.22
165cf989,2019-2020,ENG,1. Premier League,1st,Liverpool,35,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16657b95,2019-2020,ITA,1. Serie A,5th,Roma,24,26,18,1616,18,1,3,1,0,0,7,1,0.06,0.17,0.22,0.06
16aa3654,2019-2020,ESP,1. La Liga,19th,Mallorca,18,35,23,2312,25.7,4,4,4,0,0,4,0,0.16,0.16,0.31,0.16
16b9d5cf,2019-2020,ITA,1. Serie A,7th,Napoli,27,22,20,1799,20,1,1,1,0,0,3,1,0.05,0.05,0.1,0.05
16bb656a,2019-2020,ITA,1. Serie A,9th,Hellas Verona,24,15,7,693,7.7,1,0,1,0,0,4,2,0.13,0,0.13,0.13
16ceb862,2019-2020,ENG,1. Premier League,4th,Chelsea,32,18,12,993,11,8,0,8,0,0,1,0,0.73,0,0.73,0.73
16daec92,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,24,23,11,1048,11.6,0,1,0,0,0,2,0,0,0.09,0.09,0
16e9d0ea,2019-2020,ESP,1. La Liga,15th,Betis,26,31,25,2265,25.2,0,4,0,0,0,5,0,0,0.16,0.16,0
