id,season,country,comp_level,lg_finish,squad,age,games_gk,games_starts_gk,minutes_gk,minutes_90s,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,clean_sheets,clean_sheets_pct,pens_save_pct
e358587b,2019-2020,ENG,1. Premier League,17th,Aston Villa,36,12,12,1080,12,20,1.67,50,32,64,2,16.7,33.3
e358587b,2019-2020,ITA,1. Serie A,6th,Milan,36,2,2,90,1,1,1,5,4,80,0,0,100
e5a76dfe,2019-2020,ENG,1. Premier League,9th,Sheffield Utd,22,36,36,3240,36,33,0.92,129,97,75.2,13,36.1,50
ea83bfa6,2019-2020,ESP,1. La Liga,7th,Granada,25,35,35,3150,35,42,1.2,136,97,72.1,12,34.3,20
ee833569,2019-2020,ITA,1. Serie A,20th,SPAL,30,26,26,2340,26,41,1.58,142,106,75.4,3,11.5,0
ee8508c0,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,26,38,38,3395,37.7,27,0.72,105,82,77.1,17,44.7,0
f058ed1f,2019-2020,ITA,1. Serie A,8th,Sassuolo,38,5,5,450,5,4,0.8,26,23,84.6,2,40,NULL
f0f7f62f,2019-2020,ITA,1. Serie A,3rd,Atalanta,24,33,33,2884,32,42,1.31,113,78,68.1,8,24.2,0
f23f9d20,2019-2020,ENG,1. Premier League,20th,Norwich City,31,36,36,3240,36,68,1.89,189,123,65.6,5,13.9,40
f554e29b,2019-2020,ITA,1. Serie A,14th,Cagliari,25,16,16,1440,16,21,1.31,86,66,76.7,3,18.8,50
f6798fc3,2019-2020,ESP,1. La Liga,4th,Sevilla,28,6,5,495,5.5,3,0.55,19,17,89.5,4,80,0
f6a06749,2019-2020,ITA,1. Serie A,1st,Juventus,29,1,0,19,0.2,0,0,0,0,NULL,0,NULL,NULL
f76e6b4e,2019-2020,ENG,1. Premier League,1st,Liverpool,32,11,9,875,9.7,10,1.03,28,17,64.3,2,22.2,NULL
fe471a89,2019-2020,ITA,1. Serie A,19th,Brescia,24,6,5,531,5.9,16,2.71,45,28,64.4,0,0,NULL
