id,season,country,comp_level,lg_finish,squad,age,minutes_90s,tackles,tackles_won,pressures,pressure_regains,pressure_regain_pct,blocks,blocked_shots,blocked_shots_saves,interceptions,clearances,errors
6ec6fde0,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,24,12.7,27,11,169,56,33.1,31,10,0,11,67,1
6ecbddf6,2019-2020,GER,1. Bundesliga,15th,Augsburg,20,28.1,35,24,554,135,24.4,38,3,0,29,31,1
6eee05f1,2019-2020,ITA,1. Serie A,3rd,Atalanta,26,30.9,55,25,368,131,35.6,38,17,0,31,157,1
6f51e382,2019-2020,ESP,1. La Liga,2nd,Barcelona,27,36,1,0,5,2,40,0,0,0,0,3,2
6f5ead86,2019-2020,ITA,1. Serie A,11th,Parma,25,26.9,75,47,799,190,23.8,81,10,0,28,54,1
6f5f82c0,2019-2020,ESP,1. La Liga,6th,Real Sociedad,22,7.9,18,9,109,36,33,14,0,0,13,30,0
6f7d826d,2019-2020,ENG,1. Premier League,17th,Aston Villa,21,29,52,33,592,155,26.2,64,18,1,21,44,2
6fe90922,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,30,13.4,22,16,256,87,34,16,3,0,11,7,0
70678132,2019-2020,GER,1. Bundesliga,15th,Augsburg,22,7.5,14,10,173,42,24.3,12,3,0,2,9,0
70678132,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,22,3.5,9,6,70,19,27.1,4,1,0,7,6,0
70d74ece,2019-2020,ESP,1. La Liga,1st,Real Madrid,31,34.9,17,13,319,83,26,16,3,0,11,25,1
70dcf94d,2019-2020,GER,1. Bundesliga,8th,Freiburg,25,19.1,35,23,372,111,29.8,32,3,0,17,37,0
70f8e0bd,2019-2020,ESP,1. La Liga,19th,Mallorca,31,33.8,64,36,762,199,26.1,51,4,0,18,34,0
7111d552,2019-2020,ESP,1. La Liga,1st,Real Madrid,19,15.2,27,17,299,88,29.4,19,0,0,3,0,0
719384c1,2019-2020,ESP,1. La Liga,7th,Granada,31,10.8,17,11,156,42,26.9,20,4,0,8,17,0
