id,season,country,comp_level,lg_finish,squad,age,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,average_shot_distance,shots_free_kicks,pens_made,pens_att
4c5b714f,2019-2020,ENG,1. Premier League,12th,Everton,27,20.3,0,12,3,25,0.59,0.15,0,24.4,0,0,0
4c6facae,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,22,19.4,1,21,3,14.3,1.08,0.15,0.05,20.5,0,0,0
4c78b5ed,2019-2020,ITA,1. Serie A,4th,Lazio,32,20.1,0,10,3,30,0.5,0.15,0,19.7,0,0,0
4cde5509,2019-2020,ITA,1. Serie A,6th,Milan,37,15.1,10,63,18,28.6,4.16,1.19,0.13,15.8,8,2,3
4d034881,2019-2020,ENG,1. Premier League,2nd,Manchester City,31,16.1,16,73,25,34.2,4.52,1.55,0.19,12.9,0,2,3
4d1666ff,2019-2020,ESP,1. La Liga,4th,Sevilla,20,25.7,1,22,5,22.7,0.86,0.19,0.05,11.6,0,0,0
4d224fe8,2019-2020,ESP,1. La Liga,1st,Real Madrid,27,34.3,4,44,12,27.3,1.28,0.35,0.09,21.4,3,0,0
4d8cd038,2019-2020,ESP,1. La Liga,1st,Real Madrid,21,4.8,2,12,3,25,2.51,0.63,0.17,12.4,0,0,0
4dbd0916,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,23,10.3,0,11,3,27.3,1.07,0.29,0,22.7,3,0,0
4e1d5e59,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,0.1,0,1,0,0,7.5,0,0,13.9,0,0,0
4e204552,2019-2020,GER,1. Bundesliga,2nd,Dortmund,20,0.8,0,0,0,NULL,0,0,NULL,NULL,0,0,0
4e204552,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,20,4.3,0,4,1,25,0.92,0.23,0,14.7,0,0,0
4e219ad2,2019-2020,ITA,1. Serie A,6th,Milan,25,15.1,1,31,12,38.7,2.05,0.79,0.03,24,2,0,0
4e219ad2,2019-2020,ESP,1. La Liga,4th,Sevilla,25,8.7,1,14,7,50,1.61,0.8,0.07,22.4,2,0,0
4e6dbac4,2019-2020,ITA,1. Serie A,4th,Lazio,24,33.7,7,84,23,27.4,2.5,0.68,0.08,16.8,7,0,0
4e9a0555,2019-2020,ENG,1. Premier League,10th,Burnley,27,27.1,14,64,28,43.8,2.36,1.03,0.2,10.2,0,1,1
4f28a6ff,2019-2020,ESP,1. La Liga,2nd,Barcelona,24,26.9,2,10,3,30,0.37,0.11,0.2,13.9,0,0,0
4f2908e5,2019-2020,ITA,1. Serie A,8th,Sassuolo,35,16.8,0,8,0,0,0.48,0,0,8.1,0,0,0
4f974391,2019-2020,ENG,1. Premier League,16th,West Ham,29,30.3,3,18,5,27.8,0.59,0.17,0.17,20.1,7,0,0
4fb9c88f,2019-2020,ENG,1. Premier League,1st,Liverpool,18,1.4,1,6,2,33.3,4.29,1.43,0.17,16.7,0,0,0
507c7bdf,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,24,13.2,8,40,14,35,3.04,1.06,0.1,24.2,7,4,4
50871bcc,2019-2020,GER,1. Bundesliga,2nd,Dortmund,26,26.4,7,50,21,42,1.89,0.79,0.14,18.1,0,0,0
50e6dc35,2019-2020,GER,1. Bundesliga,13th,Mainz 05,22,11.7,3,34,11,32.4,2.91,0.94,0.06,11,0,1,1
5128bde4,2019-2020,ITA,1. Serie A,9th,Hellas Verona,28,36,3,36,17,47.2,1,0.47,0.08,16.7,1,0,0
51a3c4c8,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,30,23.4,1,20,5,25,0.86,0.21,0.05,10.8,0,0,0
51b41c5c,2019-2020,ENG,1. Premier League,12th,Everton,29,11.1,0,6,0,0,0.54,0,0,19.9,0,0,0
51cf8561,2019-2020,ENG,1. Premier League,2nd,Manchester City,22,14.2,0,16,3,18.8,1.13,0.21,0,25.6,0,0,0
52611641,2019-2020,ENG,1. Premier League,8th,Arsenal,23,16.8,1,21,6,28.6,1.25,0.36,0.05,17.5,0,0,0
5271c8f1,2019-2020,ENG,1. Premier League,2nd,Manchester City,25,16.6,0,10,1,10,0.6,0.06,0,22.1,0,0,0
528492ea,2019-2020,ITA,1. Serie A,10th,Fiorentina,26,9.9,1,15,5,33.3,1.52,0.51,0.07,22.6,0,0,0
528492ea,2019-2020,ITA,1. Serie A,8th,Sassuolo,26,9.4,1,15,3,20,1.6,0.32,0.07,22.9,0,0,0
5294a83f,2019-2020,ITA,1. Serie A,4th,Lazio,26,34.6,6,99,27,27.3,2.86,0.78,0.05,20.6,11,1,1
529f49ab,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,26,28.3,3,31,8,25.8,1.09,0.28,0.1,26.4,1,0,0
52ec54d0,2019-2020,ITA,1. Serie A,1st,Juventus,32,34.2,3,23,8,34.8,0.67,0.23,0.13,13.6,0,0,0
53070b63,2019-2020,GER,1. Bundesliga,5th,Leverkusen,19,3.4,3,9,4,44.4,2.66,1.18,0.33,16.4,0,0,0
5313ed43,2019-2020,ITA,1. Serie A,13th,Udinese,24,25,3,46,13,28.3,1.84,0.52,0.07,21.7,0,0,0
531a4aa8,2019-2020,ENG,1. Premier League,11th,Southampton,20,8.7,0,3,2,66.7,0.35,0.23,0,16.2,0,0,0
532e1e4f,2019-2020,ESP,1. La Liga,5th,Villarreal,22,33,2,9,2,22.2,0.27,0.06,0.22,7.7,0,0,0
536cebe5,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,25,1,0,2,1,50,2,1,0,21.2,1,0,0
536cebe5,2019-2020,ITA,1. Serie A,6th,Milan,25,15.5,11,42,20,47.6,2.71,1.29,0.26,14.1,0,0,0
539230cf,2019-2020,ITA,1. Serie A,2nd,Inter,31,5.8,0,5,0,0,0.86,0,0,12.2,0,0,0
53a0e358,2019-2020,ITA,1. Serie A,8th,Sassuolo,24,27.7,14,115,44,38.3,4.15,1.59,0.1,22.9,17,2,3
53af52f3,2019-2020,ENG,1. Premier League,5th,Leicester City,32,38,0,1,0,0,0.03,0,0,59,1,0,0
53cad200,2019-2020,ENG,1. Premier League,4th,Chelsea,29,35.9,2,29,6,20.7,0.81,0.17,0.07,13.2,0,0,0
53de807a,2019-2020,ITA,1. Serie A,4th,Lazio,32,25.6,1,5,1,20,0.2,0.04,0.2,21.6,0,0,0
53e07d0b,2019-2020,GER,1. Bundesliga,13th,Mainz 05,31,12.7,1,31,11,35.5,2.43,0.86,0.03,11.5,0,0,0
54b4dc4e,2019-2020,GER,1. Bundesliga,5th,Leverkusen,26,17.5,1,30,8,26.7,1.72,0.46,0.03,20.2,1,0,0
