id,season,country,comp_level,lg_finish,squad,age,minutes_90s,cards_yellow,cards_red,fouls,fouled,offsides,crosses,aerials_won,aerials_won_pct
130a7a3f,2019-2020,ITA,1. Serie A,6th,Milan,24,13.4,3,1,18,23,7,46,17,33.3
13203c45,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,26,26.3,4,0,20,30,4,64,18,41.9
132ac341,2019-2020,ESP,1. La Liga,10th,Osasuna,30,29,8,0,21,12,0,3,100,72.5
149c5f5d,2019-2020,ITA,1. Serie A,11th,Parma,21,10.5,2,0,16,18,0,28,9,45
149c5f5d,2019-2020,ITA,1. Serie A,13th,Udinese,21,0.9,0,0,0,0,0,4,2,100
14b8fcdf,2019-2020,ITA,1. Serie A,1st,Juventus,25,7.7,2,0,12,1,0,0,39,73.6
157d29b6,2019-2020,ITA,1. Serie A,18th,Lecce,29,9.2,3,1,17,18,1,21,1,16.7
15b287da,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,22,21.9,5,0,32,41,7,31,15,24.2
15d0c248,2019-2020,ITA,1. Serie A,4th,Lazio,22,22.5,6,0,21,18,2,4,30,54.5
15ea812b,2019-2020,ENG,1. Premier League,10th,Burnley,26,38,10,0,53,32,3,2,215,78.2
15f3ec41,2019-2020,ENG,1. Premier League,4th,Chelsea,18,9.6,1,0,12,18,3,49,3,17.6
162efffd,2019-2020,ITA,1. Serie A,13th,Udinese,25,31.4,5,1,38,79,2,127,2,15.4
16657b95,2019-2020,ITA,1. Serie A,5th,Roma,24,18,7,1,36,9,0,5,13,35.1
16aa3654,2019-2020,ESP,1. La Liga,19th,Mallorca,18,25.7,4,0,38,78,4,57,9,26.5
16b9d5cf,2019-2020,ITA,1. Serie A,7th,Napoli,27,20,3,1,25,10,0,12,41,66.1
16bb656a,2019-2020,ITA,1. Serie A,9th,Hellas Verona,24,7.7,4,2,18,10,1,2,26,66.7
16ceb862,2019-2020,ENG,1. Premier League,4th,Chelsea,32,11,1,0,19,11,9,2,44,51.8
16daec92,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,24,11.6,2,0,20,24,0,13,5,35.7
16e9d0ea,2019-2020,ESP,1. La Liga,15th,Betis,26,25.2,5,0,34,36,4,65,19,38.8
173061c0,2019-2020,ITA,1. Serie A,11th,Parma,29,28.9,7,0,34,41,2,56,17,37
17376543,2019-2020,GER,1. Bundesliga,11th,Union Berlin,31,33,0,0,2,4,0,0,0,NULL
174651c8,2019-2020,ESP,1. La Liga,8th,Getafe,29,10.5,4,0,18,14,0,14,33,55.9
1770bd68,2019-2020,ITA,1. Serie A,13th,Udinese,25,27.3,6,0,35,19,4,115,16,50
178ae8f8,2019-2020,ENG,1. Premier League,7th,Wolves,22,25.4,4,0,47,74,3,36,27,36
17f3620a,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,24,10.1,2,0,29,20,10,5,23,33.8
17f3620a,2019-2020,ITA,1. Serie A,6th,Milan,24,13.1,1,0,27,28,6,6,30,37
1840e36d,2019-2020,ESP,1. La Liga,1st,Real Madrid,27,34,1,0,0,4,0,0,1,100
1880614f,2019-2020,ITA,1. Serie A,5th,Roma,22,9.7,2,0,6,16,0,39,5,55.6
18abe173,2019-2020,ESP,1. La Liga,17th,Celta Vigo,23,27.8,4,0,21,17,0,1,59,54.1
18b896d6,2019-2020,ENG,1. Premier League,4th,Chelsea,26,19,3,0,21,9,0,4,61,70.1
1900032e,2019-2020,ENG,1. Premier League,11th,Southampton,26,16.6,3,0,13,11,0,1,80,72.7
1961b2aa,2019-2020,ENG,1. Premier League,12th,Everton,26,16.2,6,0,47,23,0,8,13,46.4
19709006,2019-2020,ESP,1. La Liga,18th,Leganés,21,21.3,6,1,32,40,1,46,15,29.4
197640fd,2019-2020,ITA,1. Serie A,3rd,Atalanta,23,19.7,4,0,21,10,5,52,33,57.9
19b776e9,2019-2020,ESP,1. La Liga,9th,Valencia,27,1.9,0,0,7,8,1,2,3,30
19e4eab9,2019-2020,ITA,1. Serie A,13th,Udinese,23,24.6,8,0,47,27,1,3,56,70
1ae30132,2019-2020,ENG,1. Premier League,10th,Burnley,34,21,6,0,42,15,0,20,33,55.9
1ae836b1,2019-2020,GER,1. Bundesliga,14th,Köln,21,6.9,3,0,8,14,0,11,9,37.5
1b84dbe1,2019-2020,ENG,1. Premier League,12th,Everton,26,33.7,6,0,49,31,3,153,112,67.9
1bacc518,2019-2020,ESP,1. La Liga,2nd,Barcelona,22,23.5,3,1,26,44,1,9,10,45.5
1bda5842,2019-2020,ESP,1. La Liga,6th,Real Sociedad,27,26.6,5,0,35,27,21,69,19,31.1
1bf33a9a,2019-2020,ENG,1. Premier League,4th,Chelsea,20,19.1,0,0,18,38,3,26,16,25.4
1bf811d4,2019-2020,ENG,1. Premier League,20th,Norwich City,25,14.4,4,0,18,9,1,3,42,58.3
1c7012b8,2019-2020,ENG,1. Premier League,16th,West Ham,20,38,6,0,47,21,2,22,51,60.7
1cadaf34,2019-2020,ITA,1. Serie A,3rd,Atalanta,18,0.2,0,0,0,1,0,0,0,0
1cb49278,2019-2020,ENG,1. Premier League,4th,Chelsea,23,19.5,5,0,18,11,0,0,68,63
1cbe4984,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,24,4.2,3,0,11,4,0,11,6,60
1d0bb7e4,2019-2020,ITA,1. Serie A,3rd,Atalanta,19,3.1,1,0,8,5,0,3,11,57.9
1d1691ad,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,23,1.7,0,0,1,1,0,12,1,25
1d1691ad,2019-2020,ESP,1. La Liga,1st,Real Madrid,23,3.8,3,1,7,4,0,4,1,33.3
1d8e9add,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,27,10.7,2,0,10,10,0,0,12,66.7
1d8e9add,2019-2020,GER,1. Bundesliga,16th,Werder Bremen,27,12.3,3,0,22,12,1,1,14,51.9
1daec722,2019-2020,ESP,1. La Liga,8th,Getafe,21,36,9,0,81,76,6,105,50,36.8
1ea5f91c,2019-2020,ITA,1. Serie A,15th,Sampdoria,23,23.3,8,0,26,20,4,56,10,34.5
1ecb65be,2019-2020,ENG,1. Premier League,12th,Everton,30,14.3,1,0,11,19,10,40,7,28
1ef37668,2019-2020,ENG,1. Premier League,10th,Burnley,30,20.9,2,0,27,25,0,27,33,68.8
1f079188,2019-2020,ESP,1. La Liga,5th,Villarreal,28,21.2,5,0,41,24,1,61,20,50
1f44ac21,2019-2020,GER,1. Bundesliga,2nd,Dortmund,19,11.8,0,0,10,8,3,4,21,47.7
1fb1c435,2019-2020,ESP,1. La Liga,9th,Valencia,28,20.9,2,1,19,31,8,30,33,41.3
1fca9171,2019-2020,ITA,1. Serie A,20th,SPAL,25,12,4,0,25,33,4,22,7,30.4
1fda91b3,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,17,0.6,1,0,2,1,0,1,1,50
1fe0492d,2019-2020,ESP,1. La Liga,16th,Alavés,23,29.6,11,0,47,44,0,44,58,54.2
1fe67e86,2019-2020,ESP,1. La Liga,11th,Athletic Club,31,6.3,1,0,7,3,0,6,11,84.6
20030c06,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,26,9.5,0,0,6,10,2,0,39,67.2
200e89e1,2019-2020,ESP,1. La Liga,6th,Real Sociedad,17,4.9,1,0,14,5,1,18,7,46.7
20730eae,2019-2020,ITA,1. Serie A,6th,Milan,20,15.6,0,0,17,19,6,37,30,47.6
20b3a502,2019-2020,ITA,1. Serie A,12th,Bologna,21,7.8,1,0,17,8,0,5,4,36.4
20b9f052,2019-2020,ITA,1. Serie A,5th,Roma,24,32,3,0,1,2,0,0,0,NULL
21166ff4,2019-2020,ENG,1. Premier League,5th,Leicester City,23,33.7,4,1,34,24,1,4,121,68.4
2146785a,2019-2020,ITA,1. Serie A,6th,Milan,22,18,4,2,18,23,1,29,15,55.6
21512407,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,28,22,2,0,21,14,2,76,21,41.2
217875a4,2019-2020,ITA,1. Serie A,14th,Cagliari,19,12.9,1,0,7,3,0,2,12,42.9
217c93a1,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,17,0.4,0,0,0,0,0,0,1,33.3
21a66f6a,2019-2020,ENG,1. Premier League,6th,Tottenham,26,28.7,4,0,41,51,20,22,64,34.2
2200181e,2019-2020,GER,1. Bundesliga,17th,Düsseldorf,24,30.3,10,0,38,21,3,17,43,44.8
228b0d9d,2019-2020,ESP,1. La Liga,6th,Real Sociedad,21,10.9,1,0,10,11,0,37,17,50
228f73ae,2019-2020,ITA,1. Serie A,7th,Napoli,25,2,1,0,4,6,0,2,0,0
22919e97,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,26,8.3,1,0,12,10,7,6,14,25.9
229cd98a,2019-2020,GER,1. Bundesliga,15th,Augsburg,21,4.1,0,0,7,13,1,3,13,29.5
230a2fac,2019-2020,ITA,1. Serie A,7th,Napoli,25,33,5,0,38,58,3,53,65,55.6
2327c29e,2019-2020,ESP,1. La Liga,12th,Levante,27,7.3,3,1,5,17,5,38,1,11.1
2334478a,2019-2020,ITA,1. Serie A,17th,Genoa,26,13.9,7,0,45,38,2,19,24,40.7
240d3a0b,2019-2020,ESP,1. La Liga,11th,Athletic Club,29,33.7,11,0,64,43,0,3,52,53.6
246d153b,2019-2020,ITA,1. Serie A,16th,Torino,22,23.1,8,0,28,45,2,70,26,53.1
24f59bb2,2019-2020,ESP,1. La Liga,2nd,Barcelona,22,11.3,5,0,36,16,2,8,10,52.6
253a06b9,2019-2020,ESP,1. La Liga,10th,Osasuna,25,17.7,6,0,48,43,24,28,47,36.4
254147d4,2019-2020,ENG,1. Premier League,11th,Southampton,21,10.3,4,1,23,32,3,16,5,26.3
25ab9c9c,2019-2020,GER,1. Bundesliga,8th,Freiburg,28,15.2,0,0,7,12,2,7,39,54.9
2628fd2b,2019-2020,ENG,1. Premier League,8th,Arsenal,27,29.4,2,0,0,5,0,0,0,NULL
2691c772,2019-2020,ENG,1. Premier League,10th,Burnley,29,15,4,0,33,43,13,1,42,32.8
26db8853,2019-2020,ITA,1. Serie A,13th,Udinese,24,12.7,2,0,30,19,1,2,13,65
26f6dca8,2019-2020,ENG,1. Premier League,16th,West Ham,26,15.3,1,0,8,29,4,14,6,30
271b8617,2019-2020,GER,1. Bundesliga,11th,Union Berlin,23,19.1,4,0,52,23,2,13,49,47.1
2784f898,2019-2020,ESP,1. La Liga,1st,Real Madrid,21,11.4,3,0,18,15,2,1,39,79.6
27a013f7,2019-2020,ESP,1. La Liga,17th,Celta Vigo,27,32.1,10,0,29,10,0,2,91,71.7
27c01749,2019-2020,ENG,1. Premier League,15th,Brighton,19,14,0,0,15,37,14,7,14,22.6
282f75f3,2019-2020,ENG,1. Premier League,15th,Brighton,27,35.9,9,0,28,24,1,2,84,65.6
28a15394,2019-2020,ITA,1. Serie A,16th,Torino,36,1,0,0,0,0,0,0,0,NULL
28d596a0,2019-2020,ENG,1. Premier League,4th,Chelsea,24,33,0,0,0,5,0,0,0,NULL
291e3ec3,2019-2020,ENG,1. Premier League,20th,Norwich City,18,2.5,0,0,2,5,1,0,4,30.8
2928dca2,2019-2020,ENG,1. Premier League,7th,Wolves,26,38,5,0,20,6,0,0,42,63.6
2946f9a1,2019-2020,ESP,1. La Liga,1st,Real Madrid,29,4.9,3,0,12,7,0,13,15,65.2
29733c72,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,31,8.4,1,0,8,11,4,14,3,30
2979c05a,2019-2020,GER,1. Bundesliga,18th,Paderborn 07,24,11.8,1,1,12,5,0,24,3,33.3
29b61deb,2019-2020,ESP,1. La Liga,16th,Alavés,26,12.1,3,0,27,15,0,8,18,54.5
2a0c8ba4,2019-2020,ESP,1. La Liga,4th,Sevilla,25,25,7,0,74,41,2,43,31,54.4
2a1beb34,2019-2020,ITA,1. Serie A,3rd,Atalanta,28,30.2,12,0,68,23,1,14,42,54.5
2a29eb9b,2019-2020,GER,1. Bundesliga,8th,Freiburg,26,2.3,1,0,3,1,0,2,4,57.1
2a6cd437,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,21,10.3,4,1,15,7,0,0,30,68.2
2acd49b9,2019-2020,ENG,1. Premier League,6th,Tottenham,29,27.2,8,0,48,21,2,21,31,53.4
2b09d998,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,20,10.6,0,0,9,15,0,9,10,38.5
2b16cb1a,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,22,20.7,0,0,19,61,3,50,7,25.9
2b622f01,2019-2020,ENG,1. Premier League,6th,Tottenham,26,24.9,3,0,36,78,5,27,57,40.7
2b91cf8e,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,29,13.2,3,0,11,8,0,2,31,50
2baec6ce,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,21,2.1,0,0,4,3,0,1,3,23.1
2bd83368,2019-2020,ENG,1. Premier League,12th,Everton,18,4.9,0,0,10,12,1,8,0,0
2bed3eab,2019-2020,ENG,1. Premier League,2nd,Manchester City,18,8.8,1,0,11,2,0,1,10,45.5
2bef2bca,2019-2020,ESP,1. La Liga,2nd,Barcelona,20,2.6,0,1,1,1,0,0,5,62.5
2c0558b8,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,16,0,0,0,0,1,0,0,0,NULL
2c0f8e9e,2019-2020,ITA,1. Serie A,2nd,Inter,30,10.3,4,1,20,39,9,24,5,19.2
2ce2508a,2019-2020,ENG,1. Premier League,14th,Crystal Palace,28,27.9,12,0,66,28,1,35,31,59.6
2cfae697,2019-2020,ITA,1. Serie A,12th,Bologna,22,12,6,1,29,4,0,0,25,53.2
2d5f03bf,2019-2020,ENG,1. Premier League,20th,Norwich City,26,15.9,3,0,9,8,0,0,39,76.5
2d61d13a,2019-2020,GER,1. Bundesliga,12th,Schalke 04,19,19.7,4,0,28,13,0,1,81,74.3
2d970560,2019-2020,ITA,1. Serie A,3rd,Atalanta,25,29.1,3,0,38,43,6,72,43,65.2
2db2fd7b,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,30,20,5,1,18,5,0,5,41,74.5
2e4f5f03,2019-2020,ENG,1. Premier League,1st,Liverpool,25,34.6,2,0,23,21,2,130,25,43.9
2e7ff968,2019-2020,GER,1. Bundesliga,2nd,Dortmund,31,3.2,0,0,0,1,0,0,0,0
2f3452eb,2019-2020,ITA,1. Serie A,7th,Napoli,25,16.5,3,0,11,20,0,30,9,37.5
2f3e911a,2019-2020,GER,1. Bundesliga,13th,Mainz 05,22,19.9,2,0,19,14,2,59,17,40.5
2f557579,2019-2020,ITA,1. Serie A,7th,Napoli,28,31.2,1,0,12,30,9,75,6,33.3
2f7acede,2019-2020,ENG,1. Premier League,6th,Tottenham,23,24.7,9,0,29,23,0,15,15,62.5
2f90f6b8,2019-2020,ENG,1. Premier League,1st,Liverpool,33,10.4,4,0,14,17,1,14,16,66.7
2f965a72,2019-2020,ESP,1. La Liga,1st,Real Madrid,26,4,1,0,1,0,0,0,0,NULL
2ff964a0,2019-2020,ENG,1. Premier League,10th,Burnley,32,5.5,4,0,11,7,0,9,3,27.3
30223b33,2019-2020,ITA,1. Serie A,5th,Roma,36,5,0,0,0,0,0,0,0,NULL
3024e383,2019-2020,ESP,1. La Liga,14th,Eibar,29,26.2,4,0,21,14,0,108,47,63.5
302527b2,2019-2020,GER,1. Bundesliga,8th,Freiburg,23,20.2,3,0,10,26,0,3,35,61.4
30941e96,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,22,12.2,2,0,14,16,3,44,10,38.5
30c220c3,2019-2020,GER,1. Bundesliga,5th,Leverkusen,25,13,3,0,20,25,0,21,22,57.9
30f5ffa9,2019-2020,ITA,1. Serie A,2nd,Inter,24,29.2,9,1,50,30,0,2,37,55.2
32974271,2019-2020,ESP,1. La Liga,13th,Valladolid,28,29.5,6,0,56,75,20,33,27,23.9
32c0491f,2019-2020,ESP,1. La Liga,9th,Valencia,26,0.8,0,0,1,1,0,2,1,100
32f60ed8,2019-2020,ENG,1. Premier League,7th,Wolves,19,1.4,0,0,1,4,0,2,3,50
3312f911,2019-2020,ENG,1. Premier League,14th,Crystal Palace,26,11.5,2,0,18,14,1,8,19,54.3
3353737a,2019-2020,ESP,1. La Liga,4th,Sevilla,22,27.9,8,0,62,48,4,98,42,55.3
335fa267,2019-2020,ESP,1. La Liga,2nd,Barcelona,27,26,8,0,19,47,2,33,22,47.8
3376a776,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,24,14,0,0,11,10,0,4,29,67.4
339fe0e8,2019-2020,ITA,1. Serie A,4th,Lazio,24,38,2,0,0,5,0,0,0,NULL
33a61a52,2019-2020,ESP,1. La Liga,12th,Levante,27,20.5,4,0,25,19,2,44,27,50
33b8d077,2019-2020,ITA,1. Serie A,2nd,Inter,26,30,9,0,56,28,1,29,20,48.8
33ecf462,2019-2020,ITA,1. Serie A,9th,Hellas Verona,25,19.7,4,0,35,38,5,23,19,20.9
343c0d52,2019-2020,ITA,1. Serie A,14th,Cagliari,24,32.5,4,0,59,54,23,20,42,24.7
34a0f5ff,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,21,14.5,2,0,7,19,3,34,4,21.1
34e12499,2019-2020,GER,1. Bundesliga,8th,Freiburg,19,4.1,0,0,7,9,0,3,23,79.3
34e393f2,2019-2020,ESP,1. La Liga,15th,Betis,25,10.4,5,0,19,24,2,2,19,61.3
34e4343c,2019-2020,GER,1. Bundesliga,14th,Köln,31,12.6,1,0,29,15,8,5,61,51.7
3515d404,2019-2020,ENG,1. Premier League,11th,Southampton,24,38,9,0,73,52,0,62,73,58.4
355c883a,2019-2020,ESP,1. La Liga,16th,Alavés,23,23.3,5,1,41,21,1,30,23,53.5
356c9002,2019-2020,ITA,1. Serie A,2nd,Inter,32,22.1,5,0,20,19,13,119,3,25
3594a357,2019-2020,ESP,1. La Liga,6th,Real Sociedad,19,0.3,0,0,1,0,0,3,2,100
35dd6d80,2019-2020,ITA,1. Serie A,17th,Genoa,32,22.8,7,0,34,43,0,47,28,63.6
360d70f8,2019-2020,ESP,1. La Liga,19th,Mallorca,28,24.3,3,0,39,52,10,58,42,46.7
3624ce4c,2019-2020,ESP,1. La Liga,7th,Granada,31,32,4,0,28,13,1,68,54,54.5
3631ad41,2019-2020,ENG,1. Premier League,16th,West Ham,18,4.9,0,0,4,1,1,9,8,42.1
3672b352,2019-2020,ESP,1. La Liga,10th,Osasuna,19,0.1,0,0,0,0,0,0,1,100
36a3ff67,2019-2020,GER,1. Bundesliga,2nd,Dortmund,30,16.6,1,0,19,19,7,27,5,13.9
36c2ca73,2019-2020,ENG,1. Premier League,11th,Southampton,29,28,0,0,1,3,0,0,0,NULL
3727dd3c,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,27,23.5,3,0,24,8,1,25,18,62.1
3745e8bd,2019-2020,GER,1. Bundesliga,11th,Union Berlin,28,3.7,1,1,11,8,7,2,11,30.6
374ee424,2019-2020,ESP,1. La Liga,6th,Real Sociedad,24,25,0,0,0,5,0,0,0,NULL
379652be,2019-2020,ESP,1. La Liga,20th,Espanyol,21,12.4,0,0,9,40,0,8,7,25.9
37e103f8,2019-2020,ESP,1. La Liga,8th,Getafe,19,4.2,3,0,14,17,1,3,14,26.9
37f1cf47,2019-2020,ESP,1. La Liga,11th,Athletic Club,27,31.9,10,0,50,15,6,61,43,69.4
37f606f0,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,21,12.6,3,0,28,17,1,13,6,28.6
38126309,2019-2020,ESP,1. La Liga,19th,Mallorca,23,18.8,4,0,26,57,0,7,3,15.8
38c7feef,2019-2020,ENG,1. Premier League,1st,Liverpool,25,16.5,1,0,17,20,2,29,13,33.3
38ce1150,2019-2020,ESP,1. La Liga,13th,Valladolid,22,0.7,0,0,2,0,0,1,0,0
38ceb24a,2019-2020,ENG,1. Premier League,15th,Brighton,24,22.3,0,0,20,20,4,69,2,8.3
3902e91b,2019-2020,ESP,1. La Liga,12th,Levante,25,13.7,4,0,38,35,3,2,23,40.4
3935e52e,2019-2020,ENG,1. Premier League,8th,Arsenal,26,18.9,4,0,25,18,5,29,24,57.1
39583cfd,2019-2020,ENG,1. Premier League,19th,Watford,25,23.3,3,0,29,29,18,59,3,16.7
3a233281,2019-2020,GER,1. Bundesliga,5th,Leverkusen,21,12.1,0,2,18,20,6,48,11,44
3a24769f,2019-2020,ENG,1. Premier League,4th,Chelsea,25,12.3,0,0,10,19,0,9,10,40
3a949a25,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,30,38,0,0,0,5,0,0,0,NULL
3a9c4b7b,2019-2020,ESP,1. La Liga,10th,Osasuna,24,25.9,5,0,33,42,0,63,46,54.8
3aa4a3be,2019-2020,ESP,1. La Liga,15th,Betis,25,22.6,2,1,24,54,25,11,30,32.6
3ae14ed1,2019-2020,ENG,1. Premier League,17th,Aston Villa,24,21.7,4,1,38,36,5,41,28,37.8
3b333ac3,2019-2020,ITA,1. Serie A,3rd,Atalanta,25,26.2,10,0,43,22,7,61,35,53.8
3b61c9ec,2019-2020,ITA,1. Serie A,14th,Cagliari,20,21.2,10,0,36,23,0,90,19,51.4
3b8674e6,2019-2020,ITA,1. Serie A,1st,Juventus,22,24.4,9,0,67,36,3,21,30,60
3bb625ac,2019-2020,GER,1. Bundesliga,13th,Mainz 05,23,16.5,7,1,18,6,0,9,14,53.8
3bb7af3b,2019-2020,ITA,1. Serie A,17th,Genoa,27,1.9,1,1,2,2,0,4,2,100
3bb7af3b,2019-2020,ITA,1. Serie A,18th,Lecce,27,10.5,2,0,12,23,3,36,6,85.7
3bb7b8b4,2019-2020,ENG,1. Premier League,2nd,Manchester City,25,34.1,3,1,1,2,0,0,0,NULL
3bb7f478,2019-2020,ITA,1. Serie A,5th,Roma,33,31.7,4,0,41,53,16,23,135,64.3
3c16d927,2019-2020,ESP,1. La Liga,19th,Mallorca,20,16.6,0,0,23,17,1,50,4,19
3c16d927,2019-2020,ESP,1. La Liga,4th,Sevilla,20,0.4,0,0,1,0,0,3,0,NULL
3c6089ab,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,29,25.1,5,0,22,31,11,96,37,43.5
3ca7254a,2019-2020,ENG,1. Premier League,4th,Chelsea,32,7.3,1,0,8,15,0,10,2,28.6
3cd3b384,2019-2020,ITA,1. Serie A,15th,Sampdoria,24,12.6,2,0,5,5,1,65,15,75
3cd9e95a,2019-2020,GER,1. Bundesliga,14th,Köln,26,34,0,0,1,3,0,0,0,NULL
3cefcaef,2019-2020,ESP,1. La Liga,1st,Real Madrid,24,20.1,8,1,27,30,1,51,23,53.5
3d50bcdb,2019-2020,ENG,1. Premier League,12th,Everton,19,9.5,1,0,27,12,4,8,7,18.4
3d688b46,2019-2020,ESP,1. La Liga,7th,Granada,21,16.7,4,0,55,38,0,0,25,49
3e42f707,2019-2020,ESP,1. La Liga,10th,Osasuna,25,31,7,0,58,14,0,0,151,72.2
3e9e06cb,2019-2020,ENG,1. Premier League,19th,Watford,29,26.2,6,0,38,12,0,3,108,75.5
3ea50f67,2019-2020,ENG,1. Premier League,5th,Leicester City,21,23.1,0,0,20,34,4,37,25,39.1
3ead85f9,2019-2020,ITA,1. Serie A,6th,Milan,24,34.3,4,0,42,25,1,0,85,65.4
3eb0f2df,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,28,25.1,8,1,44,29,3,44,21,32.8
3eb22ec9,2019-2020,ENG,1. Premier League,2nd,Manchester City,24,22.6,5,0,24,26,2,63,11,28.2
3ecc11d8,2019-2020,ESP,1. La Liga,11th,Athletic Club,24,31.2,2,0,26,36,1,11,88,59.1
3ee0dd59,2019-2020,ESP,1. La Liga,6th,Real Sociedad,20,5.8,3,0,10,8,0,2,18,85.7
3eeb80e0,2019-2020,GER,1. Bundesliga,15th,Augsburg,21,5.1,0,0,4,2,6,2,6,31.6
3eed9821,2019-2020,ESP,1. La Liga,2nd,Barcelona,25,10.5,6,0,20,17,1,0,22,68.8
3ef0a2d7,2019-2020,ITA,1. Serie A,10th,Fiorentina,19,0.1,0,0,0,0,0,0,0,NULL
3effaa34,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,23,17.5,1,0,17,25,12,12,48,41.4
3effaa34,2019-2020,ITA,1. Serie A,6th,Milan,23,0.7,1,0,2,2,0,2,0,0
3f10bd22,2019-2020,ESP,1. La Liga,4th,Sevilla,33,37.4,4,0,19,31,3,193,19,35.8
3f2d59fe,2019-2020,ENG,1. Premier League,8th,Arsenal,27,13.4,2,0,15,5,0,0,68,75.6
3f79a1c8,2019-2020,ESP,1. La Liga,14th,Eibar,26,18.6,9,1,38,33,2,10,49,49
3faa1780,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,28,3.8,0,0,10,7,1,1,2,25
3faa1780,2019-2020,ENG,1. Premier League,20th,Norwich City,28,7.7,1,0,12,7,0,4,4,19
3fc45c73,2019-2020,ESP,1. La Liga,11th,Athletic Club,28,33,10,0,39,42,3,15,101,63.9
407feb71,2019-2020,ESP,1. La Liga,1st,Real Madrid,19,0.7,1,0,2,6,0,1,0,0
4112ace5,2019-2020,ESP,1. La Liga,11th,Athletic Club,18,0.8,1,0,0,1,0,2,0,0
4115ce4e,2019-2020,ENG,1. Premier League,11th,Southampton,23,34,4,0,36,13,0,0,132,71
41b3069f,2019-2020,ESP,1. La Liga,20th,Espanyol,23,11.6,4,1,6,5,0,1,15,45.5
41c12f75,2019-2020,ESP,1. La Liga,8th,Getafe,21,20.8,7,1,37,23,3,37,83,55
41f32541,2019-2020,ESP,1. La Liga,4th,Sevilla,32,29.5,13,0,42,28,2,6,83,56.8
41ff002d,2019-2020,ENG,1. Premier League,7th,Wolves,20,0.1,0,0,0,0,0,0,0,NULL
42130443,2019-2020,GER,1. Bundesliga,17th,Düsseldorf,24,17,0,0,0,2,0,0,0,NULL
42276181,2019-2020,ESP,1. La Liga,9th,Valencia,32,17.6,0,0,17,17,13,20,7,14.9
43458538,2019-2020,ENG,1. Premier League,18th,Bournemouth,27,22.3,0,0,37,38,7,25,39,36.8
437f2b00,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,19,16.6,3,0,45,29,6,10,35,42.7
43a166b4,2019-2020,ENG,1. Premier League,1st,Liverpool,24,8,1,0,13,17,0,16,14,36.8
43f71e77,2019-2020,ESP,1. La Liga,8th,Getafe,37,21,6,1,37,52,16,24,73,39.5
441197b8,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,19,19.1,3,0,18,9,0,9,42,61.8
44150beb,2019-2020,ESP,1. La Liga,6th,Real Sociedad,18,0.9,0,0,2,1,0,0,2,100
442b56fa,2019-2020,GER,1. Bundesliga,13th,Mainz 05,21,26.1,5,1,31,43,2,68,23,38.3
4431aed2,2019-2020,ITA,1. Serie A,4th,Lazio,29,35.2,8,0,44,47,21,24,24,26.1
4442fbcd,2019-2020,ESP,1. La Liga,12th,Levante,27,17.4,11,0,52,28,0,1,19,51.4
44510fde,2019-2020,ITA,1. Serie A,17th,Genoa,22,7.3,4,0,28,19,4,3,27,41.5
4468ec10,2019-2020,ENG,1. Premier League,5th,Leicester City,23,6.9,1,0,3,11,3,22,3,30
44781702,2019-2020,ENG,1. Premier League,6th,Tottenham,26,15.9,6,0,31,10,1,29,42,65.6
44ac04e9,2019-2020,ITA,1. Serie A,2nd,Inter,27,14.2,4,0,23,12,3,12,14,42.4
44bfb6c5,2019-2020,ENG,1. Premier League,7th,Wolves,22,34,9,0,41,19,0,16,25,47.2
44eb9093,2019-2020,ITA,1. Serie A,2nd,Inter,30,15.6,6,0,37,21,4,16,20,54.1
450ab6fc,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,25,23.1,5,0,25,19,2,0,83,68.6
