id,season,country,comp_level,lg_finish,squad,age,games,mnts,minutes_per_game,minutes_pct,minutes_90s,games_starts,games_complete,games_subs,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_wowy
abb3bb95,2019-2020,ESP,1. La Liga,4th,Sevilla,28,35,2059,59,60.2,22.9,24,11,11,3,1.94,36,18,18,0.65
abe66106,2019-2020,ENG,1. Premier League,6th,Tottenham,27,25,1215,49,35.5,13.5,12,4,13,2,1.52,22,12,10,0.58
ac05f970,2019-2020,ENG,1. Premier League,16th,West Ham,29,24,1768,74,51.7,19.6,19,12,5,0,1.08,31,30,1,0.81
ac295d9e,2019-2020,ESP,1. La Liga,14th,Eibar,27,35,3150,90,92.1,35,35,35,0,3,1.03,33,51,-18,-0.85
ac4003af,2019-2020,ITA,1. Serie A,3rd,Atalanta,27,6,525,88,15.4,5.8,5,4,1,31,2,17,5,12,0.88
ac73ec79,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,21,25,1783,71,58.3,19.8,21,15,4,8,2.16,51,23,28,0.29
ac7e640b,2019-2020,ITA,1. Serie A,3rd,Atalanta,25,14,959,69,28,10.7,11,8,3,5,2.14,28,14,14,0
ac7e640b,2019-2020,ITA,1. Serie A,6th,Milan,25,0,NULL,NULL,NULL,NULL,0,0,0,6,NULL,NULL,NULL,NULL,NULL
ac861941,2019-2020,ENG,1. Premier League,6th,Tottenham,25,19,1344,71,39.3,14.9,15,13,4,13,1.95,26,23,3,-0.28
ad00b1a8,2019-2020,GER,1. Bundesliga,14th,Köln,24,18,1158,64,37.8,12.9,13,8,5,12,1.22,24,23,1,0.98
ad1ffcfd,2019-2020,ESP,1. La Liga,5th,Villarreal,31,34,2648,78,77.4,29.4,33,18,1,0,1.59,47,39,8,-0.43
ad3389d5,2019-2020,GER,1. Bundesliga,5th,Leverkusen,29,34,3060,90,100,34,34,34,0,0,1.85,61,44,17,NULL
ad6df2d5,2019-2020,ITA,1. Serie A,1st,Juventus,29,30,2277,76,66.6,25.3,28,18,2,4,2.23,53,27,26,0.48
aded8e6f,2019-2020,ITA,1. Serie A,5th,Roma,17,1,59,59,1.7,0.7,1,0,0,3,3,3,1,2,2.41
adfc9123,2019-2020,ESP,1. La Liga,2nd,Barcelona,32,35,3092,88,90.4,34.4,35,31,0,0,2.09,71,36,35,-2.55
ae44e8e2,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,21,12,747,62,24.4,8.3,9,1,3,3,1.75,20,5,15,0.68
ae48c5cb,2019-2020,ESP,1. La Liga,5th,Villarreal,20,0,NULL,NULL,NULL,NULL,0,0,0,3,NULL,NULL,NULL,NULL,NULL
ae4e2852,2019-2020,ITA,1. Serie A,1st,Juventus,26,9,471,52,13.8,5.2,6,4,3,10,2.67,10,3,7,0.54
ae7058f9,2019-2020,ITA,1. Serie A,15th,Sampdoria,21,8,569,71,16.6,6.3,7,5,1,28,0.88,11,13,-2,0.16
aed746df,2019-2020,ESP,1. La Liga,16th,Alavés,29,16,864,54,25.3,9.6,10,4,6,0,0.94,5,18,-13,-0.93
aeed5c06,2019-2020,GER,1. Bundesliga,5th,Leverkusen,20,28,1771,63,57.9,19.7,18,12,10,6,1.86,33,29,4,-0.7
afb0c500,2019-2020,GER,1. Bundesliga,12th,Schalke 04,22,26,2315,89,75.7,25.7,26,25,0,4,1.27,31,40,-9,0.98
b05e2dbd,2019-2020,ESP,1. La Liga,9th,Valencia,24,24,1988,83,58.1,22.1,23,21,1,1,1.29,25,33,-8,-0.43
b0616e3d,2019-2020,ESP,1. La Liga,4th,Sevilla,29,11,773,70,22.6,8.6,8,6,3,20,1.55,13,11,2,-0.38
b0a0698b,2019-2020,GER,1. Bundesliga,14th,Köln,29,26,2207,85,72.1,24.5,26,23,0,0,1.08,36,51,-15,-0.3
b0b4fd3e,2019-2020,ENG,1. Premier League,17th,Aston Villa,23,36,3233,90,94.5,35.9,36,35,0,0,0.97,39,63,-24,0.29
b0c71810,2019-2020,ENG,1. Premier League,11th,Southampton,25,20,764,38,22.3,8.5,8,1,12,7,0.95,10,18,-8,-0.91
b0f7e36c,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,34,2637,78,77.1,29.3,31,16,3,1,1.44,41,33,8,0.85
b0fce72c,2019-2020,ESP,1. La Liga,11th,Athletic Club,26,20,1269,63,37.1,14.1,13,10,7,5,1.2,12,16,-4,-0.58
b1236c63,2019-2020,ITA,1. Serie A,13th,Udinese,29,28,1251,45,36.6,13.9,15,5,13,10,1.21,16,17,-1,0.47
b14d0c5d,2019-2020,ESP,1. La Liga,15th,Betis,29,14,1175,84,34.4,13.1,14,11,0,10,0.8,14,25,-11,-0.8
