id,season,country,comp_level,lg_finish,squad,age,minutes_90s,sca,sca_per90,gca,gca_per90
1ae836b1,2019-2020,GER,1. Bundesliga,14th,Köln,21,6.9,19,2.74,7,1.01
1b84dbe1,2019-2020,ENG,1. Premier League,12th,Everton,26,33.7,104,3.09,10,0.3
1bacc518,2019-2020,ESP,1. La Liga,2nd,Barcelona,22,23.5,52,2.21,9,0.38
1bda5842,2019-2020,ESP,1. La Liga,6th,Real Sociedad,27,26.6,70,2.63,12,0.45
1bf33a9a,2019-2020,ENG,1. Premier League,4th,Chelsea,20,19.1,79,4.13,13,0.68
1bf811d4,2019-2020,ENG,1. Premier League,20th,Norwich City,25,14.4,20,1.39,0,0
1c7012b8,2019-2020,ENG,1. Premier League,16th,West Ham,20,38,47,1.24,7,0.18
1cadaf34,2019-2020,ITA,1. Serie A,3rd,Atalanta,18,0.2,1,5.29,0,0
1cb49278,2019-2020,ENG,1. Premier League,4th,Chelsea,23,19.5,11,0.57,1,0.05
1cbe4984,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,24,4.2,15,3.55,1,0.24
1d0bb7e4,2019-2020,ITA,1. Serie A,3rd,Atalanta,19,3.1,2,0.64,0,0
1d1691ad,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,23,1.7,5,2.96,0,0
1d1691ad,2019-2020,ESP,1. La Liga,1st,Real Madrid,23,3.8,10,2.62,2,0.52
1d8e9add,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,27,10.7,4,0.37,0,0
1d8e9add,2019-2020,GER,1. Bundesliga,16th,Werder Bremen,27,12.3,7,0.57,0,0
1daec722,2019-2020,ESP,1. La Liga,8th,Getafe,21,36,93,2.59,9,0.25
1ea5f91c,2019-2020,ITA,1. Serie A,15th,Sampdoria,23,23.3,67,2.88,7,0.3
1ecb65be,2019-2020,ENG,1. Premier League,12th,Everton,30,14.3,32,2.24,4,0.28
1ef37668,2019-2020,ENG,1. Premier League,10th,Burnley,30,20.9,24,1.15,4,0.19
1f079188,2019-2020,ESP,1. La Liga,5th,Villarreal,28,21.2,29,1.37,4,0.19
1f44ac21,2019-2020,GER,1. Bundesliga,2nd,Dortmund,19,11.8,25,2.12,7,0.59
1fb1c435,2019-2020,ESP,1. La Liga,9th,Valencia,28,20.9,44,2.11,12,0.57
1fca9171,2019-2020,ITA,1. Serie A,20th,SPAL,25,12,41,3.41,2,0.17
1fda91b3,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,17,0.6,0,0,0,0
1fe0492d,2019-2020,ESP,1. La Liga,16th,Alavés,23,29.6,37,1.25,6,0.2
1fe67e86,2019-2020,ESP,1. La Liga,11th,Athletic Club,31,6.3,2,0.32,0,0
20030c06,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,26,9.5,13,1.37,0,0
200e89e1,2019-2020,ESP,1. La Liga,6th,Real Sociedad,17,4.9,19,3.87,0,0
20730eae,2019-2020,ITA,1. Serie A,6th,Milan,20,15.6,59,3.78,7,0.45
20b3a502,2019-2020,ITA,1. Serie A,12th,Bologna,21,7.8,20,2.58,1,0.13
20b9f052,2019-2020,ITA,1. Serie A,5th,Roma,24,32,2,0.06,0,0
21166ff4,2019-2020,ENG,1. Premier League,5th,Leicester City,23,33.7,14,0.42,0,0
2146785a,2019-2020,ITA,1. Serie A,6th,Milan,22,18,28,1.55,5,0.28
21512407,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,28,22,69,3.14,8,0.36
217875a4,2019-2020,ITA,1. Serie A,14th,Cagliari,19,12.9,5,0.39,0,0
217c93a1,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,17,0.4,0,0,0,0
21a66f6a,2019-2020,ENG,1. Premier League,6th,Tottenham,26,28.7,54,1.88,6,0.21
2200181e,2019-2020,GER,1. Bundesliga,17th,Düsseldorf,24,30.3,31,1.02,3,0.1
228b0d9d,2019-2020,ESP,1. La Liga,6th,Real Sociedad,21,10.9,8,0.73,1,0.09
228f73ae,2019-2020,ITA,1. Serie A,7th,Napoli,25,2,10,5.11,0,0
22919e97,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,26,8.3,20,2.41,4,0.48
229cd98a,2019-2020,GER,1. Bundesliga,15th,Augsburg,21,4.1,7,1.72,4,0.98
230a2fac,2019-2020,ITA,1. Serie A,7th,Napoli,25,33,62,1.88,5,0.15
2327c29e,2019-2020,ESP,1. La Liga,12th,Levante,27,7.3,22,3.03,0,0
2334478a,2019-2020,ITA,1. Serie A,17th,Genoa,26,13.9,28,2.01,4,0.29
240d3a0b,2019-2020,ESP,1. La Liga,11th,Athletic Club,29,33.7,25,0.74,1,0.03
246d153b,2019-2020,ITA,1. Serie A,16th,Torino,22,23.1,46,1.99,7,0.3
24f59bb2,2019-2020,ESP,1. La Liga,2nd,Barcelona,22,11.3,15,1.33,3,0.27
253a06b9,2019-2020,ESP,1. La Liga,10th,Osasuna,25,17.7,50,2.83,7,0.4
254147d4,2019-2020,ENG,1. Premier League,11th,Southampton,21,10.3,40,3.88,6,0.58
25ab9c9c,2019-2020,GER,1. Bundesliga,8th,Freiburg,28,15.2,17,1.12,1,0.07
2628fd2b,2019-2020,ENG,1. Premier League,8th,Arsenal,27,29.4,1,0.03,0,0
2691c772,2019-2020,ENG,1. Premier League,10th,Burnley,29,15,21,1.4,2,0.13
26db8853,2019-2020,ITA,1. Serie A,13th,Udinese,24,12.7,23,1.82,1,0.08
26f6dca8,2019-2020,ENG,1. Premier League,16th,West Ham,26,15.3,58,3.79,5,0.33
271b8617,2019-2020,GER,1. Bundesliga,11th,Union Berlin,23,19.1,28,1.47,4,0.21
2784f898,2019-2020,ESP,1. La Liga,1st,Real Madrid,21,11.4,4,0.35,0,0
27a013f7,2019-2020,ESP,1. La Liga,17th,Celta Vigo,27,32.1,7,0.22,3,0.09
27c01749,2019-2020,ENG,1. Premier League,15th,Brighton,19,14,25,1.79,5,0.36
282f75f3,2019-2020,ENG,1. Premier League,15th,Brighton,27,35.9,26,0.72,3,0.08
28a15394,2019-2020,ITA,1. Serie A,16th,Torino,36,1,0,0,0,0
28d596a0,2019-2020,ENG,1. Premier League,4th,Chelsea,24,33,1,0.03,0,0
291e3ec3,2019-2020,ENG,1. Premier League,20th,Norwich City,18,2.5,1,0.39,0,0
2928dca2,2019-2020,ENG,1. Premier League,7th,Wolves,26,38,13,0.34,0,0
2946f9a1,2019-2020,ESP,1. La Liga,1st,Real Madrid,29,4.9,7,1.44,0,0
29733c72,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,31,8.4,38,4.51,2,0.24
2979c05a,2019-2020,GER,1. Bundesliga,18th,Paderborn 07,24,11.8,19,1.61,1,0.08
29b61deb,2019-2020,ESP,1. La Liga,16th,Alavés,26,12.1,10,0.83,2,0.17
2a0c8ba4,2019-2020,ESP,1. La Liga,4th,Sevilla,25,25,71,2.83,7,0.28
2a1beb34,2019-2020,ITA,1. Serie A,3rd,Atalanta,28,30.2,64,2.12,10,0.33
2a29eb9b,2019-2020,GER,1. Bundesliga,8th,Freiburg,26,2.3,1,0.43,1,0.43
2a6cd437,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,21,10.3,4,0.39,0,0
2acd49b9,2019-2020,ENG,1. Premier League,6th,Tottenham,29,27.2,28,1.03,2,0.07
2b09d998,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,20,10.6,18,1.7,2,0.19
2b16cb1a,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,22,20.7,88,4.25,10,0.48
2b622f01,2019-2020,ENG,1. Premier League,6th,Tottenham,26,24.9,87,3.49,8,0.32
2b91cf8e,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,29,13.2,1,0.08,0,0
2baec6ce,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,21,2.1,2,0.95,0,0
2bd83368,2019-2020,ENG,1. Premier League,12th,Everton,18,4.9,9,1.84,1,0.2
2bed3eab,2019-2020,ENG,1. Premier League,2nd,Manchester City,18,8.8,3,0.34,0,0
2bef2bca,2019-2020,ESP,1. La Liga,2nd,Barcelona,20,2.6,0,0,0,0
2c0558b8,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,16,0,0,0,0,0
2c0f8e9e,2019-2020,ITA,1. Serie A,2nd,Inter,30,10.3,66,6.44,14,1.37
2ce2508a,2019-2020,ENG,1. Premier League,14th,Crystal Palace,28,27.9,46,1.65,3,0.11
2cfae697,2019-2020,ITA,1. Serie A,12th,Bologna,22,12,24,2,0,0
2d5f03bf,2019-2020,ENG,1. Premier League,20th,Norwich City,26,15.9,4,0.25,0,0
2d61d13a,2019-2020,GER,1. Bundesliga,12th,Schalke 04,19,19.7,9,0.46,2,0.1
2d970560,2019-2020,ITA,1. Serie A,3rd,Atalanta,25,29.1,71,2.44,12,0.41
2db2fd7b,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,30,20,13,0.65,5,0.25
2e4f5f03,2019-2020,ENG,1. Premier League,1st,Liverpool,25,34.6,111,3.21,19,0.55
2e7ff968,2019-2020,GER,1. Bundesliga,2nd,Dortmund,31,3.2,0,0,0,0
2f3452eb,2019-2020,ITA,1. Serie A,7th,Napoli,25,16.5,36,2.19,3,0.18
2f3e911a,2019-2020,GER,1. Bundesliga,13th,Mainz 05,22,19.9,49,2.46,2,0.1
2f557579,2019-2020,ITA,1. Serie A,7th,Napoli,28,31.2,151,4.84,15,0.48
2f7acede,2019-2020,ENG,1. Premier League,6th,Tottenham,23,24.7,38,1.54,5,0.2
2f90f6b8,2019-2020,ENG,1. Premier League,1st,Liverpool,33,10.4,23,2.21,4,0.38
2f965a72,2019-2020,ESP,1. La Liga,1st,Real Madrid,26,4,0,0,0,0
2ff964a0,2019-2020,ENG,1. Premier League,10th,Burnley,32,5.5,7,1.27,1,0.18
30223b33,2019-2020,ITA,1. Serie A,5th,Roma,36,5,0,0,0,0
3024e383,2019-2020,ESP,1. La Liga,14th,Eibar,29,26.2,51,1.94,5,0.19
302527b2,2019-2020,GER,1. Bundesliga,8th,Freiburg,23,20.2,8,0.4,2,0.1
30941e96,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,22,12.2,39,3.21,5,0.41
30c220c3,2019-2020,GER,1. Bundesliga,5th,Leverkusen,25,13,16,1.23,1,0.08
30f5ffa9,2019-2020,ITA,1. Serie A,2nd,Inter,24,29.2,26,0.89,2,0.07
32974271,2019-2020,ESP,1. La Liga,13th,Valladolid,28,29.5,50,1.69,6,0.2
32c0491f,2019-2020,ESP,1. La Liga,9th,Valencia,26,0.8,1,1.2,0,0
32f60ed8,2019-2020,ENG,1. Premier League,7th,Wolves,19,1.4,3,2.09,0,0
3312f911,2019-2020,ENG,1. Premier League,14th,Crystal Palace,26,11.5,13,1.13,2,0.17
3353737a,2019-2020,ESP,1. La Liga,4th,Sevilla,22,27.9,67,2.4,8,0.29
335fa267,2019-2020,ESP,1. La Liga,2nd,Barcelona,27,26,52,2,9,0.35
3376a776,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,24,14,7,0.5,2,0.14
339fe0e8,2019-2020,ITA,1. Serie A,4th,Lazio,24,38,7,0.18,1,0.03
33a61a52,2019-2020,ESP,1. La Liga,12th,Levante,27,20.5,23,1.12,2,0.1
33b8d077,2019-2020,ITA,1. Serie A,2nd,Inter,26,30,97,3.23,16,0.53
33ecf462,2019-2020,ITA,1. Serie A,9th,Hellas Verona,25,19.7,50,2.54,7,0.36
343c0d52,2019-2020,ITA,1. Serie A,14th,Cagliari,24,32.5,43,1.32,6,0.18
34a0f5ff,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,21,14.5,26,1.79,4,0.28
34e12499,2019-2020,GER,1. Bundesliga,8th,Freiburg,19,4.1,5,1.21,0,0
34e393f2,2019-2020,ESP,1. La Liga,15th,Betis,25,10.4,9,0.87,1,0.1
34e4343c,2019-2020,GER,1. Bundesliga,14th,Köln,31,12.6,13,1.03,2,0.16
3515d404,2019-2020,ENG,1. Premier League,11th,Southampton,24,38,106,2.79,6,0.16
355c883a,2019-2020,ESP,1. La Liga,16th,Alavés,23,23.3,23,0.99,3,0.13
356c9002,2019-2020,ITA,1. Serie A,2nd,Inter,32,22.1,78,3.52,13,0.59
3594a357,2019-2020,ESP,1. La Liga,6th,Real Sociedad,19,0.3,3,9.31,1,3.1
35dd6d80,2019-2020,ITA,1. Serie A,17th,Genoa,32,22.8,34,1.49,1,0.04
360d70f8,2019-2020,ESP,1. La Liga,19th,Mallorca,28,24.3,44,1.81,2,0.08
3624ce4c,2019-2020,ESP,1. La Liga,7th,Granada,31,32,45,1.4,8,0.25
3631ad41,2019-2020,ENG,1. Premier League,16th,West Ham,18,4.9,2,0.41,0,0
3672b352,2019-2020,ESP,1. La Liga,10th,Osasuna,19,0.1,1,9,0,0
36a3ff67,2019-2020,GER,1. Bundesliga,2nd,Dortmund,30,16.6,53,3.19,8,0.48
36c2ca73,2019-2020,ENG,1. Premier League,11th,Southampton,29,28,4,0.14,0,0
3727dd3c,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,27,23.5,60,2.55,6,0.25
3745e8bd,2019-2020,GER,1. Bundesliga,11th,Union Berlin,28,3.7,14,3.82,3,0.82
374ee424,2019-2020,ESP,1. La Liga,6th,Real Sociedad,24,25,4,0.16,0,0
379652be,2019-2020,ESP,1. La Liga,20th,Espanyol,21,12.4,28,2.26,1,0.08
37e103f8,2019-2020,ESP,1. La Liga,8th,Getafe,19,4.2,7,1.67,2,0.48
37f1cf47,2019-2020,ESP,1. La Liga,11th,Athletic Club,27,31.9,48,1.5,5,0.16
37f606f0,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,21,12.6,41,3.25,4,0.32
38126309,2019-2020,ESP,1. La Liga,19th,Mallorca,23,18.8,42,2.24,5,0.27
38c7feef,2019-2020,ENG,1. Premier League,1st,Liverpool,25,16.5,42,2.55,4,0.24
38ce1150,2019-2020,ESP,1. La Liga,13th,Valladolid,22,0.7,1,1.53,0,0
38ceb24a,2019-2020,ENG,1. Premier League,15th,Brighton,24,22.3,79,3.54,8,0.36
3902e91b,2019-2020,ESP,1. La Liga,12th,Levante,25,13.7,19,1.38,1,0.07
3935e52e,2019-2020,ENG,1. Premier League,8th,Arsenal,26,18.9,18,0.95,2,0.11
39583cfd,2019-2020,ENG,1. Premier League,19th,Watford,25,23.3,93,3.99,10,0.43
3a233281,2019-2020,GER,1. Bundesliga,5th,Leverkusen,21,12.1,41,3.39,8,0.66
3a24769f,2019-2020,ENG,1. Premier League,4th,Chelsea,25,12.3,47,3.83,5,0.41
3a949a25,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,30,38,2,0.05,0,0
3a9c4b7b,2019-2020,ESP,1. La Liga,10th,Osasuna,24,25.9,36,1.39,1,0.04
3aa4a3be,2019-2020,ESP,1. La Liga,15th,Betis,25,22.6,36,1.6,5,0.22
3ae14ed1,2019-2020,ENG,1. Premier League,17th,Aston Villa,24,21.7,47,2.17,2,0.09
3b333ac3,2019-2020,ITA,1. Serie A,3rd,Atalanta,25,26.2,91,3.48,9,0.34
3b61c9ec,2019-2020,ITA,1. Serie A,14th,Cagliari,20,21.2,48,2.26,8,0.38
3b8674e6,2019-2020,ITA,1. Serie A,1st,Juventus,22,24.4,76,3.11,10,0.41
3bb625ac,2019-2020,GER,1. Bundesliga,13th,Mainz 05,23,16.5,32,1.94,1,0.06
3bb7af3b,2019-2020,ITA,1. Serie A,17th,Genoa,27,1.9,8,4.29,0,0
3bb7af3b,2019-2020,ITA,1. Serie A,18th,Lecce,27,10.5,57,5.42,6,0.57
3bb7b8b4,2019-2020,ENG,1. Premier League,2nd,Manchester City,25,34.1,4,0.12,1,0.03
3bb7f478,2019-2020,ITA,1. Serie A,5th,Roma,33,31.7,112,3.53,18,0.57
3c16d927,2019-2020,ESP,1. La Liga,19th,Mallorca,20,16.6,29,1.74,3,0.18
3c16d927,2019-2020,ESP,1. La Liga,4th,Sevilla,20,0.4,0,0,0,0
3c6089ab,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,29,25.1,136,5.43,28,1.12
3ca7254a,2019-2020,ENG,1. Premier League,4th,Chelsea,32,7.3,34,4.63,4,0.54
3cd3b384,2019-2020,ITA,1. Serie A,15th,Sampdoria,24,12.6,40,3.17,3,0.24
3cd9e95a,2019-2020,GER,1. Bundesliga,14th,Köln,26,34,3,0.09,1,0.03
3cefcaef,2019-2020,ESP,1. La Liga,1st,Real Madrid,24,20.1,42,2.09,7,0.35
3d50bcdb,2019-2020,ENG,1. Premier League,12th,Everton,19,9.5,29,3.06,2,0.21
3d688b46,2019-2020,ESP,1. La Liga,7th,Granada,21,16.7,15,0.9,2,0.12
3e42f707,2019-2020,ESP,1. La Liga,10th,Osasuna,25,31,17,0.55,2,0.06
3e9e06cb,2019-2020,ENG,1. Premier League,19th,Watford,29,26.2,12,0.46,0,0
3ea50f67,2019-2020,ENG,1. Premier League,5th,Leicester City,21,23.1,77,3.33,15,0.65
3ead85f9,2019-2020,ITA,1. Serie A,6th,Milan,24,34.3,30,0.87,3,0.09
3eb0f2df,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,28,25.1,84,3.35,6,0.24
3eb22ec9,2019-2020,ENG,1. Premier League,2nd,Manchester City,24,22.6,95,4.21,12,0.53
3ecc11d8,2019-2020,ESP,1. La Liga,11th,Athletic Club,24,31.2,19,0.61,1,0.03
3ee0dd59,2019-2020,ESP,1. La Liga,6th,Real Sociedad,20,5.8,10,1.57,0,0
3eeb80e0,2019-2020,GER,1. Bundesliga,15th,Augsburg,21,5.1,8,1.58,2,0.39
3eed9821,2019-2020,ESP,1. La Liga,2nd,Barcelona,25,10.5,5,0.47,2,0.19
3ef0a2d7,2019-2020,ITA,1. Serie A,10th,Fiorentina,19,0.1,0,0,0,0
3effaa34,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,23,17.5,54,3.09,6,0.34
3effaa34,2019-2020,ITA,1. Serie A,6th,Milan,23,0.7,1,1.5,0,0
3f10bd22,2019-2020,ESP,1. La Liga,4th,Sevilla,33,37.4,95,2.54,14,0.37
3f2d59fe,2019-2020,ENG,1. Premier League,8th,Arsenal,27,13.4,3,0.22,1,0.07
3f79a1c8,2019-2020,ESP,1. La Liga,14th,Eibar,26,18.6,18,0.97,3,0.16
3faa1780,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,28,3.8,5,1.32,1,0.26
3faa1780,2019-2020,ENG,1. Premier League,20th,Norwich City,28,7.7,14,1.81,0,0
3fc45c73,2019-2020,ESP,1. La Liga,11th,Athletic Club,28,33,24,0.73,3,0.09
407feb71,2019-2020,ESP,1. La Liga,1st,Real Madrid,19,0.7,2,2.77,0,0
4112ace5,2019-2020,ESP,1. La Liga,11th,Athletic Club,18,0.8,1,1.23,0,0
4115ce4e,2019-2020,ENG,1. Premier League,11th,Southampton,23,34,13,0.38,1,0.03
41b3069f,2019-2020,ESP,1. La Liga,20th,Espanyol,23,11.6,3,0.26,0,0
41c12f75,2019-2020,ESP,1. La Liga,8th,Getafe,21,20.8,22,1.06,3,0.14
41f32541,2019-2020,ESP,1. La Liga,4th,Sevilla,32,29.5,31,1.05,3,0.1
41ff002d,2019-2020,ENG,1. Premier League,7th,Wolves,20,0.1,0,0,0,0
42130443,2019-2020,GER,1. Bundesliga,17th,Düsseldorf,24,17,5,0.29,1,0.06
42276181,2019-2020,ESP,1. La Liga,9th,Valencia,32,17.6,30,1.71,6,0.34
43458538,2019-2020,ENG,1. Premier League,18th,Bournemouth,27,22.3,57,2.55,8,0.36
437f2b00,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,19,16.6,52,3.13,4,0.24
43a166b4,2019-2020,ENG,1. Premier League,1st,Liverpool,24,8,22,2.76,3,0.38
43f71e77,2019-2020,ESP,1. La Liga,8th,Getafe,37,21,60,2.86,10,0.48
441197b8,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,19,19.1,18,0.94,2,0.1
44150beb,2019-2020,ESP,1. La Liga,6th,Real Sociedad,18,0.9,0,0,0,0
442b56fa,2019-2020,GER,1. Bundesliga,13th,Mainz 05,21,26.1,65,2.49,10,0.38
4431aed2,2019-2020,ITA,1. Serie A,4th,Lazio,29,35.2,113,3.21,21,0.6
4442fbcd,2019-2020,ESP,1. La Liga,12th,Levante,27,17.4,13,0.75,3,0.17
44510fde,2019-2020,ITA,1. Serie A,17th,Genoa,22,7.3,12,1.64,0,0
4468ec10,2019-2020,ENG,1. Premier League,5th,Leicester City,23,6.9,29,4.2,6,0.87
44781702,2019-2020,ENG,1. Premier League,6th,Tottenham,26,15.9,17,1.07,0,0
44ac04e9,2019-2020,ITA,1. Serie A,2nd,Inter,27,14.2,30,2.11,4,0.28
44bfb6c5,2019-2020,ENG,1. Premier League,7th,Wolves,22,34,64,1.88,5,0.15
44eb9093,2019-2020,ITA,1. Serie A,2nd,Inter,30,15.6,16,1.03,0,0
450ab6fc,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,25,23.1,7,0.3,0,0
4535e4bb,2019-2020,ENG,1. Premier League,15th,Brighton,27,38,4,0.11,3,0.08
45963054,2019-2020,ENG,1. Premier League,5th,Leicester City,32,33.7,64,1.9,11,0.33
45a03961,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,23,31,43,1.39,8,0.26
45af8a54,2019-2020,ESP,1. La Liga,1st,Real Madrid,23,3.7,11,2.95,1,0.27
45b9b619,2019-2020,ITA,1. Serie A,4th,Lazio,24,22.2,110,4.95,14,0.63
45db685d,2019-2020,ENG,1. Premier League,4th,Chelsea,27,26.4,66,2.5,6,0.23
45e17712,2019-2020,ESP,1. La Liga,7th,Granada,26,12.4,11,0.88,0,0
45e17712,2019-2020,ENG,1. Premier League,19th,Watford,26,0.7,1,1.53,0,0
4601e194,2019-2020,ESP,1. La Liga,2nd,Barcelona,30,24.3,45,1.85,5,0.21
4611e028,2019-2020,ITA,1. Serie A,10th,Fiorentina,25,32.8,123,3.75,10,0.31
466824fb,2019-2020,ESP,1. La Liga,10th,Osasuna,33,25.8,36,1.4,2,0.08
466fb2c5,2019-2020,ENG,1. Premier League,18th,Bournemouth,21,37,3,0.08,0,0
46a8347f,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,27,4,3,0.75,1,0.25
46fa7204,2019-2020,ITA,1. Serie A,10th,Fiorentina,20,0.7,6,8.44,1,1.41
46fa7204,2019-2020,ITA,1. Serie A,17th,Genoa,20,7.4,31,4.19,2,0.27
47064058,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,29,30,3,0.1,0,0
471f16b3,2019-2020,ENG,1. Premier League,20th,Norwich City,27,33,59,1.79,2,0.06
47369df8,2019-2020,ENG,1. Premier League,10th,Burnley,23,8.9,14,1.57,1,0.11
4737cebe,2019-2020,ESP,1. La Liga,6th,Real Sociedad,24,13,56,4.32,7,0.54
474ecac8,2019-2020,ESP,1. La Liga,12th,Levante,30,26.4,11,0.42,2,0.08
4806ec67,2019-2020,ENG,1. Premier League,12th,Everton,25,38,6,0.16,0,0
487d9b09,2019-2020,ESP,1. La Liga,15th,Betis,32,7.1,19,2.67,3,0.42
48a5a5d6,2019-2020,ENG,1. Premier League,8th,Arsenal,18,7.4,7,0.95,0,0
48b3dd60,2019-2020,ESP,1. La Liga,2nd,Barcelona,22,13.1,28,2.13,8,0.61
48d5bd33,2019-2020,ITA,1. Serie A,3rd,Atalanta,26,17.1,115,6.74,9,0.53
48e89655,2019-2020,ESP,1. La Liga,20th,Espanyol,30,0.6,0,0,0,0
49296448,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,24,31.3,128,4.09,18,0.57
493924a7,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,24,18.8,36,1.91,7,0.37
4958bfb2,2019-2020,ESP,1. La Liga,1st,Real Madrid,27,30.4,74,2.43,6,0.2
495945ef,2019-2020,ENG,1. Premier League,10th,Burnley,29,35,93,2.66,8,0.23
49d028db,2019-2020,ESP,1. La Liga,15th,Betis,22,7.6,3,0.4,0,0
49fe9070,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,23,31.1,117,3.77,19,0.61
4a478107,2019-2020,ESP,1. La Liga,12th,Levante,32,28,66,2.36,6,0.21
4a56052c,2019-2020,ITA,1. Serie A,5th,Roma,26,29.2,73,2.5,7,0.24
4a5a45c7,2019-2020,ITA,1. Serie A,5th,Roma,23,23.3,135,5.79,20,0.86
4a633cfe,2019-2020,ESP,1. La Liga,10th,Osasuna,27,6,2,0.34,0,0
4ab53cdb,2019-2020,ENG,1. Premier League,10th,Burnley,30,22.4,31,1.38,5,0.22
4accb7e0,2019-2020,ESP,1. La Liga,10th,Osasuna,27,24.9,48,1.92,4,0.16
4b029b31,2019-2020,ITA,1. Serie A,17th,Genoa,25,8.7,9,1.03,1,0.11
4b3e1a38,2019-2020,ITA,1. Serie A,9th,Hellas Verona,25,35.9,30,0.84,3,0.08
4b40d9ca,2019-2020,ENG,1. Premier League,10th,Burnley,27,38,8,0.21,0,0
4b511457,2019-2020,ENG,1. Premier League,11th,Southampton,27,20.7,33,1.6,0,0
4bcf39f6,2019-2020,ENG,1. Premier League,15th,Brighton,22,30.7,71,2.31,6,0.2
4bd00a50,2019-2020,GER,1. Bundesliga,5th,Leverkusen,20,1.3,1,0.79,0,0
4bd414c1,2019-2020,ESP,1. La Liga,5th,Villarreal,33,36,16,0.44,1,0.03
4c2e9442,2019-2020,ESP,1. La Liga,9th,Valencia,22,23.8,33,1.39,3,0.13
4c370d81,2019-2020,ENG,1. Premier League,1st,Liverpool,27,33.2,97,2.92,19,0.57
4c3a6744,2019-2020,ITA,1. Serie A,5th,Roma,20,16.8,53,3.15,4,0.24
4c5b14d2,2019-2020,ESP,1. La Liga,15th,Betis,38,22.9,109,4.76,10,0.44
4c5b714f,2019-2020,ENG,1. Premier League,12th,Everton,27,20.3,37,1.83,4,0.2
4c62d0c8,2019-2020,ITA,1. Serie A,17th,Genoa,26,21,2,0.1,0,0
4c6facae,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,22,19.4,45,2.32,6,0.31
4c78b5ed,2019-2020,ITA,1. Serie A,4th,Lazio,32,20.1,37,1.84,2,0.1
4cde5509,2019-2020,ITA,1. Serie A,6th,Milan,37,15.1,58,3.83,7,0.46
4d034881,2019-2020,ENG,1. Premier League,2nd,Manchester City,31,16.1,51,3.16,8,0.5
4d1666ff,2019-2020,ESP,1. La Liga,4th,Sevilla,20,25.7,14,0.55,3,0.12
4d224fe8,2019-2020,ESP,1. La Liga,1st,Real Madrid,27,34.3,54,1.57,7,0.2
4d8cd038,2019-2020,ESP,1. La Liga,1st,Real Madrid,21,4.8,7,1.47,2,0.42
4dbd0916,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,23,10.3,20,1.95,1,0.1
4e1d5e59,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,0.1,0,0,0,0
4e204552,2019-2020,GER,1. Bundesliga,2nd,Dortmund,20,0.8,1,1.32,1,1.32
4e204552,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,20,4.3,23,5.29,2,0.46
4e219ad2,2019-2020,ITA,1. Serie A,6th,Milan,25,15.1,74,4.9,5,0.33
4e219ad2,2019-2020,ESP,1. La Liga,4th,Sevilla,25,8.7,34,3.9,4,0.46
4e6dbac4,2019-2020,ITA,1. Serie A,4th,Lazio,24,33.7,103,3.06,12,0.36
4e9a0555,2019-2020,ENG,1. Premier League,10th,Burnley,27,27.1,50,1.85,4,0.15
4f28a6ff,2019-2020,ESP,1. La Liga,2nd,Barcelona,24,26.9,14,0.52,3,0.11
4f2908e5,2019-2020,ITA,1. Serie A,8th,Sassuolo,35,16.8,7,0.42,2,0.12
