id,season,country,comp_level,lg_finish,squad,age,minutes_90s,sca,sca_per90,gca,gca_per90
fbbc8e15,2019-2020,GER,1. Bundesliga,15th,Augsburg,22,4.2,7,1.65,1,0.24
fbd6378b,2019-2020,ESP,1. La Liga,15th,Betis,27,28.6,17,0.59,1,0.03
fc027d02,2019-2020,ENG,1. Premier League,5th,Leicester City,18,3,15,5.06,1,0.34
fc15fb84,2019-2020,ENG,1. Premier League,10th,Burnley,19,37.1,103,2.78,14,0.38
fc4f85b1,2019-2020,ITA,1. Serie A,2nd,Inter,33,18.1,25,1.38,3,0.17
fcab00a0,2019-2020,ENG,1. Premier League,17th,Aston Villa,28,17,57,3.34,7,0.41
fce2302c,2019-2020,ENG,1. Premier League,8th,Arsenal,22,11,11,1,3,0.27
fd51b456,2019-2020,ESP,1. La Liga,1st,Real Madrid,28,9.4,33,3.5,6,0.64
fd53759d,2019-2020,GER,1. Bundesliga,14th,Köln,17,6.2,4,0.65,1,0.16
fd771f95,2019-2020,ESP,1. La Liga,2nd,Barcelona,28,4.5,8,1.77,1,0.22
fd771f95,2019-2020,ESP,1. La Liga,18th,Leganés,28,21.5,43,2,5,0.23
fdd60087,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,27,12,21,1.76,2,0.17
fe012aca,2019-2020,ITA,1. Serie A,8th,Sassuolo,22,27.9,94,3.37,13,0.47
fe471a89,2019-2020,ITA,1. Serie A,19th,Brescia,24,5.9,0,0,0,0
fe641c1a,2019-2020,GER,1. Bundesliga,2nd,Dortmund,27,9.2,9,0.98,2,0.22
fed17f5a,2019-2020,ESP,1. La Liga,9th,Valencia,22,23,33,1.44,6,0.26
fed7cb61,2019-2020,GER,1. Bundesliga,5th,Leverkusen,20,27.3,117,4.29,13,0.48
ff182fdc,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,27,3,11,3.68,0,0
ff527768,2019-2020,ENG,1. Premier League,16th,West Ham,32,29.7,73,2.46,8,0.27
ff800ed8,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,29.4,68,2.31,5,0.17
ff98492b,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,23,29,90,3.11,11,0.38
ffa90327,2019-2020,ENG,1. Premier League,17th,Aston Villa,24,22.8,57,2.5,6,0.26
ffacd3d5,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,18,3.6,7,1.94,0,0
ffbbc83b,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,23,26.8,59,2.21,4,0.15
