id,season,country,comp_level,lg_finish,squad,age,minutes_90s,touches,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,pass_targets
c7429db3,2019-2020,ESP,1. La Liga,10th,Osasuna,26,6,269,33,144,117,24,15,25,60,16,20,257
c77a8043,2019-2020,ESP,1. La Liga,7th,Granada,27,28.5,1103,141,552,499,97,54,92,58.7,70,52,1137
c78b352d,2019-2020,ESP,1. La Liga,9th,Valencia,20,2.9,172,61,96,24,0,1,2,50,4,1,101
c8387671,2019-2020,ENG,1. Premier League,1st,Liverpool,16,0.1,16,0,5,11,0,1,1,100,0,1,14
c89e8aae,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,31,8,286,286,0,0,0,0,0,NULL,0,0,120
c8aa95da,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,27,18.6,1016,574,424,86,15,16,19,84.2,6,12,564
c8c60119,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,23,16.6,895,273,431,235,22,20,26,76.9,11,18,545
c92e1a31,2019-2020,ENG,1. Premier League,5th,Leicester City,22,10.7,426,32,173,243,80,19,29,65.5,43,28,583
c931d9f9,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,21,25.4,1085,135,437,622,100,28,63,44.4,33,46,1097
c951a6df,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,24,24.7,1091,313,556,266,29,31,45,68.9,25,31,719
c9cb972b,2019-2020,ESP,1. La Liga,9th,Valencia,28,14.7,500,500,0,0,0,0,0,NULL,0,0,169
c9e39d91,2019-2020,ESP,1. La Liga,17th,Celta Vigo,22,16.4,907,142,467,353,41,25,42,59.5,39,30,806
ca618d23,2019-2020,GER,1. Bundesliga,8th,Freiburg,25,27.6,1098,165,463,531,134,37,66,56.1,97,64,1197
ca6edaa0,2019-2020,ESP,1. La Liga,19th,Mallorca,14,0.1,2,0,2,0,0,0,0,NULL,0,0,2
ca8033cb,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,23,29.4,2095,824,1123,262,29,17,23,73.9,8,18,1436
cac2537b,2019-2020,ESP,1. La Liga,12th,Levante,24,23.5,1133,205,568,431,51,38,59,64.4,51,30,995
caffaf5a,2019-2020,ITA,1. Serie A,15th,Sampdoria,30,13.2,694,416,294,15,5,3,3,100,0,1,420
caffaf5a,2019-2020,ENG,1. Premier League,11th,Southampton,30,6.2,317,167,144,20,5,1,1,100,1,3,194
cb574619,2019-2020,ESP,1. La Liga,17th,Celta Vigo,28,21.8,1570,501,729,418,21,8,12,66.7,17,12,951
cbac6ec9,2019-2020,GER,1. Bundesliga,13th,Mainz 05,21,12.5,524,522,4,0,0,1,1,100,0,0,221
cbdf7d5c,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,22,0.1,6,0,3,3,1,0,0,NULL,1,0,8
cc2d7ad5,2019-2020,ENG,1. Premier League,10th,Burnley,25,21.6,1321,437,595,375,10,19,39,48.7,12,17,657
cc700722,2019-2020,ITA,1. Serie A,7th,Napoli,28,14.2,994,197,615,250,17,18,29,62.1,14,18,781
cc86b9a3,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,24,16.8,1092,173,697,292,46,20,29,69,17,17,922
cce181df,2019-2020,ESP,1. La Liga,9th,Valencia,26,20.1,1365,438,888,129,10,16,19,84.2,12,17,942
cce9f582,2019-2020,ITA,1. Serie A,19th,Brescia,23,1.3,52,33,16,5,5,1,1,100,0,1,32
cce9f582,2019-2020,ITA,1. Serie A,8th,Sassuolo,23,1.6,97,40,56,4,3,0,0,NULL,1,0,61
cd0fa27b,2019-2020,ITA,1. Serie A,6th,Milan,25,30,1997,214,980,980,94,39,60,65,48,35,1723
cd1acf9d,2019-2020,ENG,1. Premier League,1st,Liverpool,20,35.3,3520,850,1641,1244,63,26,56,46.4,36,22,2363
cd82452e,2019-2020,GER,1. Bundesliga,15th,Augsburg,28,7.8,322,63,130,147,36,8,12,66.7,23,23,318
cda0b317,2019-2020,ESP,1. La Liga,15th,Betis,29,32.1,1232,1222,15,0,0,0,0,NULL,0,0,579
ce17b5eb,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,29,22,990,985,6,1,1,0,0,NULL,0,0,515
ce30bfc8,2019-2020,ITA,1. Serie A,2nd,Inter,25,20,1171,227,661,369,67,9,16,56.3,17,21,935
ce4246f5,2019-2020,ENG,1. Premier League,4th,Chelsea,24,26,2291,1222,1160,50,20,8,12,66.7,6,5,1698
ce5143da,2019-2020,ENG,1. Premier League,19th,Watford,28,9.1,282,33,110,158,48,9,19,47.4,22,19,354
ce8039aa,2019-2020,ESP,1. La Liga,20th,Espanyol,18,2,99,9,53,47,5,5,10,50,2,5,99
cea4ee8f,2019-2020,ENG,1. Premier League,6th,Tottenham,23,20.5,1132,171,575,471,96,32,63,50.8,45,56,1102
cee31595,2019-2020,ENG,1. Premier League,14th,Crystal Palace,31,34.3,1935,480,1038,518,104,32,49,65.3,42,44,1347
cf007308,2019-2020,ITA,1. Serie A,7th,Napoli,19,12.6,812,119,470,288,28,27,33,81.8,18,19,776
cf1c23d8,2019-2020,ITA,1. Serie A,2nd,Inter,33,3,97,97,0,0,0,0,0,NULL,0,0,43
cf623c78,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,27,5.7,322,82,124,132,16,5,7,71.4,8,8,213
cfbf9881,2019-2020,ITA,1. Serie A,12th,Bologna,24,16.7,992,380,489,178,11,11,15,73.3,7,9,613
d0042ab9,2019-2020,ENG,1. Premier League,12th,Everton,22,22.8,1268,724,592,46,14,10,12,83.3,2,4,774
d023d70f,2019-2020,ITA,1. Serie A,15th,Sampdoria,24,22.4,1032,203,495,408,60,29,50,58,36,34,773
d04b94db,2019-2020,ESP,1. La Liga,2nd,Barcelona,25,23.3,1904,453,1010,618,57,45,68,66.2,24,26,1508
d080ed5e,2019-2020,ESP,1. La Liga,6th,Real Sociedad,23,34.9,2407,440,1519,579,63,34,58,58.6,48,37,1921
d0b3ceb9,2019-2020,ENG,1. Premier League,19th,Watford,36,38,1309,1277,35,1,1,3,3,100,0,0,397
d0d8dd44,2019-2020,ITA,1. Serie A,2nd,Inter,27,31.4,1948,1031,1039,53,25,12,13,92.3,2,1,1317
d0dbca9f,2019-2020,ITA,1. Serie A,15th,Sampdoria,25,11.2,548,291,268,20,4,7,9,77.8,3,5,280
d0f72bf1,2019-2020,ENG,1. Premier League,7th,Wolves,22,2.1,118,65,58,1,0,1,1,100,0,0,77
d1273f09,2019-2020,GER,1. Bundesliga,12th,Schalke 04,31,25.5,1422,223,644,654,61,45,90,50,58,63,1048
d1661819,2019-2020,GER,1. Bundesliga,12th,Schalke 04,30,33.5,2110,712,1029,562,33,42,70,60,22,16,1288
d183e9d6,2019-2020,ITA,1. Serie A,15th,Sampdoria,24,25.1,1293,374,627,362,13,28,44,63.6,15,16,779
d1b060e2,2019-2020,ESP,1. La Liga,19th,Mallorca,26,3.1,114,4,57,57,22,2,5,40,16,5,173
d1b49282,2019-2020,ITA,1. Serie A,15th,Sampdoria,23,20.7,1001,241,527,280,44,8,12,66.7,18,13,730
d2110326,2019-2020,ESP,1. La Liga,9th,Valencia,22,16,956,565,436,20,4,8,8,100,0,4,663
d2416c2e,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,25,13.6,548,39,270,265,79,13,25,52,63,31,716
d2424d1b,2019-2020,ENG,1. Premier League,5th,Leicester City,22,26.4,2310,631,1151,728,56,23,46,50,35,37,1634
d248cd8f,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,20,26.2,2240,1084,1283,78,26,26,32,81.3,11,21,1597
d2aea9ac,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,21,0.1,3,0,0,3,1,0,0,NULL,0,0,6
d2c580ce,2019-2020,GER,1. Bundesliga,8th,Freiburg,19,1.9,87,32,47,16,3,3,4,75,4,1,56
d2ed99b4,2019-2020,ESP,1. La Liga,12th,Levante,17,0,7,2,4,2,1,0,0,NULL,1,0,4
d3112d86,2019-2020,GER,1. Bundesliga,18th,Paderborn 07,21,31.2,1483,456,788,351,33,55,86,64,40,55,1029
d37b0350,2019-2020,ITA,1. Serie A,14th,Cagliari,30,0.5,25,4,14,7,0,0,0,NULL,4,0,29
d38fdf53,2019-2020,ESP,1. La Liga,10th,Osasuna,21,33.1,2256,611,1143,675,46,63,108,58.3,58,52,1348
d3b888e3,2019-2020,ITA,1. Serie A,14th,Cagliari,23,5.2,292,97,176,35,2,1,2,50,5,4,183
d3d758d8,2019-2020,ITA,1. Serie A,17th,Genoa,34,12.3,568,135,387,79,2,7,7,100,8,13,367
d3de9af0,2019-2020,ITA,1. Serie A,3rd,Atalanta,28,22.5,968,40,368,610,211,32,59,54.2,86,67,1244
d4535821,2019-2020,ITA,1. Serie A,4th,Lazio,26,10.5,497,155,175,189,30,9,18,50,6,11,335
d4931a5a,2019-2020,ITA,1. Serie A,5th,Roma,31,6.3,192,4,78,114,38,1,2,50,14,8,265
d4a2533d,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,21,18.6,1086,95,533,552,74,40,77,51.9,42,59,984
d4c9725f,2019-2020,ITA,1. Serie A,6th,Milan,21,31.3,2402,660,1231,753,95,59,94,62.8,29,43,1714
d5575935,2019-2020,GER,1. Bundesliga,17th,Düsseldorf,26,10.5,493,83,266,163,17,2,5,40,15,10,448
d5575935,2019-2020,ITA,1. Serie A,4th,Lazio,26,0.4,11,6,5,1,0,0,0,NULL,1,0,6
d557d734,2019-2020,ENG,1. Premier League,7th,Wolves,27,31.5,2158,509,1099,660,95,29,53,54.7,45,23,1542
d56543a0,2019-2020,ENG,1. Premier League,18th,Bournemouth,25,23,1135,201,431,611,69,10,23,43.5,32,21,1001
d5dd5f1f,2019-2020,ENG,1. Premier League,8th,Arsenal,30,34.8,1248,159,502,672,168,25,49,51,58,39,1528
d6862409,2019-2020,GER,1. Bundesliga,15th,Augsburg,28,30.2,887,109,430,404,155,33,72,45.8,68,47,1214
d6a889ea,2019-2020,ITA,1. Serie A,7th,Napoli,28,2.8,203,58,92,64,4,6,9,66.7,2,2,140
d6e53a3a,2019-2020,ITA,1. Serie A,1st,Juventus,19,27.2,1796,804,1031,51,22,1,1,100,4,3,1257
d705ba44,2019-2020,ITA,1. Serie A,16th,Torino,25,33.4,1234,86,601,668,215,41,78,52.6,86,80,1513
d70ce98e,2019-2020,ESP,1. La Liga,2nd,Barcelona,32,32,2615,57,1331,1486,217,183,274,66.8,65,88,2616
d711d04f,2019-2020,ITA,1. Serie A,17th,Genoa,36,18.7,852,93,407,425,84,30,64,46.9,64,46,927
d733aa38,2019-2020,ESP,1. La Liga,10th,Osasuna,30,30.2,1472,211,707,629,77,30,53,56.6,42,29,1202
d7492450,2019-2020,ENG,1. Premier League,14th,Crystal Palace,29,17.2,865,405,399,93,5,3,5,60,7,7,457
d7553721,2019-2020,ENG,1. Premier League,6th,Tottenham,23,16.6,1233,191,704,447,28,38,68,55.9,22,25,951
d781d855,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,18,24.8,2213,573,1135,685,67,90,145,62.1,44,47,1449
d7918b13,2019-2020,ITA,1. Serie A,9th,Hellas Verona,23,2.2,83,17,45,27,3,0,0,NULL,4,1,74
d79a8c87,2019-2020,ENG,1. Premier League,8th,Arsenal,23,6.5,421,248,189,14,7,2,6,33.3,3,0,302
d7d32194,2019-2020,ITA,1. Serie A,12th,Bologna,28,2.1,39,3,22,15,9,1,1,100,5,3,74
d7d32194,2019-2020,ITA,1. Serie A,17th,Genoa,28,1.7,42,4,17,21,8,3,3,100,2,1,84
d80b1835,2019-2020,ITA,1. Serie A,1st,Juventus,20,1,72,15,42,23,1,1,3,33.3,1,0,55
d83bbc54,2019-2020,ESP,1. La Liga,9th,Valencia,30,30.4,1914,654,853,518,37,10,19,52.6,21,18,1272
d85c238b,2019-2020,ITA,1. Serie A,9th,Hellas Verona,24,23.5,1081,157,508,529,92,63,103,61.2,42,37,1144
d87e2cae,2019-2020,ESP,1. La Liga,6th,Real Sociedad,27,22.3,764,48,410,340,100,9,19,47.4,39,22,946
d8931174,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,26,38,2828,1432,1468,166,57,10,13,76.9,7,10,1959
d93c2511,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,22,19.7,1289,324,782,258,23,31,47,66,24,32,915
d9565625,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,20,0.7,78,12,31,35,4,0,0,NULL,0,5,49
d9624b51,2019-2020,ITA,1. Serie A,10th,Fiorentina,27,9.3,499,266,250,21,7,4,6,66.7,3,2,288
d9764034,2019-2020,ESP,1. La Liga,16th,Alavés,25,1,21,15,6,0,0,0,0,NULL,0,0,5
d97f2e8d,2019-2020,ITA,1. Serie A,15th,Sampdoria,22,20.6,948,232,405,378,50,22,35,62.9,24,25,744
d995ed27,2019-2020,ITA,1. Serie A,6th,Milan,29,14.9,887,96,431,427,62,27,38,71.1,33,21,826
d9ba39fc,2019-2020,ENG,1. Premier League,18th,Bournemouth,26,25.9,1825,642,770,489,13,19,40,47.5,13,21,893
da052c14,2019-2020,ENG,1. Premier League,14th,Crystal Palace,27,35,1366,178,673,635,134,75,117,64.1,99,108,1682
da27e268,2019-2020,ESP,1. La Liga,20th,Espanyol,22,33.4,2036,464,1394,297,18,16,25,64,28,20,1416
da5a981b,2019-2020,ITA,1. Serie A,20th,SPAL,27,9.5,576,163,265,182,12,9,17,52.9,8,7,379
da7b447d,2019-2020,ENG,1. Premier League,6th,Tottenham,23,27,1791,985,849,47,17,8,11,72.7,6,5,1210
da974c7b,2019-2020,ITA,1. Serie A,7th,Napoli,28,23.4,1884,808,1132,76,23,12,18,66.7,5,8,1386
db092d3b,2019-2020,ITA,1. Serie A,6th,Milan,21,27.6,2083,495,1344,413,12,66,82,80.5,19,42,1453
db401046,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,27,26,1037,1031,8,0,0,1,1,100,0,0,529
db4ed67b,2019-2020,GER,1. Bundesliga,2nd,Dortmund,23,6.2,578,121,377,118,9,13,17,76.5,9,11,522
db750822,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,29,13.6,737,96,369,344,61,36,64,56.3,40,23,749
db8f0eba,2019-2020,ESP,1. La Liga,20th,Espanyol,27,15.2,682,108,293,342,31,35,70,50,38,33,617
dbf053da,2019-2020,GER,1. Bundesliga,2nd,Dortmund,19,25.4,1924,158,872,1051,144,93,164,56.7,61,51,1946
dc008610,2019-2020,ENG,1. Premier League,15th,Brighton,26,0.8,29,4,12,16,7,2,4,50,5,2,33
dc1c2fce,2019-2020,ITA,1. Serie A,16th,Torino,24,20.3,1079,175,522,502,81,71,108,65.7,37,57,1043
dc366c36,2019-2020,GER,1. Bundesliga,15th,Augsburg,26,24,940,936,4,1,0,1,1,100,1,0,372
dc3fa3b5,2019-2020,ITA,1. Serie A,7th,Napoli,27,10,850,193,524,195,7,3,4,75,4,10,717
dc3fa3b5,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,27,13.5,1235,294,791,235,15,12,21,57.1,17,18,1003
dc62b55d,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,20,8.3,315,41,173,139,25,34,43,79.1,17,24,303
dc62b55d,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,20,3.1,156,5,71,88,21,7,11,63.6,12,9,176
dc6f5bdd,2019-2020,ENG,1. Premier League,8th,Arsenal,24,12.2,1028,458,428,188,26,13,18,72.2,7,11,715
dd0daf32,2019-2020,ENG,1. Premier League,8th,Arsenal,30,1.2,98,10,42,59,18,2,5,40,3,4,89
dd0daf32,2019-2020,ITA,1. Serie A,5th,Roma,30,17,915,120,492,393,67,21,41,51.2,29,29,789
dd323728,2019-2020,ENG,1. Premier League,1st,Liverpool,18,2.6,245,59,110,90,10,6,13,46.2,3,0,168
dd669209,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,27,17.6,939,153,502,353,50,34,45,75.6,28,32,764
de0f152c,2019-2020,ENG,1. Premier League,19th,Watford,25,20.2,1186,392,567,269,21,11,18,61.1,11,13,568
de39485a,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,25,7,353,56,152,172,27,18,33,54.5,17,30,319
de5b5570,2019-2020,ENG,1. Premier League,17th,Aston Villa,25,20.4,1013,348,555,161,4,14,20,70,6,14,572
dea698d9,2019-2020,ITA,1. Serie A,1st,Juventus,34,32.4,1761,91,777,1071,242,57,87,65.5,69,50,1930
dee86451,2019-2020,ESP,1. La Liga,15th,Betis,27,9.9,702,156,486,113,6,15,17,88.2,7,7,579
def899bd,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,27,1.5,116,60,56,9,2,0,0,NULL,0,0,68
df10e27c,2019-2020,ENG,1. Premier League,4th,Chelsea,18,2.2,196,54,125,34,2,3,6,50,2,6,157
df3cda47,2019-2020,ITA,1. Serie A,11th,Parma,19,32.6,1646,236,810,793,182,84,150,56,104,89,1588
df69b544,2019-2020,ESP,1. La Liga,2nd,Barcelona,28,28.3,1408,133,607,724,161,18,37,48.6,38,20,1491
df85d472,2019-2020,ITA,1. Serie A,12th,Bologna,28,8.6,391,27,182,193,51,11,14,78.6,33,15,465
df8b52a5,2019-2020,ESP,1. La Liga,15th,Betis,20,31.5,2008,595,874,673,96,21,41,51.2,43,36,1339
df8e7b62,2019-2020,GER,1. Bundesliga,17th,Düsseldorf,24,25.1,1234,204,528,613,72,47,69,68.1,42,53,1061
e0314d87,2019-2020,ITA,1. Serie A,3rd,Atalanta,33,6,358,161,189,25,0,1,1,100,0,2,224
e0314d87,2019-2020,ITA,1. Serie A,17th,Genoa,33,14.7,938,409,483,103,13,6,7,85.7,2,5,623
e06683ca,2019-2020,ENG,1. Premier League,1st,Liverpool,28,38,3465,1432,2083,107,48,3,5,60,2,2,2568
e082af5b,2019-2020,ENG,1. Premier League,11th,Southampton,23,10,278,277,1,0,0,0,0,NULL,0,0,83
e0921a4f,2019-2020,ITA,1. Serie A,1st,Juventus,25,23.9,1884,116,868,1049,124,63,110,57.3,50,49,1740
e0b113a7,2019-2020,GER,1. Bundesliga,11th,Union Berlin,24,28.6,1547,371,923,333,33,27,38,71.1,19,24,934
e0bc6fdc,2019-2020,ENG,1. Premier League,4th,Chelsea,24,11.4,990,248,469,342,33,14,22,63.6,11,9,689
e12b0b5b,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,28,21.5,1415,335,899,283,21,15,21,71.4,13,13,1038
e14ec482,2019-2020,ITA,1. Serie A,12th,Bologna,22,29.8,1570,233,585,843,146,72,135,53.3,75,64,1418
e1b0a70d,2019-2020,ITA,1. Serie A,10th,Fiorentina,29,6.9,232,232,0,0,0,0,0,NULL,0,0,71
e1cbb531,2019-2020,ESP,1. La Liga,17th,Celta Vigo,24,15.4,883,176,592,184,13,10,15,66.7,7,20,729
e1cbb531,2019-2020,ITA,1. Serie A,7th,Napoli,24,8.4,695,133,486,121,4,7,9,77.8,4,3,607
e26fcca3,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,22,7,402,137,242,49,0,7,10,70,9,2,214
e2716bd0,2019-2020,ENG,1. Premier League,2nd,Manchester City,33,20.3,1702,141,824,854,180,34,50,68,29,19,1613
e27da244,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,26,24.7,1480,830,709,47,32,5,6,83.3,4,3,852
e27de4fa,2019-2020,GER,1. Bundesliga,14th,Köln,18,14.6,901,373,437,162,2,31,42,73.8,19,18,532
e280527c,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,25,27.8,1825,272,968,697,78,25,39,64.1,35,37,1505
e288d4b3,2019-2020,ITA,1. Serie A,5th,Roma,28,11.1,780,224,412,208,28,2,11,18.2,5,5,558
e288d4b3,2019-2020,ESP,1. La Liga,9th,Valencia,28,8.4,552,188,264,127,16,7,10,70,9,3,371
e33c06cf,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,23,7.1,680,385,327,19,5,2,2,100,3,1,549
e33f36d5,2019-2020,ITA,1. Serie A,13th,Udinese,29,24.7,1539,826,746,75,13,3,6,50,2,1,1037
e342ad68,2019-2020,ENG,1. Premier League,1st,Liverpool,27,32,1405,57,408,1018,317,66,99,66.7,85,79,1815
e358587b,2019-2020,ENG,1. Premier League,17th,Aston Villa,36,12,427,422,6,0,0,0,0,NULL,1,0,176
e358587b,2019-2020,ITA,1. Serie A,6th,Milan,36,1,41,40,1,0,0,0,0,NULL,0,0,16
e3756e72,2019-2020,ITA,1. Serie A,3rd,Atalanta,19,0.2,15,2,5,8,1,0,0,NULL,0,0,14
e3a5814e,2019-2020,ENG,1. Premier League,8th,Arsenal,21,15.4,1179,451,570,229,18,22,44,50,13,16,768
e3cceee6,2019-2020,ITA,1. Serie A,1st,Juventus,21,4.6,358,184,181,11,4,0,1,0,0,0,270
e3fabb0a,2019-2020,ESP,1. La Liga,20th,Espanyol,27,19.1,516,84,215,247,93,17,32,53.1,32,13,615
e42d61c7,2019-2020,GER,1. Bundesliga,2nd,Dortmund,20,30.2,2826,564,1445,1005,112,66,117,56.4,53,57,2341
e46012d4,2019-2020,ENG,1. Premier League,2nd,Manchester City,28,31,2577,221,1135,1400,164,62,96,64.6,43,44,2180
e49ce451,2019-2020,ESP,1. La Liga,17th,Celta Vigo,25,21.9,1302,365,858,152,15,23,33,69.7,13,25,834
e514ab62,2019-2020,ENG,1. Premier League,17th,Aston Villa,23,25.5,1501,512,648,418,33,10,23,43.5,6,20,833
e5478b87,2019-2020,GER,1. Bundesliga,13th,Mainz 05,21,5.4,178,19,80,93,34,10,18,55.6,27,11,223
e54bd0a2,2019-2020,ESP,1. La Liga,16th,Alavés,31,14.9,671,179,437,77,4,9,10,90,4,9,401
e5649a78,2019-2020,GER,1. Bundesliga,17th,Düsseldorf,25,14.1,1115,209,654,316,13,24,31,77.4,15,23,812
e58a03c6,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,28,9.4,243,27,123,104,37,4,5,80,18,11,303
e58cbfd5,2019-2020,ITA,1. Serie A,17th,Genoa,17,1.2,76,15,60,9,1,0,0,NULL,0,1,58
e599253a,2019-2020,ITA,1. Serie A,3rd,Atalanta,24,26.9,1735,298,1019,523,114,22,40,55,35,28,1500
e5a35ae9,2019-2020,GER,1. Bundesliga,8th,Freiburg,23,14.1,517,61,266,231,67,14,34,41.2,23,23,552
e5a76dfe,2019-2020,ENG,1. Premier League,9th,Sheffield Utd,22,36,1125,1117,8,1,1,0,0,NULL,1,0,372
e5bf73f3,2019-2020,ITA,1. Serie A,3rd,Atalanta,20,2.1,93,2,32,62,27,5,6,83.3,8,9,148
e5bf73f3,2019-2020,ITA,1. Serie A,12th,Bologna,20,15,841,88,399,426,81,43,68,63.2,51,31,801
e5d01ecf,2019-2020,ENG,1. Premier League,19th,Watford,28,24.9,1506,427,706,456,22,26,37,70.3,16,12,816
e5f63987,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,28,8.5,294,25,138,142,37,5,13,38.5,22,16,385
e61b8aee,2019-2020,ENG,1. Premier League,8th,Arsenal,26,28.7,2145,637,1322,312,18,27,32,84.4,10,12,1643
e63e122d,2019-2020,ITA,1. Serie A,12th,Bologna,19,0.8,63,4,40,20,2,0,0,NULL,1,0,49
e6bc67d7,2019-2020,ESP,1. La Liga,9th,Valencia,22,14.1,651,69,311,335,38,45,63,71.4,32,27,612
e6c15f6e,2019-2020,GER,1. Bundesliga,8th,Freiburg,20,0.4,29,9,15,8,0,2,2,100,0,0,22
e6c43eec,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,28,22.9,1261,441,732,148,26,19,25,76,17,12,756
e74f0e59,2019-2020,ITA,1. Serie A,16th,Torino,31,24.9,1196,302,532,423,66,6,14,42.9,24,17,885
e778654a,2019-2020,ESP,1. La Liga,7th,Granada,21,26.3,1257,270,823,232,26,21,27,77.8,29,33,828
e7ab4179,2019-2020,ESP,1. La Liga,8th,Getafe,24,3,169,59,96,19,1,0,0,NULL,2,1,69
e7ab4179,2019-2020,ESP,1. La Liga,12th,Levante,24,9,469,282,193,12,4,4,5,80,1,0,254
e7ca0439,2019-2020,ENG,1. Premier League,14th,Crystal Palace,30,17.6,857,563,294,34,21,1,1,100,1,3,456
e7d22eae,2019-2020,GER,1. Bundesliga,15th,Augsburg,29,5.3,247,57,148,55,3,9,10,90,2,7,156
e7d59f4f,2019-2020,GER,1. Bundesliga,12th,Schalke 04,22,23.4,1213,139,654,541,73,59,90,65.6,59,76,1205
e7fcf289,2019-2020,GER,1. Bundesliga,5th,Leverkusen,16,4.1,235,24,118,114,19,23,37,62.2,10,6,230
e82adcab,2019-2020,GER,1. Bundesliga,5th,Leverkusen,20,2,174,22,117,43,2,3,3,100,2,3,150
e85fb9b8,2019-2020,ITA,1. Serie A,1st,Juventus,34,2.2,126,57,72,4,2,0,0,NULL,2,0,90
e8832875,2019-2020,ENG,1. Premier League,19th,Watford,17,0.3,18,3,7,10,3,3,3,100,0,1,20
e897d8ba,2019-2020,ESP,1. La Liga,14th,Eibar,29,19.6,770,40,301,464,109,8,18,44.4,95,35,1186
e8c930bb,2019-2020,ITA,1. Serie A,10th,Fiorentina,30,17.6,1157,274,729,212,12,21,26,80.8,14,16,801
e9254eec,2019-2020,ENG,1. Premier League,20th,Norwich City,27,14,831,543,323,15,10,2,3,66.7,1,2,516
e94d79e3,2019-2020,ITA,1. Serie A,10th,Fiorentina,32,26.2,1551,669,854,141,15,4,5,80,5,5,1009
e97fd090,2019-2020,ENG,1. Premier League,4th,Chelsea,23,2.3,145,18,79,57,12,2,2,100,2,3,147
e9971f2d,2019-2020,ENG,1. Premier League,6th,Tottenham,20,5.8,320,137,162,38,2,7,10,70,5,8,171
e9ada8cf,2019-2020,ESP,1. La Liga,16th,Alavés,17,1,45,17,14,15,0,0,0,NULL,0,1,19
ea003d07,2019-2020,GER,1. Bundesliga,5th,Leverkusen,24,0,0,0,0,0,0,0,0,NULL,0,0,4
ea06dd97,2019-2020,ITA,1. Serie A,16th,Torino,27,14.2,897,208,498,235,9,13,20,65,14,19,533
ea6bc03a,2019-2020,GER,1. Bundesliga,8th,Freiburg,23,30.1,1789,955,866,114,48,5,8,62.5,7,13,1238
ea83bfa6,2019-2020,ESP,1. La Liga,7th,Granada,25,35,1367,1358,9,1,1,1,1,100,0,0,493
ea9b2ef9,2019-2020,ESP,1. La Liga,7th,Granada,32,25.5,1137,711,458,28,19,0,0,NULL,0,2,639
eac044ad,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,27,8.5,364,33,185,165,36,13,27,48.1,16,17,390
eac044ad,2019-2020,ESP,1. La Liga,4th,Sevilla,27,0.3,28,1,4,23,6,0,0,NULL,2,1,25
ead61f73,2019-2020,GER,1. Bundesliga,12th,Schalke 04,19,8.7,510,165,225,142,6,3,8,37.5,11,5,293
eaeca114,2019-2020,ENG,1. Premier League,18th,Bournemouth,24,27.8,1508,923,595,86,34,5,5,100,7,5,948
eb2fe5b6,2019-2020,ITA,1. Serie A,3rd,Atalanta,28,14,798,35,336,484,128,31,62,50,39,57,858
eb3dd471,2019-2020,ESP,1. La Liga,16th,Alavés,25,18.2,597,87,282,293,22,24,44,54.5,29,26,546
eb58eef0,2019-2020,ENG,1. Premier League,1st,Liverpool,28,32.6,1919,289,1191,563,82,49,78,62.8,36,41,1635
eb7822d7,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,30,17.6,1416,391,903,246,9,23,29,79.3,10,24,1053
ecc77652,2019-2020,ESP,1. La Liga,12th,Levante,21,0.4,31,13,11,8,2,0,2,0,1,2,17
eccbe56a,2019-2020,ITA,1. Serie A,8th,Sassuolo,27,18.1,962,115,482,449,59,38,61,62.3,30,54,885
