id,season,country,comp_level,lg_finish,squad,age,minutes_90s,touches,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,pass_targets
a8f21b9f,2019-2020,ITA,1. Serie A,5th,Roma,21,6.3,308,34,155,156,25,13,23,56.5,12,10,283
a92ab7be,2019-2020,GER,1. Bundesliga,8th,Freiburg,26,10,475,473,3,0,0,2,2,100,0,0,219
a96e5dc0,2019-2020,ITA,1. Serie A,8th,Sassuolo,24,24.3,1723,518,868,465,57,20,28,71.4,24,31,1204
a9dc785c,2019-2020,ESP,1. La Liga,2nd,Barcelona,30,2,64,64,0,0,0,0,0,NULL,0,0,33
aa0ac32d,2019-2020,ESP,1. La Liga,12th,Levante,30,5.4,299,207,98,8,6,1,1,100,0,1,181
aad48be9,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,24,19.2,1089,602,523,45,18,5,8,62.5,3,4,699
aad53e64,2019-2020,ESP,1. La Liga,10th,Osasuna,22,3.5,138,19,62,76,11,11,17,64.7,12,11,158
aae9d04a,2019-2020,ITA,1. Serie A,9th,Hellas Verona,27,35.9,2161,577,985,693,71,41,69,59.4,33,23,1343
ab070c55,2019-2020,ENG,1. Premier League,14th,Crystal Palace,28,14,540,52,237,275,93,15,25,60,44,30,724
ab13a5aa,2019-2020,ENG,1. Premier League,14th,Crystal Palace,32,35,1148,1143,7,0,0,0,0,NULL,0,0,425
ab1ca213,2019-2020,ITA,1. Serie A,9th,Hellas Verona,33,31.2,1967,366,1208,513,17,18,20,90,16,16,1179
ab4449d6,2019-2020,ITA,1. Serie A,12th,Bologna,28,37,1264,1263,2,0,0,0,0,NULL,0,0,470
ab651565,2019-2020,ENG,1. Premier League,11th,Southampton,25,30.7,1443,187,670,726,122,90,146,61.6,56,58,1430
ab700320,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,20,5.9,381,84,226,95,4,7,7,100,8,10,296
abb3bb95,2019-2020,ESP,1. La Liga,4th,Sevilla,28,22.9,788,72,424,320,121,11,17,64.7,51,33,1023
abe66106,2019-2020,ENG,1. Premier League,6th,Tottenham,27,13.5,772,95,361,395,43,31,45,68.9,28,30,701
ac05f970,2019-2020,ENG,1. Premier League,16th,West Ham,29,19.6,850,47,305,556,125,71,107,66.4,71,49,1134
