id,season,country,comp_level,lg_finish,squad,age,minutes_90s,passes_completed,passes,passes_pct,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area
ac295d9e,2019-2020,ESP,1. La Liga,14th,Eibar,27,35,479,1062,45.1,36,37,97.3,118,121,97.5,324,903,35.9,0,62,2,0
ac4003af,2019-2020,ITA,1. Serie A,3rd,Atalanta,27,5.8,130,152,85.5,23,23,100,66,66,100,40,62,64.5,0,0,0,0
ac73ec79,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,21,19.8,999,1285,77.7,452,525,86.1,409,507,80.7,108,160,67.5,1,58,20,7
ac7e640b,2019-2020,ITA,1. Serie A,3rd,Atalanta,25,10.7,381,424,89.9,121,129,93.8,207,222,93.2,49,64,76.6,1,12,0,0
ac861941,2019-2020,ENG,1. Premier League,6th,Tottenham,25,14.9,713,876,81.4,221,257,86,348,402,86.6,131,197,66.5,2,56,3,0
ad00b1a8,2019-2020,GER,1. Bundesliga,14th,Köln,24,12.9,543,757,71.7,214,239,89.5,228,299,76.3,96,189,50.8,0,70,20,10
ad1ffcfd,2019-2020,ESP,1. La Liga,5th,Villarreal,31,29.4,1247,1446,86.2,424,475,89.3,579,643,90,224,292,76.7,2,110,5,0
ad3389d5,2019-2020,GER,1. Bundesliga,5th,Leverkusen,29,34,1220,1596,76.4,166,167,99.4,572,580,98.6,479,845,56.7,0,11,0,0
ad6df2d5,2019-2020,ITA,1. Serie A,1st,Juventus,29,25.3,1767,2014,87.7,870,920,94.6,648,715,90.6,205,307,66.8,6,207,23,2
aded8e6f,2019-2020,ITA,1. Serie A,5th,Roma,17,0.7,10,14,71.4,5,7,71.4,3,4,75,2,3,66.7,0,0,0,0
adfc9123,2019-2020,ESP,1. La Liga,2nd,Barcelona,32,34.4,2469,2659,92.9,645,682,94.6,1381,1437,96.1,427,506,84.4,0,192,3,0
ae44e8e2,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,21,8.3,279,372,75,159,194,82,79,100,79,26,49,53.1,1,36,12,2
ae4e2852,2019-2020,ITA,1. Serie A,1st,Juventus,26,5.2,283,344,82.3,131,140,93.6,122,138,88.4,28,52,53.8,0,19,5,0
ae7058f9,2019-2020,ITA,1. Serie A,15th,Sampdoria,21,6.3,205,238,86.1,60,63,95.2,104,113,92,35,51,68.6,0,13,0,0
aed746df,2019-2020,ESP,1. La Liga,16th,Alavés,29,9.6,134,197,68,81,102,79.4,40,59,67.8,10,22,45.5,0,11,8,4
aeed5c06,2019-2020,GER,1. Bundesliga,5th,Leverkusen,20,19.7,515,700,73.6,282,330,85.5,173,234,73.9,47,89,52.8,5,24,27,14
afb0c500,2019-2020,GER,1. Bundesliga,12th,Schalke 04,22,25.7,721,1009,71.5,115,115,100,331,334,99.1,273,557,49,0,13,1,0
b05e2dbd,2019-2020,ESP,1. La Liga,9th,Valencia,24,22.1,815,1039,78.4,348,388,89.7,353,427,82.7,105,190,55.3,1,37,27,12
b0616e3d,2019-2020,ESP,1. La Liga,4th,Sevilla,29,8.6,475,592,80.2,210,236,89,212,251,84.5,45,87,51.7,0,31,9,4
b0a0698b,2019-2020,GER,1. Bundesliga,14th,Köln,29,24.5,990,1180,83.9,210,239,87.9,548,608,90.1,225,315,71.4,1,69,3,0
b0b4fd3e,2019-2020,ENG,1. Premier League,17th,Aston Villa,23,35.9,1217,1538,79.1,496,566,87.6,522,602,86.7,167,285,58.6,6,94,79,6
b0c71810,2019-2020,ENG,1. Premier League,11th,Southampton,25,8.5,247,325,76,156,183,85.2,66,90,73.3,20,37,54.1,2,18,14,3
b0f7e36c,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,29.3,609,833,73.1,308,378,81.5,223,296,75.3,56,106,52.8,6,37,44,8
b0fce72c,2019-2020,ESP,1. La Liga,11th,Athletic Club,26,14.1,449,573,78.4,198,227,87.2,174,212,82.1,66,108,61.1,1,38,6,0
b1236c63,2019-2020,ITA,1. Serie A,13th,Udinese,29,13.9,286,386,74.1,162,189,85.7,92,119,77.3,25,43,58.1,1,23,8,1
b14d0c5d,2019-2020,ESP,1. La Liga,15th,Betis,29,13.1,778,855,91,266,288,92.4,380,399,95.2,117,150,78,0,29,3,0
b19db005,2019-2020,ESP,1. La Liga,2nd,Barcelona,22,4,201,261,77,107,118,90.7,70,89,78.7,20,35,57.1,0,13,13,3
b1cd37e6,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,26,32.9,965,1613,59.8,377,508,74.2,390,570,68.4,180,432,41.7,11,71,61,41
b217ef29,2019-2020,ENG,1. Premier League,1st,Liverpool,27,7.8,448,514,87.2,98,107,91.6,264,282,93.6,85,122,69.7,0,46,2,0
b233e8e4,2019-2020,ESP,1. La Liga,17th,Celta Vigo,27,17,618,700,88.3,139,148,93.9,357,373,95.7,119,170,70,0,21,1,0
b233e8e4,2019-2020,ITA,1. Serie A,15th,Sampdoria,27,7.4,232,281,82.6,59,65,90.8,111,123,90.2,60,88,68.2,0,13,3,3
b28bbd58,2019-2020,ENG,1. Premier League,14th,Crystal Palace,28,14.4,325,460,70.7,179,206,86.9,104,137,75.9,33,87,37.9,1,23,24,12
b2bc3b1f,2019-2020,ENG,1. Premier League,14th,Crystal Palace,26,36.4,935,1188,78.7,524,611,85.8,305,371,82.2,84,123,68.3,3,61,75,14
b2d03887,2019-2020,ESP,1. La Liga,16th,Alavés,25,14.4,430,533,80.7,187,222,84.2,177,201,88.1,60,94,63.8,1,36,12,2
b2d03887,2019-2020,ENG,1. Premier League,14th,Crystal Palace,25,0.1,3,3,100,2,2,100,1,1,100,0,0,NULL,0,0,0,0
b2d0ec1b,2019-2020,ESP,1. La Liga,17th,Celta Vigo,32,3.6,115,164,70.1,47,60,78.3,47,63,74.6,19,34,55.9,1,14,10,0
b2d0ec1b,2019-2020,ESP,1. La Liga,4th,Sevilla,32,10,263,345,76.2,127,155,81.9,103,130,79.2,30,46,65.2,0,22,22,4
b2d31e83,2019-2020,ENG,1. Premier League,15th,Brighton,27,32,1389,1841,75.4,677,778,87,579,715,81,117,276,42.4,0,111,21,8
b3325a30,2019-2020,GER,1. Bundesliga,12th,Schalke 04,22,17.8,386,498,77.5,163,193,84.5,149,184,81,60,84,71.4,0,41,9,0
b3af9be1,2019-2020,ITA,1. Serie A,12th,Bologna,20,28.1,1367,1644,83.2,583,635,91.8,625,718,87,140,235,59.6,3,139,14,4
b3b7f5a6,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,29,13.6,290,462,62.8,113,150,75.3,136,201,67.7,39,87,44.8,1,26,19,14
b400bde0,2019-2020,ENG,1. Premier League,2nd,Manchester City,24,29.5,983,1217,80.8,624,702,88.9,301,370,81.4,37,63,58.7,1,31,54,6
b418dbd4,2019-2020,ESP,1. La Liga,11th,Athletic Club,33,31.9,557,952,58.5,301,435,69.2,192,328,58.5,46,129,35.7,1,75,15,2
b4a014b1,2019-2020,ESP,1. La Liga,4th,Sevilla,26,34.8,1600,1847,86.6,403,430,93.7,821,884,92.9,365,515,70.9,0,70,3,2
b4cf5806,2019-2020,GER,1. Bundesliga,11th,Union Berlin,28,29.8,495,795,62.3,304,439,69.2,147,255,57.6,20,44,45.5,1,46,13,4
b500b384,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,28,13.3,412,574,71.8,220,266,82.7,131,173,75.7,45,91,49.5,2,40,17,3
b50ec54b,2019-2020,GER,1. Bundesliga,14th,Köln,24,6.9,220,281,78.3,124,139,89.2,72,88,81.8,16,33,48.5,1,17,3,1
b561db50,2019-2020,ENG,1. Premier League,7th,Wolves,28,36,732,1009,72.5,416,506,82.2,207,273,75.8,79,131,60.3,6,63,24,4
b579e83d,2019-2020,ESP,1. La Liga,8th,Getafe,23,6.4,135,213,63.4,56,74,75.7,53,76,69.7,23,49,46.9,0,16,2,0
b5bdf144,2019-2020,ESP,1. La Liga,20th,Espanyol,29,2,50,62,80.6,5,5,100,28,28,100,17,29,58.6,0,0,0,0
b5bf1770,2019-2020,ITA,1. Serie A,16th,Torino,22,13.1,552,649,85.1,158,166,95.2,275,300,91.7,113,168,67.3,0,34,1,0
b5dd3469,2019-2020,ESP,1. La Liga,12th,Levante,26,22.1,838,949,88.3,358,396,90.4,351,374,93.9,117,150,78,0,59,8,2
b66315ae,2019-2020,ENG,1. Premier League,2nd,Manchester City,22,22.6,532,608,87.5,319,351,90.9,156,175,89.1,29,36,80.6,7,21,14,1
b6964eb6,2019-2020,ITA,1. Serie A,5th,Roma,29,28.5,1306,1440,90.7,361,401,90,742,781,95,194,237,81.9,2,64,2,0
b70bde8f,2019-2020,ITA,1. Serie A,2nd,Inter,23,8,422,515,81.9,194,209,92.8,161,185,87,51,95,53.7,2,37,17,1
b742cc0d,2019-2020,ESP,1. La Liga,15th,Betis,28,28,1422,1637,86.9,396,432,91.7,738,800,92.3,267,373,71.6,1,79,6,0
b77f44a4,2019-2020,GER,1. Bundesliga,11th,Union Berlin,23,31,918,1170,78.5,234,260,90,442,501,88.2,230,379,60.7,0,97,5,2
b7a5bc86,2019-2020,ITA,1. Serie A,20th,SPAL,23,4.7,138,201,68.7,60,81,74.1,61,75,81.3,16,37,43.2,0,8,4,2
b7c99b9b,2019-2020,ESP,1. La Liga,16th,Alavés,29,29.5,774,1026,75.4,159,183,86.9,375,430,87.2,231,398,58,2,71,7,1
b7ca5c51,2019-2020,ESP,1. La Liga,9th,Valencia,28,31.1,1520,1708,89,431,464,92.9,784,828,94.7,291,387,75.2,1,82,2,0
b7de5bad,2019-2020,ESP,1. La Liga,20th,Espanyol,19,14.1,507,696,72.8,219,255,85.9,215,274,78.5,64,125,51.2,0,20,22,13
b825a650,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,28,7.5,458,520,88.1,210,224,93.8,192,212,90.6,44,60,73.3,2,38,12,2
b827d5b3,2019-2020,ENG,1. Premier League,5th,Leicester City,29,9.6,344,507,67.9,176,207,85,116,154,75.3,46,115,40,3,31,20,9
b853e0ad,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,26,24,1463,1714,85.4,558,616,90.6,629,689,91.3,253,353,71.7,0,155,15,3
b857bd29,2019-2020,ESP,1. La Liga,19th,Mallorca,27,30.8,959,1155,83,274,303,90.4,469,524,89.5,205,308,66.6,0,36,2,0
b8a642fc,2019-2020,ESP,1. La Liga,5th,Villarreal,20,22.8,553,750,73.7,233,285,81.8,229,293,78.2,80,124,64.5,2,36,33,9
b8c1de25,2019-2020,ESP,1. La Liga,7th,Granada,30,16.7,482,579,83.2,138,160,86.3,225,259,86.9,112,144,77.8,0,55,5,0
b96b595c,2019-2020,ITA,1. Serie A,4th,Lazio,31,35.1,1809,2011,90,519,558,93,884,937,94.3,390,481,81.1,2,138,14,3
b9fbae28,2019-2020,ENG,1. Premier League,4th,Chelsea,28,19.2,975,1140,85.5,438,499,87.8,399,449,88.9,109,132,82.6,0,105,28,9
ba3d3bea,2019-2020,ITA,1. Serie A,4th,Lazio,24,6.6,377,454,83,129,141,91.5,179,196,91.3,63,103,61.2,0,58,8,1
ba5004e1,2019-2020,ESP,1. La Liga,8th,Getafe,31,28.8,992,1515,65.5,394,470,83.8,440,606,72.6,142,380,37.4,4,133,42,18
bad38a94,2019-2020,ESP,1. La Liga,20th,Espanyol,30,27.7,929,1260,73.7,401,466,86.1,422,526,80.2,97,212,45.8,0,59,19,8
bb5fbd2b,2019-2020,ENG,1. Premier League,15th,Brighton,25,12.7,435,601,72.4,200,232,86.2,181,232,78,51,109,46.8,1,18,20,7
bba30585,2019-2020,ESP,1. La Liga,6th,Real Sociedad,25,25.9,1410,1598,88.2,311,332,93.7,838,895,93.6,253,349,72.5,1,74,2,0
bbafc0c4,2019-2020,ITA,1. Serie A,16th,Torino,32,19.6,582,825,70.5,246,276,89.1,201,266,75.6,127,244,52,4,47,47,35
bbd86530,2019-2020,GER,1. Bundesliga,11th,Union Berlin,24,25.2,816,1143,71.4,381,434,87.8,299,417,71.7,120,233,51.5,3,58,21,12
bc61cc65,2019-2020,ESP,1. La Liga,10th,Osasuna,31,12,444,598,74.2,191,221,86.4,189,236,80.1,54,118,45.8,1,55,7,0
bc6f5f06,2019-2020,ESP,1. La Liga,4th,Sevilla,27,8,434,486,89.3,106,116,91.4,229,242,94.6,97,123,78.9,0,16,0,0
bc7dc64d,2019-2020,ENG,1. Premier League,8th,Arsenal,17,19.5,659,844,78.1,337,383,88,269,327,82.3,41,84,48.8,5,38,21,6
bcb2ccd8,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,29,32,1015,1268,80,176,177,99.4,520,529,98.3,312,555,56.2,1,7,1,0
bd142efb,2019-2020,GER,1. Bundesliga,5th,Leverkusen,23,23.2,1831,2023,90.5,436,467,93.4,1031,1086,94.9,348,438,79.5,1,103,5,1
bd527260,2019-2020,GER,1. Bundesliga,14th,Köln,26,9.4,155,248,62.5,74,98,75.5,59,98,60.2,17,33,51.5,2,10,17,8
bd6351cd,2019-2020,ENG,1. Premier League,2nd,Manchester City,25,13.4,1008,1147,87.9,444,478,92.9,442,496,89.1,116,148,78.4,0,98,23,3
bd992863,2019-2020,GER,1. Bundesliga,2nd,Dortmund,19,0.3,15,16,93.8,6,7,85.7,7,7,100,2,2,100,0,1,0,0
bdb624a3,2019-2020,ESP,1. La Liga,11th,Athletic Club,19,8.2,168,208,80.8,82,97,84.5,64,76,84.2,18,24,75,1,15,0,0
bdc74a8f,2019-2020,ITA,1. Serie A,5th,Roma,21,3.3,134,144,93.1,63,66,95.5,59,63,93.7,11,13,84.6,0,18,2,0
be170419,2019-2020,ESP,1. La Liga,11th,Athletic Club,22,17.5,587,682,86.1,108,127,85,300,314,95.5,177,234,75.6,0,31,1,0
be42a291,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,20,0.6,18,27,66.7,12,15,80,6,8,75,0,1,0,0,0,0,0
be927d03,2019-2020,ITA,1. Serie A,2nd,Inter,34,13.2,506,634,79.8,218,244,89.3,238,274,86.9,45,86,52.3,4,19,26,6
be927d03,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,34,10.6,565,735,76.9,230,251,91.6,251,296,84.8,81,168,48.2,0,59,12,3
beb882a8,2019-2020,GER,1. Bundesliga,16th,Werder Bremen,22,31.7,1151,1483,77.6,535,628,85.2,458,563,81.3,133,206,64.6,3,126,36,5
bece776f,2019-2020,ESP,1. La Liga,15th,Betis,26,29.3,839,1034,81.1,453,511,88.6,268,318,84.3,91,134,67.9,4,87,35,6
bee0bab1,2019-2020,GER,1. Bundesliga,5th,Leverkusen,29,15.8,487,707,68.9,265,317,83.6,162,238,68.1,53,107,49.5,6,26,29,11
bee704fc,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,36.2,1544,1742,88.6,471,513,91.8,801,859,93.2,264,349,75.6,0,88,6,1
bf075f6b,2019-2020,GER,1. Bundesliga,8th,Freiburg,22,12.9,237,343,69.1,124,148,83.8,93,129,72.1,13,33,39.4,0,13,9,1
bf12926c,2019-2020,ESP,1. La Liga,15th,Betis,19,3.9,89,119,74.8,61,72,84.7,21,30,70,3,6,50,0,1,5,2
bf309d24,2019-2020,ITA,1. Serie A,5th,Roma,22,16.9,888,996,89.2,282,312,90.4,440,477,92.2,157,193,81.3,1,97,7,0
bf356094,2019-2020,ITA,1. Serie A,3rd,Atalanta,19,0.9,37,42,88.1,19,21,90.5,16,17,94.1,0,1,0,1,2,2,0
bf39bdec,2019-2020,ITA,1. Serie A,19th,Brescia,27,20.5,332,507,65.5,190,256,74.2,89,142,62.7,32,54,59.3,3,16,17,0
bf57eaab,2019-2020,ITA,1. Serie A,15th,Sampdoria,22,8.3,146,209,69.9,66,86,76.7,52,70,74.3,26,36,72.2,0,9,5,0
bf8fad51,2019-2020,ENG,1. Premier League,17th,Aston Villa,24,17.2,591,789,74.9,206,243,84.8,269,323,83.3,108,199,54.3,0,42,1,0
